begin_AOI_fix, final_AOI_fix, AOI, game, round
419332140, 419332223, 1_2, 1, 1
419332256, 419332356, 1_2, 1, 1
419332373, 419332623, 2_3, 1, 1
419332756, 419333039, 3_2, 1, 1
419333056, 419333289, 3_1, 1, 1
419333505, 419333522, 1_1, 1, 1
419333538, 419333722, 1_2, 1, 1
419333838, 419333938, 1_3, 1, 1
419334054, 419334387, 2_3, 1, 1
419334504, 419334587, 1_3, 1, 1
419334704, 419334787, 1_2, 1, 1
419334904, 419335120, 1_4, 1, 1
419335236, 419335387, 2_4, 1, 1
419335603, 419336901, 4_0, 1, 1
419336918, 419336918, 1_5, 1, 1
419337034, 419337251, 1_4, 1, 1
419337367, 419337500, 4_0, 1, 1
419337717, 419337850, 2_4, 1, 1
419337967, 419338100, 1_4, 1, 1
419338216, 419338283, 1_5, 1, 1
419338399, 419338549, 2_5, 1, 1
419347556, 419347873, 2_3, 1, 2
419347989, 419348039, 1_3, 1, 2
419348056, 419348489, 1_2, 1, 2
419348522, 419348739, 1_1, 1, 2
419348955, 419349121, 2_3, 1, 2
419349238, 419349338, 1_3, 1, 2
419349354, 419349521, 1_2, 1, 2
419349638, 419349804, 2_2, 1, 2
419350021, 419350371, 4_0, 1, 2
419350488, 419350637, 1_3, 1, 2
419350854, 419351004, 2_4, 1, 2
419351120, 419351187, 1_4, 1, 2
419359227, 419359427, 1_3, 1, 3
419359444, 419359594, 2_3, 1, 3
419359910, 419359960, 1_2, 1, 3
419359977, 419360144, 1_3, 1, 3
419360261, 419360510, 2_3, 1, 3
419360527, 419360743, 2_2, 1, 3
419360860, 419361043, 1_1, 1, 3
419361060, 419361060, 1_2, 1, 3
419361176, 419361276, 1_3, 1, 3
419361409, 419361492, 1_4, 1, 3
419361609, 419361725, 2_4, 1, 3
419361942, 419362208, 4_0, 1, 3
419362425, 419362641, 3_2, 1, 3
419362774, 419362774, 3_3, 1, 3
419362791, 419362858, 3_4, 1, 3
419362974, 419363091, 3_5, 1, 3
419363307, 419363307, 1_5, 1, 3
419368634, 419368767, 1_3, 1, 4
419368784, 419368784, 2_3, 1, 4
419368801, 419368917, 1_3, 1, 4
419369034, 419369150, 1_4, 1, 4
419369184, 419369333, 1_4, 1, 4
419369350, 419369516, 1_3, 1, 4
419369533, 419369683, 1_2, 1, 4
419369799, 419370267, 2_2, 1, 4
419370483, 419370566, 3_1, 1, 4
419370583, 419370583, 3_2, 1, 4
