begin_AOI_fix, final_AOI_fix, AOI, game, round
807094285, 807094468, 2_2, 1, 1
807094684, 807094784, 3_1, 1, 1
807095217, 807095217, 2_3, 1, 1
807095400, 807095517, 2_4, 1, 1
807097082, 807097148, 4_0, 1, 1
807097182, 807097931, 4_0, 1, 1
807098047, 807098064, 1_3, 1, 1
807098180, 807098480, 2_3, 1, 1
807098697, 807098931, 1_3, 1, 1
807098947, 807099014, 1_4, 1, 1
807099130, 807099130, 1_5, 1, 1
807099130, 807099130, 1_5, 1, 1
807116963, 807116963, 1_3, 1, 2
807116997, 807116997, 1_3, 1, 2
807117030, 807117030, 1_2, 1, 2
807117046, 807117046, 1_3, 1, 2
807117096, 807117096, 1_2, 1, 2
807117246, 807117263, 2_2, 1, 2
807117380, 807117479, 3_2, 1, 2
807117596, 807117679, 2_3, 1, 2
807122375, 807122608, 4_0, 1, 2
807122641, 807122741, 4_0, 1, 2
807122774, 807123124, 4_0, 1, 2
807123340, 807123540, 2_2, 1, 2
807123573, 807123573, 2_2, 1, 2
807123607, 807123891, 2_2, 1, 2
807123907, 807123907, 1_2, 1, 2
807123924, 807124240, 2_2, 1, 2
807124473, 807124473, 4_0, 1, 2
807124540, 807124540, 4_0, 1, 2
807124540, 807124540, 4_0, 1, 2
807131134, 807131134, 1_2, 1, 3
807131250, 807131267, 2_2, 1, 3
807131300, 807131300, 2_2, 1, 3
807131450, 807131500, 1_3, 1, 3
807135779, 807135946, 4_0, 1, 3
807135979, 807135979, 4_0, 1, 3
807136112, 807136129, 4_0, 1, 3
807136279, 807136295, 4_0, 1, 3
807136528, 807136645, 1_2, 1, 3
807144272, 807144671, 1_3, 1, 4
807144788, 807144788, 2_3, 1, 4
807144971, 807144971, 1_4, 1, 4
807147585, 807147585, 4_0, 1, 4
807147585, 807147585, 4_0, 1, 4
807159408, 807159741, 1_3, 1, 5
807159774, 807159824, 1_3, 1, 5
807159841, 807159841, 1_4, 1, 5
807163370, 807163503, 4_0, 1, 5
807163536, 807163603, 4_0, 1, 5
807163620, 807163620, 1_4, 1, 5
807163636, 807163870, 4_0, 1, 5
807164103, 807164403, 1_1, 1, 5
807164520, 807164653, 2_2, 1, 5
807164770, 807164819, 2_3, 1, 5
807164936, 807165119, 1_3, 1, 5
807165136, 807165485, 1_2, 1, 5
807165702, 807165785, 3_2, 1, 5
807165802, 807165802, 3_1, 1, 5
807165818, 807165868, 3_2, 1, 5
807165901, 807165918, 3_1, 1, 5
807165951, 807165968, 3_2, 1, 5
807166417, 807166417, 3_1, 1, 5
807166451, 807166451, 3_1, 1, 5
807166634, 807166634, 3_1, 1, 5
807166750, 807166750, 3_3, 1, 5
807166767, 807166834, 3_2, 1, 5
807166867, 807166867, 3_2, 1, 5
807167283, 807167300, 4_0, 1, 5
807167350, 807167483, 4_0, 1, 5
807167516, 807167766, 4_0, 1, 5
807181920, 807181936, 1_3, 1, 6
807181970, 807181986, 1_3, 1, 6
807182036, 807182169, 1_3, 1, 6
807182203, 807182236, 1_3, 1, 6
807195124, 807195174, 2_2, 1, 7
807195191, 807195191, 1_2, 1, 7
807195208, 807195308, 2_2, 1, 7
807195341, 807195457, 2_2, 1, 7
807195774, 807195890, 3_4, 1, 7
807197738, 807197838, 1_4, 1, 7
807197888, 807197888, 1_4, 1, 7
807198571, 807198738, 2_3, 1, 7
807198771, 807198771, 2_3, 1, 7
807198988, 807199138, 1_2, 1, 7
807205581, 807205648, 2_3, 1, 8
807205681, 807205681, 2_3, 1, 8
807205698, 807205698, 2_2, 1, 8
807205764, 807205798, 2_3, 1, 8
807205814, 807205814, 2_2, 1, 8
807205831, 807205831, 2_3, 1, 8
807205848, 807205914, 2_2, 1, 8
807206047, 807206047, 1_2, 1, 8
807206064, 807206064, 1_3, 1, 8
807206131, 807206131, 1_2, 1, 8
807206164, 807206247, 1_3, 1, 8
807206264, 807206280, 1_2, 1, 8
807206297, 807207929, 1_3, 1, 8
807208212, 807208245, 1_4, 1, 8
807208262, 807208262, 1_3, 1, 8
807208528, 807208611, 1_4, 1, 8
807208895, 807208962, 2_3, 1, 8
807209095, 807209128, 1_3, 1, 8
807209145, 807209145, 1_2, 1, 8
807209178, 807209212, 1_2, 1, 8
807209245, 807209245, 1_3, 1, 8
807209278, 807209278, 1_3, 1, 8
807209295, 807209311, 1_2, 1, 8
807209328, 807209328, 1_3, 1, 8
807209345, 807209361, 1_2, 1, 8
807209395, 807209428, 1_2, 1, 8
807209461, 807209511, 1_2, 1, 8
807209528, 807209544, 1_3, 1, 8
807209578, 807209578, 1_2, 1, 8
807209594, 807209594, 1_3, 1, 8
807209728, 807209761, 4_0, 1, 8
807209794, 807209894, 4_0, 1, 8
807209927, 807209994, 4_0, 1, 8
807210027, 807210077, 4_0, 1, 8
807210110, 807210110, 4_0, 1, 8
807210144, 807210294, 4_0, 1, 8
807222049, 807222066, 3_3, 1, 9
807222082, 807222082, 2_3, 1, 9
807222099, 807222116, 3_3, 1, 9
807222149, 807222166, 3_3, 1, 9
807222299, 807222332, 2_2, 1, 9
807222449, 807222665, 1_3, 1, 9
807222715, 807222715, 1_3, 1, 9
807224714, 807224780, 1_3, 1, 9
807225613, 807225679, 4_0, 1, 9
807226112, 807226112, 4_0, 1, 9
807226145, 807226345, 4_0, 1, 9
807226362, 807226362, 1_4, 1, 9
807226612, 807226628, 2_2, 1, 9
807238001, 807238001, 1_3, 1, 10
807238017, 807238051, 2_2, 1, 10
807238084, 807238101, 1_3, 1, 10
807238134, 807238134, 1_2, 1, 10
807238201, 807238201, 1_2, 1, 10
807238317, 807238350, 1_3, 1, 10
807238367, 807238367, 1_2, 1, 10
807238384, 807238467, 1_3, 1, 10
807238500, 807238533, 1_3, 1, 10
807242080, 807242080, 3_1, 1, 10
807242097, 807242264, 3_2, 1, 10
807242646, 807243029, 4_0, 1, 10
807243063, 807243213, 4_0, 1, 10
807243429, 807243446, 1_2, 1, 10
807243479, 807243746, 2_2, 1, 10
807281078, 807281128, 2_2, 2, 1
807281244, 807281294, 1_2, 2, 1
807281311, 807281461, 1_1, 2, 1
807283959, 807284159, 1_3, 2, 1
807284192, 807284192, 1_3, 2, 1
807291551, 807291551, 1_3, 2, 2
807291585, 807291685, 1_2, 2, 2
807293200, 807293266, 4_0, 2, 2
807293416, 807293449, 4_0, 2, 2
807293682, 807293750, 1_2, 2, 2
807293766, 807293783, 1_3, 2, 2
807293816, 807293950, 1_3, 2, 2
807299894, 807300077, 2_3, 2, 3
807300194, 807300277, 1_3, 2, 3
807300310, 807300310, 1_2, 2, 3
807300327, 807300377, 1_3, 2, 3
807300410, 807300427, 1_3, 2, 3
807315596, 807315613, 1_3, 2, 4
807315646, 807315729, 1_3, 2, 4
807315746, 807315862, 1_2, 2, 4
807315896, 807315979, 1_2, 2, 4
807316012, 807316012, 1_3, 2, 4
807316245, 807316245, 1_4, 2, 4
807325087, 807325087, 2_2, 2, 5
807325120, 807325287, 2_2, 2, 5
807325320, 807325470, 2_2, 2, 5
807325687, 807325687, 1_2, 2, 5
807325720, 807325720, 1_2, 2, 5
807325737, 807325737, 1_3, 2, 5
807325853, 807325853, 1_3, 2, 5
807339141, 807339258, 2_3, 2, 6
807339274, 807339424, 1_2, 2, 6
807339457, 807339457, 1_3, 2, 6
807341855, 807341871, 2_3, 2, 6
807341888, 807341888, 2_2, 2, 6
807341905, 807342171, 2_3, 2, 6
807342188, 807342188, 2_2, 2, 6
807353593, 807353794, 1_3, 2, 7
807353811, 807354094, 1_2, 2, 7
807354127, 807354177, 1_2, 2, 7
807354194, 807354194, 1_3, 2, 7
807354227, 807354227, 1_2, 2, 7
807356425, 807356475, 4_0, 2, 7
807356508, 807356524, 4_0, 2, 7
807356558, 807356658, 4_0, 2, 7
807356691, 807357140, 4_0, 2, 7
807356691, 807357140, 4_0, 2, 7
807362802, 807362985, 1_3, 2, 8
807363101, 807363234, 1_2, 2, 8
807363251, 807363251, 1_3, 2, 8
807364651, 807364701, 4_0, 2, 8
807364717, 807364717, 1_4, 2, 8
807364750, 807364750, 4_0, 2, 8
807364784, 807364817, 4_0, 2, 8
807364834, 807364834, 1_4, 2, 8
807364850, 807364967, 4_0, 2, 8
807365000, 807365017, 4_0, 2, 8
807365033, 807365033, 1_4, 2, 8
807365050, 807365050, 4_0, 2, 8
807373342, 807373575, 1_3, 2, 9
807373592, 807373608, 1_2, 2, 9
807373625, 807373625, 1_3, 2, 9
807373641, 807373875, 1_2, 2, 9
807373892, 807373892, 1_3, 2, 9
807373892, 807373892, 1_3, 2, 9
807381751, 807381751, 1_2, 2, 10
807381768, 807381867, 1_3, 2, 10
807381901, 807382234, 1_2, 2, 10
807382267, 807382267, 1_2, 2, 10
807382300, 807382300, 1_2, 2, 10
807382334, 807382350, 1_3, 2, 10
807383966, 807384133, 4_0, 2, 10
807401648, 807401682, 2_2, 3, 1
807401698, 807401865, 1_2, 3, 1
807401881, 807401898, 1_3, 3, 1
807403047, 807403047, 4_0, 3, 1
807403063, 807403063, 1_4, 3, 1
807403080, 807403097, 4_0, 3, 1
807403113, 807403113, 1_5, 3, 1
807403130, 807403230, 4_0, 3, 1
807408307, 807408474, 2_3, 3, 2
807408590, 807408657, 1_2, 3, 2
807408790, 807408790, 1_3, 3, 2
807408825, 807408858, 1_3, 3, 2
807410156, 807410190, 4_0, 3, 2
807410406, 807410423, 2_2, 3, 2
807414918, 807415084, 2_2, 3, 3
807415201, 807415267, 1_2, 3, 3
807415284, 807415317, 1_3, 3, 3
807415501, 807415501, 1_4, 3, 3
807415517, 807415517, 4_0, 3, 3
807415683, 807415683, 1_4, 3, 3
807418297, 807418364, 2_2, 3, 3
807423725, 807423775, 1_2, 3, 4
807423792, 807423875, 1_3, 3, 4
807423892, 807423892, 1_2, 3, 4
807423925, 807424075, 1_2, 3, 4
807424092, 807424158, 1_3, 3, 4
807424191, 807424191, 1_3, 3, 4
807424208, 807424208, 1_2, 3, 4
807424241, 807424241, 1_3, 3, 4
807424275, 807424291, 1_3, 3, 4
807432150, 807432217, 3_3, 3, 5
807432250, 807432283, 3_3, 3, 5
807432516, 807432516, 1_3, 3, 5
807432650, 807432666, 1_3, 3, 5
807432683, 807432683, 1_4, 3, 5
807439609, 807439609, 1_2, 3, 6
807439643, 807439643, 1_2, 3, 6
807439709, 807439709, 1_3, 3, 6
807439726, 807439726, 1_2, 3, 6
807439743, 807439743, 1_3, 3, 6
807439759, 807439759, 1_2, 3, 6
807439809, 807439809, 1_2, 3, 6
807439826, 807439826, 1_3, 3, 6
807439859, 807439859, 1_2, 3, 6
807439876, 807439876, 1_3, 3, 6
807439926, 807440192, 1_3, 3, 6
807441874, 807442256, 1_2, 3, 6
807448883, 807448883, 3_3, 3, 7
807448917, 807449000, 3_3, 3, 7
807449233, 807449300, 1_2, 3, 7
807449333, 807449349, 1_3, 3, 7
807449383, 807449566, 1_3, 3, 7
807458406, 807458823, 1_3, 3, 8
807461453, 807461520, 1_1, 3, 8
807461537, 807461537, 1_2, 3, 8
807461553, 807461553, 1_1, 3, 8
807461587, 807461603, 1_2, 3, 8
807470527, 807470844, 1_3, 3, 9
807472043, 807472542, 4_0, 3, 9
807472592, 807472675, 4_0, 3, 9
807477553, 807477953, 1_3, 3, 10
807477969, 807477969, 1_2, 3, 10
807477986, 807477986, 1_3, 3, 10
807478019, 807478019, 1_3, 3, 10
807479069, 807479269, 4_0, 3, 10
807479302, 807479352, 4_0, 3, 10
807479385, 807479618, 4_0, 3, 10
807479385, 807479618, 4_0, 3, 10
