begin_AOI_fix, final_AOI_fix, AOI, game, round
626548969, 626549502, 2_3, 1, 1
626549635, 626549651, 2_2, 1, 1
626549868, 626549901, 1_2, 1, 1
626550018, 626550134, 1_3, 1, 1
626550167, 626550317, 1_4, 1, 1
626550434, 626550717, 2_3, 1, 1
626550850, 626551133, 3_3, 1, 1
626551266, 626551466, 2_4, 1, 1
626551599, 626552115, 3_4, 1, 1
626552232, 626552232, 2_4, 1, 1
626552448, 626553414, 4_0, 1, 1
626559624, 626559824, 2_3, 1, 2
626559957, 626560074, 1_3, 1, 2
626560190, 626560373, 2_3, 1, 2
626560490, 626560606, 3_3, 1, 2
626560723, 626560723, 2_3, 1, 2
626561039, 626561389, 4_0, 1, 2
626561705, 626561772, 1_2, 1, 2
626561888, 626561971, 2_2, 1, 2
626562005, 626562221, 2_3, 1, 2
626562438, 626562604, 4_0, 1, 2
626562821, 626563020, 2_4, 1, 2
626563137, 626563203, 3_4, 1, 2
626563420, 626563470, 4_0, 1, 2
626563586, 626563636, 3_4, 1, 2
626563769, 626564269, 2_3, 1, 2
626571628, 626571811, 2_3, 1, 3
626571828, 626571961, 2_4, 1, 3
626572077, 626572077, 1_4, 1, 3
626572194, 626572510, 1_3, 1, 3
626572627, 626572810, 1_2, 1, 3
626572827, 626572910, 1_1, 1, 3
626572926, 626572926, 1_2, 1, 3
626573043, 626573110, 2_2, 1, 3
626573143, 626573393, 2_3, 1, 3
626573509, 626573626, 1_3, 1, 3
626573842, 626574292, 4_0, 1, 3
626574508, 626574658, 1_3, 1, 3
626581917, 626582083, 2_3, 1, 4
626582200, 626582450, 1_3, 1, 4
626582466, 626582683, 1_2, 1, 4
626582700, 626582783, 1_1, 1, 4
626582899, 626583166, 2_2, 1, 4
626583182, 626583182, 2_3, 1, 4
626583299, 626583449, 1_3, 1, 4
626583665, 626584381, 4_0, 1, 4
626589376, 626589559, 2_3, 1, 5
626589676, 626589892, 1_3, 1, 5
626590009, 626590092, 2_3, 1, 5
626590208, 626590308, 3_3, 1, 5
626590426, 626591025, 4_0, 1, 5
626597319, 626597419, 2_3, 1, 6
626597535, 626597635, 1_3, 1, 6
626597752, 626597785, 1_2, 1, 6
626598001, 626598584, 4_0, 1, 6
626602331, 626602347, 2_3, 1, 7
626602564, 626602664, 1_3, 1, 7
626602880, 626603180, 4_0, 1, 7
626607243, 626607343, 2_3, 1, 8
626607459, 626607609, 1_3, 1, 8
626607826, 626608158, 4_0, 1, 8
626612105, 626612438, 1_3, 1, 9
626612754, 626612954, 4_0, 1, 9
626617366, 626617533, 2_3, 1, 10
626617749, 626617749, 1_3, 1, 10
626617783, 626617866, 1_2, 1, 10
626618099, 626618132, 4_0, 1, 10
626618149, 626618332, 3_5, 1, 10
626618548, 626618548, 1_5, 1, 10
626618565, 626618798, 1_4, 1, 10
626618815, 626618965, 1_5, 1, 10
626618981, 626619164, 2_5, 1, 10
626619181, 626619181, 2_4, 1, 10
626619298, 626619514, 3_4, 1, 10
626636648, 626636798, 2_3, 2, 1
626636815, 626636964, 1_3, 2, 1
626636981, 626637064, 1_2, 2, 1
626637281, 626637664, 4_0, 2, 1
626641593, 626641843, 1_3, 2, 2
626641860, 626641993, 1_2, 2, 2
626642209, 626642492, 4_0, 2, 2
626645773, 626645923, 2_3, 2, 3
626645939, 626646172, 1_3, 2, 3
626646389, 626646555, 4_0, 2, 3
626649885, 626650051, 2_3, 2, 4
626650185, 626650251, 3_4, 2, 4
626650368, 626650652, 4_0, 2, 4
626650868, 626651068, 1_2, 2, 4
626651084, 626651284, 1_3, 2, 4
626654764, 626655113, 1_3, 2, 5
626655130, 626655246, 1_2, 2, 5
626655480, 626655880, 4_0, 2, 5
626659492, 626659526, 3_3, 2, 6
626659542, 626659975, 2_3, 2, 6
626660092, 626660125, 1_2, 2, 6
626660142, 626660142, 2_3, 2, 6
626660358, 626660609, 4_0, 2, 6
626663972, 626664138, 2_3, 2, 7
626664254, 626664305, 1_3, 2, 7
626664421, 626664421, 1_2, 2, 7
626664638, 626664771, 4_0, 2, 7
626668234, 626668484, 1_3, 2, 8
626668700, 626669083, 4_0, 2, 8
626672863, 626673196, 1_3, 2, 9
626673413, 626673812, 4_0, 2, 9
626677492, 626677642, 2_3, 2, 10
626677759, 626677942, 1_3, 2, 10
626678191, 626678341, 4_0, 2, 10
626678558, 626678641, 2_3, 2, 10
626690680, 626690830, 2_3, 3, 1
626690963, 626690980, 1_3, 3, 1
626691113, 626691246, 2_3, 3, 1
626691463, 626691729, 4_0, 3, 1
626691945, 626692062, 3_1, 3, 1
626697223, 626697257, 1_2, 3, 2
626697273, 626697307, 1_3, 3, 2
626697340, 626697573, 1_3, 3, 2
626697789, 626698072, 4_0, 3, 2
626701503, 626701603, 2_3, 3, 3
626701719, 626701852, 1_3, 3, 3
626702069, 626702269, 4_0, 3, 3
626705516, 626705766, 1_3, 3, 4
626705982, 626706099, 4_0, 3, 4
626709328, 626709611, 1_3, 3, 5
626709828, 626709994, 4_0, 3, 5
626713225, 626713391, 2_3, 3, 6
626713508, 626713591, 1_3, 3, 6
626713608, 626713708, 1_2, 3, 6
626713924, 626714074, 4_0, 3, 6
626717371, 626717371, 3_3, 3, 7
626717387, 626717387, 2_3, 3, 7
626717438, 626717438, 3_3, 3, 7
626717471, 626717604, 2_3, 3, 7
626718020, 626718203, 4_0, 3, 7
626721484, 626721684, 1_3, 3, 8
626721900, 626722066, 4_0, 3, 8
626725263, 626725430, 2_3, 3, 9
626725547, 626725647, 1_3, 3, 9
626725863, 626726096, 4_0, 3, 9
626729858, 626730042, 3_3, 3, 10
626730058, 626730058, 2_3, 3, 10
626730175, 626730341, 1_3, 3, 10
626730175, 626730341, 1_3, 3, 10
