begin_AOI_fix, final_AOI_fix, AOI, game, round
336343110, 336343626, 2_3, 1, 1
336343842, 336343842, 3_3, 1, 1
336343976, 336344142, 3_2, 1, 1
336344359, 336344375, 1_2, 1, 1
336344392, 336344592, 1_1, 1, 1
336344808, 336344808, 2_2, 1, 1
336344925, 336345008, 1_3, 1, 1
336345124, 336345474, 2_3, 1, 1
336345591, 336345657, 1_3, 1, 1
336346073, 336346223, 1_4, 1, 1
336346340, 336346623, 1_5, 1, 1
336346739, 336347039, 2_5, 1, 1
336347155, 336347355, 3_5, 1, 1
336347472, 336347555, 2_5, 1, 1
336347671, 336347738, 1_5, 1, 1
336347755, 336347755, 1_4, 1, 1
336347871, 336348304, 1_2, 1, 1
336348421, 336348520, 2_2, 1, 1
336348637, 336349103, 3_2, 1, 1
336349319, 336349370, 3_5, 1, 1
336349486, 336349636, 2_5, 1, 1
336349752, 336349936, 2_4, 1, 1
336350052, 336350285, 3_4, 1, 1
336350402, 336350468, 3_3, 1, 1
336350585, 336350769, 2_3, 1, 1
336350885, 336350969, 3_3, 1, 1
336351085, 336351085, 3_2, 1, 1
336351118, 336351368, 3_1, 1, 1
336351385, 336351718, 3_2, 1, 1
336351834, 336352483, 3_3, 1, 1
336352600, 336352750, 2_3, 1, 1
336352867, 336353133, 3_2, 1, 1
336353149, 336353149, 3_3, 1, 1
336353482, 336353665, 1_2, 1, 1
336353682, 336353832, 1_3, 1, 1
336354232, 336354265, 4_0, 1, 1
336354415, 336354664, 1_2, 1, 1
336354781, 336354897, 2_2, 1, 1
336355014, 336355796, 3_3, 1, 1
336355913, 336356046, 2_3, 1, 1
336356163, 336356396, 1_3, 1, 1
336356512, 336356629, 2_3, 1, 1
336356845, 336356945, 3_2, 1, 1
336357161, 336357345, 1_2, 1, 1
336357461, 336357545, 3_2, 1, 1
336357661, 336357761, 3_1, 1, 1
336357778, 336357778, 3_2, 1, 1
336357994, 336358077, 3_5, 1, 1
336358194, 336358460, 2_5, 1, 1
336358577, 336358743, 1_5, 1, 1
336358860, 336359392, 4_0, 1, 1
336369548, 336369548, 1_3, 1, 2
336369981, 336370048, 2_3, 1, 2
336370164, 336370314, 3_3, 1, 2
336370530, 336370748, 1_3, 1, 2
336370964, 336371031, 2_3, 1, 2
336371147, 336371247, 3_3, 1, 2
336371364, 336371630, 3_2, 1, 2
336371647, 336371880, 3_1, 1, 2
336371996, 336372180, 2_2, 1, 2
336372396, 336372496, 1_2, 1, 2
336372512, 336372762, 1_1, 1, 2
336372879, 336373045, 2_2, 1, 2
336373162, 336373445, 2_3, 1, 2
336373461, 336373611, 2_4, 1, 2
336373977, 336374344, 2_3, 1, 2
336374360, 336374560, 2_4, 1, 2
336374677, 336374860, 1_4, 1, 2
336375076, 336375426, 3_4, 1, 2
336375442, 336375442, 3_5, 1, 2
336375759, 336375992, 3_4, 1, 2
336376125, 336376191, 3_5, 1, 2
336376308, 336376691, 2_5, 1, 2
336376907, 336377007, 1_5, 1, 2
336377224, 336377507, 1_2, 1, 2
336377723, 336378023, 3_2, 1, 2
336378139, 336378272, 3_1, 1, 2
336378489, 336378489, 2_3, 1, 2
336378805, 336378888, 3_3, 1, 2
336378905, 336379088, 3_4, 1, 2
336379105, 336379288, 3_5, 1, 2
336379404, 336379471, 2_5, 1, 2
336379871, 336380270, 1_5, 1, 2
336380487, 336380570, 3_5, 1, 2
336380687, 336380987, 3_2, 1, 2
336381337, 336381686, 3_3, 1, 2
336381803, 336382069, 2_2, 1, 2
336382186, 336382235, 1_2, 1, 2
336382535, 336382585, 1_3, 1, 2
336382702, 336382968, 4_0, 1, 2
336383184, 336383401, 2_3, 1, 2
336383517, 336383567, 1_4, 1, 2
336383584, 336383584, 1_5, 1, 2
336383917, 336383933, 1_4, 1, 2
336383950, 336384217, 1_5, 1, 2
336384333, 336384799, 2_5, 1, 2
336384916, 336385432, 1_5, 1, 2
336385648, 336385948, 3_5, 1, 2
336386281, 336386531, 2_4, 1, 2
336386647, 336386680, 2_3, 1, 2
336392558, 336392741, 4_0, 1, 3
336393057, 336393124, 2_2, 1, 3
336393240, 336393523, 1_3, 1, 3
336393540, 336393723, 1_4, 1, 3
336393940, 336393940, 3_3, 1, 3
336394056, 336394239, 3_2, 1, 3
336394256, 336394506, 3_3, 1, 3
336394622, 336394805, 3_4, 1, 3
336394922, 336394955, 2_4, 1, 3
336395205, 336395222, 2_3, 1, 3
336395338, 336395738, 1_2, 1, 3
336395754, 336395987, 1_1, 1, 3
336396204, 336396270, 3_1, 1, 3
336396587, 336396936, 3_4, 1, 3
336397053, 336397169, 3_5, 1, 3
336397286, 336397469, 2_5, 1, 3
336397619, 336397619, 2_5, 1, 3
336397752, 336397785, 2_4, 1, 3
336397918, 336398268, 1_5, 1, 3
336398484, 336398634, 3_4, 1, 3
336398751, 336398901, 2_4, 1, 3
336399017, 336399034, 1_4, 1, 3
336399450, 336400049, 2_4, 1, 3
336400166, 336400382, 3_4, 1, 3
336400666, 336400849, 2_4, 1, 3
336400966, 336401132, 1_4, 1, 3
336401349, 336401615, 3_4, 1, 3
336401732, 336401732, 2_3, 1, 3
336401948, 336401998, 3_2, 1, 3
336402114, 336402281, 3_1, 1, 3
336402398, 336402880, 2_2, 1, 3
336402997, 336403080, 3_2, 1, 3
336403097, 336403263, 3_3, 1, 3
336403380, 336403580, 2_3, 1, 3
336403796, 336404162, 4_0, 1, 3
336426205, 336426255, 1_3, 1, 4
336426805, 336426821, 3_3, 1, 4
336427054, 336427104, 1_3, 1, 4
336427237, 336427421, 1_2, 1, 4
336427637, 336427754, 3_2, 1, 4
336427870, 336428153, 3_3, 1, 4
336428170, 336428170, 3_4, 1, 4
336428453, 336428536, 3_2, 1, 4
336428653, 336428819, 2_2, 1, 4
336428836, 336429418, 2_3, 1, 4
336429535, 336429685, 3_3, 1, 4
336429801, 336429884, 3_4, 1, 4
336429901, 336430067, 3_3, 1, 4
336430084, 336430467, 3_2, 1, 4
336430801, 336430834, 3_3, 1, 4
336430951, 336431101, 3_5, 1, 4
336431217, 336431617, 2_5, 1, 4
336431733, 336431933, 1_5, 1, 4
336431950, 336432283, 1_4, 1, 4
336432499, 336432649, 3_2, 1, 4
336432865, 336433148, 1_2, 1, 4
336433265, 336433381, 1_1, 1, 4
336433398, 336433398, 1_2, 1, 4
336433515, 336433615, 1_3, 1, 4
336433931, 336434064, 3_2, 1, 4
336434181, 336434297, 3_3, 1, 4
336434414, 336434680, 2_3, 1, 4
336434796, 336434863, 3_4, 1, 4
336435129, 336435296, 2_4, 1, 4
336435412, 336435646, 1_4, 1, 4
336435862, 336435978, 3_4, 1, 4
336436295, 336436361, 1_3, 1, 4
336436578, 336437493, 4_0, 1, 4
336437610, 336437993, 1_2, 1, 4
336444969, 336445185, 1_3, 1, 5
336445302, 336445385, 2_3, 1, 5
336445502, 336445618, 3_2, 1, 5
336445835, 336446101, 1_2, 1, 5
336446434, 336446434, 3_2, 1, 5
336446451, 336446451, 3_3, 1, 5
336447200, 336447233, 1_2, 1, 5
336447350, 336447932, 1_1, 1, 5
336448149, 336448182, 3_2, 1, 5
336448199, 336448398, 3_3, 1, 5
336448515, 336448632, 3_4, 1, 5
336448648, 336448915, 3_5, 1, 5
336449031, 336449114, 2_5, 1, 5
336449331, 336449614, 3_2, 1, 5
336449730, 336449897, 2_2, 1, 5
336450013, 336450246, 3_3, 1, 5
336450363, 336450763, 2_3, 1, 5
336450880, 336450996, 1_3, 1, 5
336451113, 336451229, 1_2, 1, 5
336451346, 336451612, 4_0, 1, 5
336451829, 336451845, 1_4, 1, 5
336452062, 336452079, 3_4, 1, 5
336452195, 336452312, 2_4, 1, 5
336464881, 336464881, 1_4, 1, 6
336465098, 336465115, 3_3, 1, 6
336465131, 336465131, 2_3, 1, 6
336465248, 336465431, 1_3, 1, 6
336465447, 336465714, 1_2, 1, 6
336465830, 336465980, 1_3, 1, 6
336466097, 336466180, 2_3, 1, 6
336466196, 336466196, 2_4, 1, 6
336466629, 336466763, 3_3, 1, 6
336466879, 336467312, 3_2, 1, 6
336467429, 336467478, 3_3, 1, 6
336467495, 336467495, 3_4, 1, 6
336467528, 336468078, 3_4, 1, 6
336468194, 336468278, 2_4, 1, 6
336468394, 336468527, 1_4, 1, 6
336468660, 336468760, 1_2, 1, 6
336468777, 336468777, 1_3, 1, 6
336468843, 336468860, 1_3, 1, 6
336468893, 336468910, 1_3, 1, 6
336469243, 336469426, 2_2, 1, 6
336469443, 336469659, 2_3, 1, 6
336469876, 336469992, 1_5, 1, 6
336470109, 336470259, 1_4, 1, 6
336470375, 336471208, 4_0, 1, 6
336471508, 336471558, 2_2, 1, 6
336471575, 336471991, 3_2, 1, 6
336472007, 336472474, 3_3, 1, 6
336472773, 336473090, 2_3, 1, 6
336473306, 336473423, 4_0, 1, 6
336481647, 336481897, 1_3, 1, 7
336482114, 336482147, 3_3, 1, 7
336482363, 336482363, 1_3, 1, 7
336482480, 336482580, 1_2, 1, 7
336482796, 336482813, 3_3, 1, 7
336482829, 336483079, 3_2, 1, 7
336483196, 336483362, 2_2, 1, 7
336483612, 336483845, 2_3, 1, 7
336483961, 336484095, 3_3, 1, 7
336484211, 336484311, 3_4, 1, 7
336484428, 336484561, 2_4, 1, 7
336484677, 336484844, 1_4, 1, 7
336484960, 336485027, 1_5, 1, 7
336485143, 336485576, 2_5, 1, 7
336485693, 336485876, 3_5, 1, 7
336485992, 336486226, 2_5, 1, 7
336486342, 336486425, 3_4, 1, 7
336486542, 336486908, 3_2, 1, 7
336487324, 336487457, 3_4, 1, 7
336487574, 336487657, 2_4, 1, 7
336487774, 336487940, 1_5, 1, 7
336488057, 336488756, 4_0, 1, 7
336488922, 336489039, 1_2, 1, 7
336489155, 336489222, 1_1, 1, 7
336506804, 336506887, 1_4, 1, 8
336506904, 336506904, 1_5, 1, 8
336507037, 336507070, 1_4, 1, 8
336507303, 336507303, 1_3, 1, 8
336507336, 336507503, 1_2, 1, 8
336507719, 336507719, 3_3, 1, 8
336507753, 336507769, 3_3, 1, 8
336507786, 336508102, 3_2, 1, 8
336508119, 336508119, 3_3, 1, 8
