begin_AOI_fix, final_AOI_fix, AOI, game, round
885017946, 885018413, 2_3, 1, 1
885018530, 885018530, 3_2, 1, 1
885018746, 885019063, 1_2, 1, 1
885019179, 885019196, 1_1, 1, 1
885019412, 885019512, 3_2, 1, 1
885019629, 885019812, 3_1, 1, 1
885019945, 885020028, 2_2, 1, 1
885020162, 885020162, 1_3, 1, 1
885020195, 885020961, 1_3, 1, 1
885021177, 885021610, 2_3, 1, 1
885021726, 885021843, 1_3, 1, 1
885021860, 885022476, 1_4, 1, 1
885022492, 885022709, 1_5, 1, 1
885022825, 885022858, 4_0, 1, 1
885023075, 885023291, 2_5, 1, 1
885023408, 885023541, 2_4, 1, 1
885023658, 885023974, 1_4, 1, 1
885024090, 885024357, 4_0, 1, 1
885024573, 885024623, 1_2, 1, 1
885024756, 885024756, 2_2, 1, 1
885040457, 885040607, 2_4, 1, 2
885040624, 885040824, 2_3, 1, 2
885040940, 885041240, 1_3, 1, 2
885041256, 885041256, 1_2, 1, 2
885041290, 885041323, 1_2, 1, 2
885041373, 885041423, 1_2, 1, 2
885041456, 885041673, 1_2, 1, 2
885041789, 885041822, 2_2, 1, 2
885041856, 885041956, 2_2, 1, 2
885041972, 885042372, 2_3, 1, 2
885042505, 885042588, 1_3, 1, 2
885042621, 885043021, 1_4, 1, 2
885043238, 885043404, 2_4, 1, 2
885043421, 885043953, 3_4, 1, 2
885044070, 885044270, 3_3, 1, 2
885044486, 885044686, 2_5, 1, 2
885044802, 885045219, 1_5, 1, 2
885045335, 885046151, 2_5, 1, 2
885046267, 885046301, 1_5, 1, 2
885046417, 885046734, 4_0, 1, 2
885046850, 885046850, 1_2, 1, 2
885046933, 885047549, 1_2, 1, 2
885047782, 885048132, 3_5, 1, 2
885048149, 885048149, 3_4, 1, 2
885048366, 885048449, 3_2, 1, 2
885048566, 885048915, 2_2, 1, 2
885049032, 885049382, 3_2, 1, 2
885049415, 885049415, 3_2, 1, 2
885049432, 885049681, 3_1, 1, 2
885049698, 885049948, 3_2, 1, 2
885050164, 885050214, 1_4, 1, 2
885050231, 885050497, 4_0, 1, 2
885056257, 885056557, 2_3, 1, 3
885056673, 885057156, 1_3, 1, 3
885057173, 885057223, 1_2, 1, 3
885057256, 885057489, 1_2, 1, 3
885057523, 885057539, 1_2, 1, 3
885057656, 885057672, 2_2, 1, 3
885057739, 885057739, 2_2, 1, 3
885057772, 885057772, 2_3, 1, 3
885057889, 885058155, 3_3, 1, 3
885058273, 885058572, 3_2, 1, 3
885058689, 885058922, 2_2, 1, 3
885059038, 885059038, 3_2, 1, 3
885059072, 885059072, 3_2, 1, 3
885059105, 885059105, 3_2, 1, 3
885059138, 885059155, 3_2, 1, 3
885059188, 885059188, 3_3, 1, 3
885059205, 885059222, 3_2, 1, 3
885059238, 885059238, 3_3, 1, 3
885059255, 885059288, 3_2, 1, 3
885059321, 885059321, 3_2, 1, 3
885059355, 885059388, 3_2, 1, 3
885059405, 885059405, 3_3, 1, 3
885059621, 885059821, 4_0, 1, 3
885067229, 885067446, 2_3, 1, 4
885067562, 885068045, 1_3, 1, 4
885068062, 885068678, 1_2, 1, 4
885068695, 885068695, 1_3, 1, 4
885068812, 885068978, 2_3, 1, 4
885069095, 885069511, 3_3, 1, 4
885069627, 885069661, 3_2, 1, 4
885069694, 885069894, 3_2, 1, 4
885070110, 885070110, 2_2, 1, 4
885070143, 885070143, 2_2, 1, 4
885070360, 885070660, 4_0, 1, 4
885070776, 885071076, 1_5, 1, 4
885071192, 885071409, 2_5, 1, 4
885071542, 885071642, 1_5, 1, 4
885077402, 885077452, 1_3, 1, 5
885077568, 885077652, 2_3, 1, 5
885077685, 885077785, 2_3, 1, 5
885077901, 885078201, 1_3, 1, 5
885078218, 885078218, 1_2, 1, 5
885078252, 885078252, 1_2, 1, 5
885078302, 885078751, 1_2, 1, 5
885078885, 885078935, 1_3, 1, 5
885078968, 885078985, 1_4, 1, 5
885079018, 885079034, 1_3, 1, 5
885079168, 885079251, 1_4, 1, 5
885079367, 885079634, 4_0, 1, 5
885079850, 885080200, 2_3, 1, 5
885080316, 885080383, 3_3, 1, 5
885086210, 885086459, 2_3, 1, 6
885086476, 885087259, 1_3, 1, 6
885087275, 885087858, 1_4, 1, 6
885087974, 885088375, 2_4, 1, 6
885088491, 885088725, 1_5, 1, 6
885088841, 885088958, 4_0, 1, 6
885089174, 885089374, 2_5, 1, 6
885089490, 885089790, 3_5, 1, 6
885089907, 885089990, 3_3, 1, 6
885090106, 885090622, 3_2, 1, 6
885090639, 885091039, 3_3, 1, 6
885091255, 885091255, 2_2, 1, 6
885103392, 885104008, 1_3, 1, 7
885104125, 885104258, 2_3, 1, 7
885104375, 885104641, 3_3, 1, 7
885104757, 885105074, 3_2, 1, 7
885105290, 885105607, 4_0, 1, 7
885112050, 885112383, 2_3, 1, 8
885112400, 885113316, 1_3, 1, 8
885113432, 885113798, 1_2, 1, 8
885114015, 885114048, 2_3, 1, 8
885114165, 885114531, 3_3, 1, 8
885114647, 885114980, 3_2, 1, 8
885115197, 885115530, 4_0, 1, 8
885115763, 885115829, 3_3, 1, 8
885115946, 885116296, 2_3, 1, 8
885116412, 885116562, 1_3, 1, 8
885123472, 885123671, 2_3, 1, 9
885123688, 885123821, 2_2, 1, 9
885123938, 885124188, 1_3, 1, 9
885124304, 885124554, 1_2, 1, 9
885124770, 885124787, 2_3, 1, 9
885124920, 885125103, 3_3, 1, 9
885125236, 885125636, 3_2, 1, 9
885125752, 885125752, 2_2, 1, 9
885125786, 885125819, 2_2, 1, 9
885125936, 885125952, 1_3, 1, 9
885125969, 885125969, 1_2, 1, 9
885125986, 885126002, 1_3, 1, 9
885126019, 885126019, 1_2, 1, 9
885126252, 885126435, 4_0, 1, 9
885131397, 885132146, 1_3, 1, 10
885132163, 885132429, 1_4, 1, 10
885132646, 885132729, 2_4, 1, 10
885132845, 885132962, 3_2, 1, 10
885133012, 885133012, 3_2, 1, 10
885133045, 885133045, 3_2, 1, 10
885133079, 885133395, 3_3, 1, 10
885133545, 885134244, 2_2, 1, 10
885134460, 885134693, 4_0, 1, 10
885134810, 885134960, 1_5, 1, 10
885135076, 885135243, 2_5, 1, 10
885135359, 885135676, 3_5, 1, 10
885156720, 885157353, 1_3, 2, 1
885157370, 885157636, 1_2, 2, 1
885157769, 885158036, 1_4, 2, 1
