begin_AOI_fix, final_AOI_fix, AOI, game, round
426677186, 426677420, 2_3, 1, 1
426677436, 426677553, 2_2, 1, 1
426677669, 426677719, 1_1, 1, 1
426677752, 426677786, 1_1, 1, 1
426677803, 426677952, 1_2, 1, 1
426678269, 426678335, 1_3, 1, 1
426678352, 426678518, 2_3, 1, 1
426678651, 426678651, 3_3, 1, 1
426678984, 426679018, 3_4, 1, 1
426679134, 426680433, 4_0, 1, 1
426680566, 426680649, 3_3, 1, 1
426680666, 426680666, 3_2, 1, 1
426680882, 426680999, 3_1, 1, 1
426681015, 426681015, 3_2, 1, 1
426681631, 426681798, 2_3, 1, 1
426681631, 426681798, 2_3, 1, 1
426692020, 426692469, 2_3, 1, 2
426692586, 426692652, 2_2, 1, 2
426692769, 426692769, 1_2, 1, 2
426692802, 426692802, 1_3, 1, 2
426692836, 426692919, 1_2, 1, 2
426692935, 426693185, 1_3, 1, 2
426693202, 426693302, 1_2, 1, 2
426693418, 426693418, 1_1, 1, 2
426693734, 426693834, 1_3, 1, 2
426693951, 426694051, 2_3, 1, 2
426694400, 426694583, 3_1, 1, 2
426694800, 426695083, 2_3, 1, 2
426695200, 426695433, 1_3, 1, 2
426695749, 426696947, 4_0, 1, 2
426696964, 426696964, 3_4, 1, 2
426696981, 426697031, 4_0, 1, 2
426697047, 426697197, 3_4, 1, 2
426697214, 426697214, 3_3, 1, 2
426697230, 426697447, 3_4, 1, 2
426697480, 426697597, 3_4, 1, 2
426706886, 426706886, 3_3, 1, 3
426707302, 426707552, 1_3, 1, 3
426707669, 426707869, 1_2, 1, 3
426707985, 426708118, 2_2, 1, 3
426708135, 426708318, 2_3, 1, 3
426708534, 426708884, 3_3, 1, 3
426709101, 426709150, 3_2, 1, 3
426709167, 426709167, 3_3, 1, 3
426709383, 426709517, 3_5, 1, 3
426710016, 426710682, 4_0, 1, 3
426710699, 426710699, 3_4, 1, 3
426711015, 426711032, 2_3, 1, 3
426711148, 426711365, 1_3, 1, 3
426711381, 426711564, 1_2, 1, 3
426711598, 426711598, 1_2, 1, 3
426719922, 426720255, 2_3, 1, 4
426720371, 426720471, 1_3, 1, 4
426720488, 426720488, 1_2, 1, 4
426720521, 426720571, 1_2, 1, 4
426720587, 426720587, 1_3, 1, 4
426720604, 426720837, 1_2, 1, 4
426721054, 426721070, 2_3, 1, 4
426721104, 426721120, 2_3, 1, 4
426721137, 426721137, 3_3, 1, 4
426721253, 426721320, 3_4, 1, 4
426721437, 426721553, 2_3, 1, 4
426721786, 426721869, 4_0, 1, 4
426722003, 426722036, 3_4, 1, 4
426722053, 426722053, 3_3, 1, 4
426722069, 426722103, 3_4, 1, 4
426722219, 426722452, 4_0, 1, 4
426722469, 426722635, 3_4, 1, 4
426722652, 426722668, 3_3, 1, 4
426722785, 426723068, 2_3, 1, 4
426723085, 426723085, 3_3, 1, 4
426723101, 426723351, 2_3, 1, 4
426723484, 426723551, 1_3, 1, 4
426723667, 426723817, 2_3, 1, 4
426723834, 426723984, 2_2, 1, 4
426724017, 426724134, 2_2, 1, 4
426724250, 426724250, 3_3, 1, 4
426724267, 426724433, 2_3, 1, 4
426732457, 426732607, 2_3, 1, 5
426732724, 426732940, 1_3, 1, 5
426732974, 426732990, 1_3, 1, 5
426733007, 426733007, 1_2, 1, 5
426733024, 426733024, 1_3, 1, 5
426733040, 426733040, 1_2, 1, 5
426733257, 426733390, 2_3, 1, 5
426733506, 426733673, 3_3, 1, 5
426733689, 426733689, 3_2, 1, 5
426733706, 426733706, 3_3, 1, 5
426734056, 426734056, 2_3, 1, 5
426734072, 426734072, 2_4, 1, 5
426734106, 426734122, 2_3, 1, 5
426734139, 426734139, 2_4, 1, 5
426734156, 426734355, 2_3, 1, 5
426734572, 426735154, 4_0, 1, 5
426735288, 426735304, 2_3, 1, 5
426735338, 426736037, 2_3, 1, 5
426742713, 426742896, 2_3, 1, 6
426742912, 426743129, 1_3, 1, 6
426743162, 426743312, 1_2, 1, 6
426743445, 426743545, 1_4, 1, 6
426743994, 426744311, 3_4, 1, 6
426744327, 426744577, 3_5, 1, 6
426744694, 426745376, 4_0, 1, 6
426745493, 426745659, 3_3, 1, 6
426745676, 426745676, 3_2, 1, 6
426745792, 426745942, 3_1, 1, 6
426746159, 426746159, 2_2, 1, 6
426746175, 426746691, 2_3, 1, 6
426753251, 426753434, 2_3, 1, 7
426753550, 426753584, 1_3, 1, 7
426753900, 426753933, 1_2, 1, 7
