begin_AOI_fix, final_AOI_fix, AOI, game, round
252942650, 252942933, 3_3, 1, 1
252943049, 252943049, 3_1, 1, 1
252943066, 252943066, 3_2, 1, 1
252943099, 252943598, 3_1, 1, 1
252943815, 252944081, 2_2, 1, 1
252944298, 252944398, 3_2, 1, 1
252944614, 252944647, 1_2, 1, 1
252944664, 252944797, 1_1, 1, 1
252945014, 252945346, 3_1, 1, 1
252945364, 252945547, 3_2, 1, 1
252945797, 252945830, 2_2, 1, 1
252945947, 252946080, 3_3, 1, 1
252946296, 252946446, 1_3, 1, 1
252946563, 252946696, 2_3, 1, 1
252946813, 252947046, 2_4, 1, 1
252947162, 252947279, 3_4, 1, 1
252947395, 252947695, 2_5, 1, 1
252947811, 252948178, 1_5, 1, 1
252948294, 252948361, 2_5, 1, 1
252948577, 252949360, 4_0, 1, 1
252949592, 252949643, 2_3, 1, 1
252949659, 252949659, 3_2, 1, 1
252949776, 252950025, 3_1, 1, 1
252950242, 252950758, 2_3, 1, 1
252950874, 252950974, 2_2, 1, 1
252951091, 252951174, 1_2, 1, 1
252951191, 252951440, 1_1, 1, 1
252951557, 252951624, 2_2, 1, 1
252951857, 252952422, 3_2, 1, 1
252952439, 252952856, 3_1, 1, 1
252952972, 252953355, 2_2, 1, 1
252953571, 252953605, 3_3, 1, 1
252953721, 252953888, 2_3, 1, 1
252954104, 252954221, 1_4, 1, 1
252954437, 252954870, 3_4, 1, 1
252954886, 252955103, 3_5, 1, 1
252973201, 252973450, 2_3, 1, 2
252973667, 252973783, 3_1, 1, 2
252973817, 252974266, 3_2, 1, 2
252974383, 252974549, 3_3, 1, 2
252974666, 252974749, 2_3, 1, 2
252974882, 252974965, 2_2, 1, 2
252975098, 252975232, 1_2, 1, 2
252975348, 252975599, 1_3, 1, 2
252975715, 252976182, 2_3, 1, 2
252976298, 252976415, 1_3, 1, 2
252976531, 252976698, 1_2, 1, 2
252976914, 252976931, 3_3, 1, 2
252976947, 252977713, 3_4, 1, 2
252977830, 252978063, 2_4, 1, 2
252978179, 252978412, 1_4, 1, 2
252978429, 252978745, 1_5, 1, 2
252978962, 252979161, 3_5, 1, 2
