begin_AOI_fix, final_AOI_fix, AOI, game, round
550172946, 550173146, 4_0, 1, 1
550173379, 550173379, 2_3, 1, 1
550173595, 550173662, 1_1, 1, 1
550173878, 550173912, 3_1, 1, 1
550173928, 550173928, 3_2, 1, 1
550174062, 550174295, 3_2, 1, 1
550174411, 550174461, 2_2, 1, 1
550174578, 550174678, 1_2, 1, 1
550174694, 550174694, 1_3, 1, 1
550174811, 550174894, 2_3, 1, 1
550175010, 550175110, 1_4, 1, 1
550175227, 550175310, 2_4, 1, 1
550175543, 550175543, 2_2, 1, 1
550175560, 550175909, 3_1, 1, 1
550176043, 550176192, 3_3, 1, 1
550176309, 550176475, 2_4, 1, 1
550176492, 550176642, 2_5, 1, 1
550176675, 550176692, 2_5, 1, 1
550176709, 550177141, 1_5, 1, 1
550177275, 550177325, 1_4, 1, 1
550177541, 550177807, 3_5, 1, 1
550177924, 550178373, 3_4, 1, 1
550178390, 550178656, 3_3, 1, 1
550178773, 550179072, 2_4, 1, 1
550179189, 550179289, 3_4, 1, 1
550179405, 550180221, 4_0, 1, 1
550180238, 550180238, 3_4, 1, 1
550180238, 550180238, 3_4, 1, 1
550199800, 550200000, 4_0, 1, 2
550200217, 550200267, 2_3, 1, 2
550200383, 550200383, 1_3, 1, 2
550200416, 550200416, 1_4, 1, 2
550200450, 550200450, 1_4, 1, 2
550200466, 550200466, 1_3, 1, 2
550200483, 550200483, 1_4, 1, 2
550200500, 550200683, 1_3, 1, 2
550200699, 550200899, 1_2, 1, 2
550201016, 550201199, 2_2, 1, 2
550201232, 550201249, 2_3, 1, 2
550201282, 550201332, 2_3, 1, 2
550201365, 550201365, 2_3, 1, 2
550201432, 550201649, 2_2, 1, 2
550201683, 550201799, 2_3, 1, 2
550201916, 550202049, 3_3, 1, 2
550202065, 550202448, 3_4, 1, 2
550202565, 550202632, 2_4, 1, 2
550202648, 550202831, 2_5, 1, 2
550202865, 550202865, 2_5, 1, 2
550202998, 550203597, 3_5, 1, 2
550203730, 550203814, 3_4, 1, 2
550203830, 550203980, 3_3, 1, 2
550203997, 550204146, 3_2, 1, 2
550204363, 550204496, 1_2, 1, 2
550204613, 550204896, 2_2, 1, 2
550205012, 550205412, 3_2, 1, 2
550205528, 550205861, 3_1, 1, 2
550205994, 550206261, 3_2, 1, 2
550206277, 550206494, 3_3, 1, 2
550206510, 550206710, 3_2, 1, 2
550206827, 550206960, 2_2, 1, 2
550207076, 550207526, 1_2, 1, 2
550207742, 550208042, 4_0, 1, 2
550208258, 550208275, 2_2, 1, 2
550208392, 550208708, 1_1, 1, 2
550230784, 550231017, 4_0, 1, 3
550231234, 550231234, 2_3, 1, 3
550231250, 550231250, 2_2, 1, 3
550231367, 550231400, 1_1, 1, 3
550231417, 550231583, 1_2, 1, 3
550231701, 550231801, 1_3, 1, 3
550231917, 550232367, 2_3, 1, 3
550232483, 550232483, 1_3, 1, 3
550232517, 550232533, 1_3, 1, 3
550232550, 550232716, 1_4, 1, 3
550232833, 550232966, 2_4, 1, 3
550232983, 550232983, 2_5, 1, 3
550233016, 550233033, 2_5, 1, 3
550233049, 550233049, 2_4, 1, 3
550233066, 550233066, 2_5, 1, 3
550233099, 550233149, 2_5, 1, 3
550233266, 550233532, 3_5, 1, 3
550233782, 550233899, 1_5, 1, 3
550234015, 550234015, 2_4, 1, 3
550234032, 550234048, 2_5, 1, 3
550234081, 550234081, 2_5, 1, 3
550234099, 550234265, 3_5, 1, 3
550234281, 550234548, 3_4, 1, 3
550234664, 550234731, 3_3, 1, 3
550234947, 550234964, 2_3, 1, 3
550235180, 550235330, 3_2, 1, 3
550235447, 550235530, 2_2, 1, 3
550235646, 550235746, 1_2, 1, 3
550235863, 550235996, 2_2, 1, 3
550236113, 550236745, 3_3, 1, 3
550236862, 550237078, 4_0, 1, 3
550237294, 550237328, 1_3, 1, 3
550237344, 550237344, 1_2, 1, 3
550237461, 550237644, 1_1, 1, 3
550237861, 550237894, 3_1, 1, 3
550238143, 550238143, 4_0, 1, 3
550238210, 550238210, 4_0, 1, 3
550238243, 550238243, 4_0, 1, 3
550238293, 550238293, 4_0, 1, 3
550254976, 550254976, 3_4, 1, 4
550255009, 550255009, 3_4, 1, 4
550255043, 550255043, 3_3, 1, 4
550255076, 550255076, 3_4, 1, 4
550255159, 550255159, 3_4, 1, 4
550255426, 550255426, 2_3, 1, 4
550255442, 550255559, 2_4, 1, 4
550255775, 550255775, 1_3, 1, 4
550255792, 550255858, 1_2, 1, 4
550255908, 550255908, 1_2, 1, 4
550255942, 550256108, 1_2, 1, 4
550256225, 550256424, 2_2, 1, 4
550256458, 550256607, 2_3, 1, 4
550256724, 550257173, 3_3, 1, 4
550257190, 550257423, 3_2, 1, 4
550257473, 550257506, 3_2, 1, 4
550257640, 550257673, 2_3, 1, 4
550257690, 550257723, 2_2, 1, 4
550257739, 550258222, 2_3, 1, 4
550258239, 550258239, 2_2, 1, 4
550258256, 550258772, 2_3, 1, 4
550258805, 550258805, 2_4, 1, 4
550258838, 550258838, 2_3, 1, 4
550258855, 550258855, 2_4, 1, 4
550258888, 550258921, 2_4, 1, 4
550259138, 550259354, 3_4, 1, 4
550259371, 550259371, 3_3, 1, 4
550259488, 550259571, 3_2, 1, 4
550259587, 550259587, 3_3, 1, 4
550259804, 550259804, 3_5, 1, 4
550259837, 550259970, 3_5, 1, 4
550260203, 550260486, 2_4, 1, 4
550260520, 550260636, 2_4, 1, 4
550260653, 550260703, 2_5, 1, 4
550260719, 550260719, 2_4, 1, 4
550260936, 550260969, 1_5, 1, 4
550261202, 550261252, 3_3, 1, 4
550261269, 550261385, 3_4, 1, 4
550261402, 550261402, 3_5, 1, 4
550261419, 550261419, 3_4, 1, 4
550261435, 550261485, 3_5, 1, 4
550261719, 550262019, 3_2, 1, 4
550262035, 550262385, 3_3, 1, 4
550262402, 550262685, 3_2, 1, 4
550262901, 550262934, 1_2, 1, 4
550263051, 550263151, 2_2, 1, 4
550263284, 550263850, 1_1, 1, 4
550263967, 550264116, 2_2, 1, 4
550264333, 550264349, 3_2, 1, 4
550264366, 550264549, 3_3, 1, 4
550264682, 550264999, 4_0, 1, 4
550270176, 550270276, 2_3, 1, 5
550270326, 550270492, 2_3, 1, 5
550270909, 550270909, 1_3, 1, 5
550270959, 550271075, 1_3, 1, 5
550271108, 550271241, 1_2, 1, 5
550271458, 550271842, 3_3, 1, 5
550271958, 550271958, 3_4, 1, 5
550271975, 550271992, 3_3, 1, 5
550272008, 550272375, 3_4, 1, 5
550272391, 550272391, 3_5, 1, 5
550272524, 550272591, 3_5, 1, 5
550272608, 550273157, 4_0, 1, 5
550277352, 550277552, 3_3, 1, 6
550277668, 550277718, 2_3, 1, 6
550277752, 550277752, 2_3, 1, 6
550277868, 550277868, 2_5, 1, 6
550277902, 550277902, 2_5, 1, 6
550278118, 550278118, 3_3, 1, 6
550278135, 550278168, 3_4, 1, 6
550278284, 550278401, 3_3, 1, 6
550278617, 550278767, 1_3, 1, 6
550278800, 550278917, 1_2, 1, 6
550279134, 550279134, 2_4, 1, 6
550279150, 550279267, 3_4, 1, 6
550279283, 550279283, 4_0, 1, 6
550279300, 550279400, 3_4, 1, 6
550279416, 550279733, 4_0, 1, 6
550290771, 550290988, 2_3, 1, 7
550291104, 550291337, 1_3, 1, 7
550291553, 550291570, 4_0, 1, 7
550291587, 550291587, 3_4, 1, 7
550291603, 550292187, 4_0, 1, 7
550300910, 550301210, 2_3, 1, 8
550301526, 550301576, 1_2, 1, 8
550301593, 550301777, 1_3, 1, 8
550301910, 550301910, 3_4, 1, 8
550301943, 550301943, 3_4, 1, 8
550301960, 550301960, 3_3, 1, 8
550301977, 550302210, 3_4, 1, 8
550302326, 550302409, 2_4, 1, 8
550302642, 550302642, 4_0, 1, 8
550302659, 550302659, 3_4, 1, 8
550302676, 550303059, 4_0, 1, 8
550306471, 550306738, 2_3, 1, 9
550306854, 550306954, 3_3, 1, 9
550306987, 550307121, 3_3, 1, 9
550307337, 550307470, 1_3, 1, 9
550307687, 550307936, 4_0, 1, 9
550313381, 550313614, 3_3, 1, 10
550313731, 550313781, 3_4, 1, 10
550313797, 550313814, 4_0, 1, 10
550313831, 550313831, 3_4, 1, 10
550313847, 550313847, 4_0, 1, 10
550313864, 550313864, 3_4, 1, 10
550313881, 550313881, 4_0, 1, 10
550313897, 550313897, 3_4, 1, 10
550313914, 550314297, 4_0, 1, 10
550335291, 550335408, 2_3, 2, 1
550335458, 550335458, 2_3, 2, 1
550335574, 550335741, 1_2, 2, 1
550335857, 550335990, 1_3, 2, 1
550336107, 550336756, 2_3, 2, 1
550336789, 550336823, 2_3, 2, 1
550336856, 550336873, 2_3, 2, 1
550336906, 550336906, 2_4, 2, 1
550336923, 550336989, 2_3, 2, 1
550337022, 550337039, 2_3, 2, 1
550337056, 550337056, 2_4, 2, 1
550337072, 550337106, 2_3, 2, 1
550337122, 550337122, 2_4, 2, 1
550337139, 550337139, 2_3, 2, 1
550337372, 550337372, 4_0, 2, 1
550337505, 550337505, 4_0, 2, 1
550337672, 550337921, 3_4, 2, 1
550337938, 550338154, 4_0, 2, 1
550338537, 550338537, 1_2, 2, 1
550338754, 550339120, 4_0, 2, 1
550343000, 550343183, 3_3, 2, 2
550343200, 550343200, 2_3, 2, 2
550343250, 550343333, 2_3, 2, 2
550343350, 550343350, 2_4, 2, 2
550343366, 550343449, 1_4, 2, 2
550343566, 550343649, 1_3, 2, 2
550343865, 550343899, 2_3, 2, 2
550343915, 550344232, 3_3, 2, 2
550344348, 550344748, 4_0, 2, 2
550353738, 550353888, 2_3, 2, 3
550354105, 550354354, 1_3, 2, 3
550354471, 550354521, 2_3, 2, 3
550354637, 550354804, 3_3, 2, 3
550354920, 550355320, 3_4, 2, 3
550355337, 550355470, 3_3, 2, 3
550355520, 550355536, 3_3, 2, 3
550355553, 550355953, 3_2, 2, 3
550355986, 550356535, 3_3, 2, 3
550357051, 550357234, 3_4, 2, 3
550357351, 550357767, 4_0, 2, 3
550357984, 550358000, 2_3, 2, 3
550358233, 550358833, 1_2, 2, 3
550358949, 550359016, 2_2, 2, 3
