begin_AOI_fix, final_AOI_fix, AOI, game, round
283508949, 283509132, 1_3, 1, 1
283509248, 283509398, 2_3, 1, 1
283509515, 283509798, 3_2, 1, 1
283509914, 283510031, 2_2, 1, 1
283510147, 283510397, 1_2, 1, 1
283510414, 283510597, 1_3, 1, 1
283510713, 283511264, 2_3, 1, 1
283511380, 283511530, 2_4, 1, 1
283511647, 283511846, 1_4, 1, 1
283511863, 283511980, 1_5, 1, 1
283512213, 283512313, 2_5, 1, 1
283512429, 283512596, 3_5, 1, 1
283512729, 283512762, 3_4, 1, 1
283512979, 283513062, 1_1, 1, 1
283513278, 283513278, 3_1, 1, 1
283513311, 283513561, 3_2, 1, 1
283513778, 283514477, 4_0, 1, 1
283514493, 283514493, 1_4, 1, 1
283514710, 283514810, 2_3, 1, 1
283514926, 283514960, 2_4, 1, 1
283536007, 283536357, 2_3, 1, 2
283536574, 283536690, 3_2, 1, 2
283536823, 283536840, 3_1, 1, 2
283536857, 283536857, 3_2, 1, 2
283537073, 283537256, 2_5, 1, 2
283537373, 283537406, 2_3, 1, 2
283537423, 283537423, 2_2, 1, 2
283537439, 283537439, 2_3, 1, 2
283537456, 283537656, 2_2, 1, 2
283537772, 283537939, 3_2, 1, 2
283538155, 283538388, 1_2, 1, 2
283538505, 283538688, 1_3, 1, 2
283538804, 283539154, 2_3, 1, 2
283539271, 283539437, 1_3, 1, 2
283539454, 283539687, 1_4, 1, 2
283539803, 283539936, 2_4, 1, 2
283540053, 283540186, 1_4, 1, 2
283540203, 283540219, 1_5, 1, 2
283540253, 283540269, 1_5, 1, 2
283540303, 283540502, 1_5, 1, 2
283540686, 283540719, 2_5, 1, 2
283540835, 283541052, 3_5, 1, 2
283541269, 283541552, 4_0, 1, 2
283557521, 283557820, 2_3, 1, 3
283557837, 283557987, 2_2, 1, 3
283558103, 283558103, 3_2, 1, 3
283558320, 283558453, 1_3, 1, 3
283558469, 283558619, 1_2, 1, 3
283558736, 283558869, 2_2, 1, 3
283558902, 283559036, 2_3, 1, 3
283559252, 283559602, 4_0, 1, 3
283559718, 283559818, 1_4, 1, 3
283559934, 283560034, 2_4, 1, 3
283560101, 283560184, 2_5, 1, 3
283560334, 283560401, 1_5, 1, 3
283560617, 283560834, 3_5, 1, 3
283560950, 283561000, 3_4, 1, 3
283561217, 283561684, 4_0, 1, 3
283569143, 283569326, 1_3, 1, 4
283569442, 283569509, 2_2, 1, 4
283569526, 283569526, 1_2, 1, 4
283569542, 283569576, 2_2, 1, 4
283569692, 283569692, 1_3, 1, 4
283569759, 283569792, 1_3, 1, 4
283569825, 283569959, 1_3, 1, 4
283570075, 283570075, 2_3, 1, 4
283570108, 283570425, 2_3, 1, 4
283570641, 283570841, 3_3, 1, 4
283571057, 283571192, 1_3, 1, 4
283571308, 283571724, 4_0, 1, 4
283571941, 283572091, 2_2, 1, 4
283586910, 283587077, 2_3, 1, 5
283587193, 283587343, 1_3, 1, 5
283587559, 283587876, 2_2, 1, 5
283587892, 283588225, 2_3, 1, 5
283589191, 283589191, 1_4, 1, 5
283589208, 283589208, 1_3, 1, 5
283589224, 283589241, 1_4, 1, 5
283589507, 283589557, 4_0, 1, 5
283589590, 283589674, 4_0, 1, 5
283589890, 283589990, 2_2, 1, 5
283590106, 283590123, 1_2, 1, 5
283600896, 283600913, 1_3, 1, 6
283600946, 283601063, 1_3, 1, 6
283601180, 283601280, 2_3, 1, 6
283601347, 283601347, 2_2, 1, 6
283601380, 283601380, 2_3, 1, 6
283601413, 283601413, 2_3, 1, 6
283601530, 283601613, 1_3, 1, 6
283601630, 283601846, 1_2, 1, 6
283602063, 283602129, 2_2, 1, 6
283602346, 283602595, 4_0, 1, 6
283602712, 283602928, 2_4, 1, 6
283603045, 283603211, 1_4, 1, 6
283603328, 283603494, 1_5, 1, 6
283603611, 283603728, 4_0, 1, 6
283603944, 283604110, 3_4, 1, 6
283604227, 283604343, 2_4, 1, 6
283604860, 283604943, 1_5, 1, 6
