begin_AOI_fix, final_AOI_fix, AOI, game, round
415452118, 415452301, 3_4, 1, 1
415452517, 415452617, 2_2, 1, 1
415452650, 415452817, 2_3, 1, 1
415453000, 415453150, 1_2, 1, 1
415453166, 415453166, 2_2, 1, 1
415453383, 415453483, 3_2, 1, 1
415453599, 415453782, 3_1, 1, 1
415453816, 415453816, 3_1, 1, 1
415453849, 415453866, 3_1, 1, 1
415454149, 415454249, 1_3, 1, 1
415454365, 415454632, 2_3, 1, 1
415454765, 415455131, 3_3, 1, 1
415455247, 415455480, 3_4, 1, 1
415455698, 415457180, 1_4, 1, 1
415457296, 415457396, 2_4, 1, 1
415457513, 415458095, 3_4, 1, 1
415458212, 415458761, 4_0, 1, 1
415458778, 415459027, 3_4, 1, 1
415459244, 415459511, 1_4, 1, 1
415459727, 415459943, 3_5, 1, 1
415460159, 415460259, 1_5, 1, 1
415460276, 415460492, 1_4, 1, 1
415460710, 415461060, 3_4, 1, 1
415461176, 415461426, 2_4, 1, 1
415461842, 415462009, 3_2, 1, 1
415462042, 415462108, 3_2, 1, 1
415462142, 415462142, 3_2, 1, 1
415462158, 415462158, 3_3, 1, 1
415462275, 415462375, 4_0, 1, 1
415462391, 415462624, 3_5, 1, 1
415462741, 415462841, 4_0, 1, 1
415478110, 415478293, 3_3, 1, 2
415478410, 415478560, 2_3, 1, 2
415478676, 415478776, 1_2, 1, 2
415478992, 415479275, 3_2, 1, 2
415479458, 415479458, 3_1, 1, 2
415479758, 415479891, 1_3, 1, 2
415480008, 415480424, 2_3, 1, 2
415480541, 415480541, 1_2, 1, 2
415481008, 415481041, 2_3, 1, 2
415481158, 415481357, 3_3, 1, 2
415481374, 415481740, 3_2, 1, 2
415481890, 415481907, 3_1, 1, 2
415482240, 415482439, 3_3, 1, 2
415482456, 415482806, 3_4, 1, 2
415483022, 415483105, 1_4, 1, 2
415483122, 415483422, 2_4, 1, 2
415483538, 415483655, 3_4, 1, 2
415483671, 415483888, 3_5, 1, 2
415484104, 415484304, 1_2, 1, 2
415484421, 415484654, 2_2, 1, 2
415484770, 415484920, 1_2, 1, 2
415485036, 415485553, 2_3, 1, 2
415485670, 415485703, 3_3, 1, 2
415485837, 415485953, 2_2, 1, 2
415486070, 415486136, 3_3, 1, 2
415486170, 415486386, 3_3, 1, 2
415486519, 415486919, 3_2, 1, 2
415486952, 415487152, 3_2, 1, 2
415487168, 415487185, 3_3, 1, 2
415487202, 415487218, 3_2, 1, 2
415487235, 415487252, 3_3, 1, 2
415487285, 415487285, 3_2, 1, 2
415487302, 415487551, 3_3, 1, 2
415487668, 415488001, 3_4, 1, 2
415488117, 415488350, 3_5, 1, 2
415488567, 415488633, 1_5, 1, 2
415488750, 415489100, 2_5, 1, 2
415489233, 415489316, 2_4, 1, 2
415489433, 415489599, 3_4, 1, 2
415489716, 415490032, 4_0, 1, 2
415490248, 415490365, 1_3, 1, 2
415490481, 415490532, 2_3, 1, 2
