begin_AOI_fix, final_AOI_fix, AOI, game, round
265146104, 265146487, 1_4, 1, 1
265146604, 265146687, 2_4, 1, 1
265146704, 265146704, 2_3, 1, 1
265146837, 265146837, 2_3, 1, 1
265146870, 265147037, 2_2, 1, 1
265147253, 265147370, 1_2, 1, 1
265147486, 265147636, 1_3, 1, 1
265147753, 265147886, 2_3, 1, 1
265147902, 265148086, 2_4, 1, 1
265148202, 265148335, 1_4, 1, 1
265148352, 265148751, 1_5, 1, 1
265148968, 265149068, 3_5, 1, 1
265149184, 265149467, 3_3, 1, 1
265149484, 265149534, 3_4, 1, 1
265149750, 265149750, 2_5, 1, 1
265149784, 265150050, 2_5, 1, 1
265150283, 265150400, 1_2, 1, 1
265150533, 265150533, 1_1, 1, 1
265150566, 265150566, 1_1, 1, 1
265150599, 265150599, 1_1, 1, 1
265150649, 265150666, 1_1, 1, 1
265150916, 265150916, 3_1, 1, 1
265150949, 265150949, 3_1, 1, 1
265151065, 265151299, 3_2, 1, 1
265151415, 265151998, 2_2, 1, 1
265152214, 265152382, 3_3, 1, 1
265152498, 265152598, 2_3, 1, 1
265152631, 265153131, 2_2, 1, 1
265153247, 265153564, 3_2, 1, 1
265153780, 265153797, 3_5, 1, 1
265153913, 265154230, 2_5, 1, 1
265154346, 265154479, 3_5, 1, 1
265154496, 265154496, 3_4, 1, 1
265154712, 265154879, 3_2, 1, 1
265154995, 265155095, 2_2, 1, 1
265155212, 265155312, 1_2, 1, 1
265155428, 265155628, 1_3, 1, 1
265155745, 265156311, 4_0, 1, 1
265156527, 265156877, 2_4, 1, 1
265156993, 265156993, 3_4, 1, 1
265157026, 265157243, 3_4, 1, 1
265157376, 265157476, 3_5, 1, 1
265157593, 265157859, 2_5, 1, 1
265157975, 265158308, 3_5, 1, 1
265158525, 265158858, 3_2, 1, 1
265158974, 265159224, 2_2, 1, 1
265159341, 265159440, 1_2, 1, 1
265159474, 265159673, 1_2, 1, 1
265159890, 265160889, 4_0, 1, 1
265161105, 265161422, 2_3, 1, 1
265161438, 265161705, 2_2, 1, 1
265161821, 265161921, 3_2, 1, 1
265161938, 265162137, 3_1, 1, 1
265162455, 265162455, 1_1, 1, 1
265162488, 265162488, 1_1, 1, 1
265162571, 265162588, 1_1, 1, 1
265162804, 265162804, 2_2, 1, 1
265162821, 265163936, 2_3, 1, 1
265164053, 265164169, 1_3, 1, 1
265164303, 265164486, 1_2, 1, 1
265164519, 265164619, 1_2, 1, 1
265164636, 265164636, 1_3, 1, 1
265164702, 265164719, 1_3, 1, 1
265164735, 265164735, 1_2, 1, 1
265164752, 265165918, 1_3, 1, 1
265166034, 265166350, 2_3, 1, 1
265166367, 265166700, 2_2, 1, 1
265166816, 265166900, 1_2, 1, 1
265166916, 265166916, 1_3, 1, 1
265167033, 265167316, 1_4, 1, 1
265167332, 265167549, 1_3, 1, 1
265167566, 265167566, 1_2, 1, 1
265167599, 265167649, 1_2, 1, 1
265167665, 265167665, 1_3, 1, 1
265167682, 265167715, 1_2, 1, 1
265167865, 265168182, 1_4, 1, 1
265168198, 265168398, 1_5, 1, 1
265168415, 265168731, 1_4, 1, 1
265168947, 265169147, 3_4, 1, 1
265169180, 265169314, 3_5, 1, 1
265169447, 265169463, 2_5, 1, 1
265169596, 265169996, 3_4, 1, 1
265170213, 265170412, 2_4, 1, 1
265170429, 265170429, 2_3, 1, 1
265170645, 265172311, 4_0, 1, 1
265172528, 265172544, 2_3, 1, 1
265172578, 265173260, 2_2, 1, 1
265173293, 265173710, 2_3, 1, 1
265173826, 265173976, 1_3, 1, 1
265174093, 265174159, 1_2, 1, 1
265174192, 265174276, 1_2, 1, 1
265174392, 265174542, 1_3, 1, 1
265174559, 265174825, 1_4, 1, 1
265174842, 265175025, 1_3, 1, 1
265175241, 265175641, 2_2, 1, 1
265175857, 265176024, 3_2, 1, 1
265176040, 265176473, 3_3, 1, 1
265176590, 265176706, 2_3, 1, 1
