begin_AOI_fix, final_AOI_fix, AOI, game, round
626550929, 626551162, 2_4, 1, 1
626551378, 626551545, 3_2, 1, 1
626551662, 626551862, 2_2, 1, 1
626551979, 626552095, 1_2, 1, 1
626552112, 626552178, 1_3, 1, 1
626552395, 626552428, 2_2, 1, 1
626552445, 626552445, 2_3, 1, 1
626552461, 626552461, 2_2, 1, 1
626552478, 626552678, 2_3, 1, 1
626552794, 626552794, 1_3, 1, 1
626552828, 626552861, 1_3, 1, 1
626552878, 626553077, 1_4, 1, 1
626553094, 626553244, 1_5, 1, 1
626553360, 626553593, 2_5, 1, 1
626553726, 626553776, 3_5, 1, 1
626554010, 626554676, 4_0, 1, 1
626561351, 626561534, 2_4, 1, 2
626561785, 626562035, 1_2, 1, 2
626562151, 626562434, 2_3, 1, 2
626562551, 626562634, 1_3, 1, 2
626562767, 626563017, 1_1, 1, 2
626563034, 626563034, 1_2, 1, 2
626563250, 626563517, 1_5, 1, 2
626563566, 626563566, 3_5, 1, 2
626563583, 626563583, 2_5, 1, 2
626563600, 626563600, 3_5, 1, 2
626563633, 626563633, 2_5, 1, 2
626563716, 626564099, 3_5, 1, 2
626564116, 626564183, 2_5, 1, 2
626564482, 626564582, 1_5, 1, 2
626564698, 626565315, 4_0, 1, 2
626565431, 626565647, 1_4, 1, 2
626573290, 626573689, 1_3, 1, 3
626573706, 626573773, 1_2, 1, 3
626573823, 626573839, 1_2, 1, 3
626573856, 626573856, 1_3, 1, 3
626573972, 626574172, 2_3, 1, 3
626574289, 626574422, 3_3, 1, 3
626574538, 626574855, 2_3, 1, 3
626575071, 626575088, 1_3, 1, 3
626575221, 626575354, 1_2, 1, 3
626575471, 626575587, 1_1, 1, 3
626575804, 626576203, 1_4, 1, 3
626576220, 626576486, 1_5, 1, 3
626576603, 626576786, 4_0, 1, 3
626576803, 626577069, 1_4, 1, 3
626577185, 626577552, 2_4, 1, 3
626577768, 626577918, 1_5, 1, 3
626583796, 626584029, 2_3, 1, 4
626584062, 626584062, 1_3, 1, 4
626584179, 626584195, 1_4, 1, 4
626584228, 626584228, 1_4, 1, 4
626584262, 626584428, 1_3, 1, 4
626584545, 626584678, 1_2, 1, 4
626584894, 626584944, 2_3, 1, 4
626585161, 626585361, 4_0, 1, 4
626585477, 626585577, 1_4, 1, 4
626585693, 626585827, 1_5, 1, 4
626585943, 626586010, 4_0, 1, 4
626586126, 626586143, 1_4, 1, 4
626586176, 626586509, 1_3, 1, 4
626586626, 626586892, 4_0, 1, 4
626586909, 626586909, 1_5, 1, 4
626590821, 626591038, 2_3, 1, 5
626591154, 626591171, 1_3, 1, 5
626591187, 626591187, 1_4, 1, 5
626591221, 626591221, 1_4, 1, 5
626591254, 626591454, 1_3, 1, 5
626591470, 626591654, 1_2, 1, 5
626591671, 626591788, 1_3, 1, 5
626591904, 626592087, 2_3, 1, 5
626592304, 626592520, 1_1, 1, 5
626592637, 626592670, 1_3, 1, 5
626592703, 626592720, 1_3, 1, 5
626592836, 626592953, 4_0, 1, 5
626593069, 626593203, 1_5, 1, 5
626593336, 626593336, 3_5, 1, 5
626593469, 626593569, 3_5, 1, 5
626593685, 626593835, 2_5, 1, 5
626599096, 626599329, 2_3, 1, 6
626599446, 626599562, 1_4, 1, 6
626599579, 626599845, 1_3, 1, 6
626599878, 626600095, 1_4, 1, 6
626600211, 626600511, 4_0, 1, 6
626604324, 626604474, 1_3, 1, 7
626604591, 626604624, 1_5, 1, 7
626604641, 626604791, 1_4, 1, 7
626604907, 626604957, 1_3, 1, 7
626605074, 626605440, 4_0, 1, 7
626609252, 626609485, 2_3, 1, 8
626609602, 626609702, 1_4, 1, 8
626609735, 626609868, 1_4, 1, 8
626609985, 626610384, 4_0, 1, 8
626614198, 626614298, 1_3, 1, 9
626614314, 626614314, 1_4, 1, 9
626614431, 626614448, 1_5, 1, 9
626614497, 626614697, 1_4, 1, 9
626614814, 626614997, 4_0, 1, 9
626618926, 626618959, 1_3, 1, 10
626618992, 626618992, 1_3, 1, 10
626619026, 626619042, 1_3, 1, 10
626619125, 626619392, 1_3, 1, 10
626619525, 626620041, 4_0, 1, 10
626638406, 626638605, 2_3, 2, 1
626638722, 626638789, 1_3, 2, 1
626638905, 626638988, 1_2, 2, 1
626639205, 626639488, 4_0, 2, 1
626642985, 626643201, 2_3, 2, 2
626643335, 626643451, 1_4, 2, 2
626643568, 626643901, 4_0, 2, 2
626643917, 626643917, 1_5, 2, 2
626647430, 626647646, 2_3, 2, 3
626647763, 626647896, 1_4, 2, 3
626648013, 626648479, 4_0, 2, 3
626651793, 626651793, 2_3, 2, 4
626651826, 626651843, 1_3, 2, 4
626651909, 626651909, 2_3, 2, 4
626651959, 626651959, 2_3, 2, 4
626651992, 626651992, 2_3, 2, 4
626652009, 626652009, 1_3, 2, 4
626652126, 626652142, 1_4, 2, 4
626652159, 626652176, 1_3, 2, 4
626652225, 626652225, 1_4, 2, 4
626652259, 626652259, 1_4, 2, 4
626652375, 626652775, 4_0, 2, 4
626656421, 626656654, 1_3, 2, 5
626656670, 626656953, 1_4, 2, 5
626657070, 626657253, 4_0, 2, 5
626660866, 626661199, 1_3, 2, 6
626661215, 626661432, 1_4, 2, 6
626661548, 626661816, 4_0, 2, 6
626665495, 626665511, 2_3, 2, 7
626665545, 626665578, 2_3, 2, 7
626665611, 626665911, 1_3, 2, 7
626666028, 626666277, 4_0, 2, 7
626669857, 626670140, 1_3, 2, 8
626670256, 626670423, 1_4, 2, 8
626670539, 626670739, 4_0, 2, 8
626674702, 626674935, 2_3, 2, 9
626675052, 626675135, 1_3, 2, 9
626675185, 626675218, 1_3, 2, 9
626675235, 626675235, 1_4, 2, 9
626675351, 626675584, 4_0, 2, 9
626679214, 626679597, 1_3, 2, 10
626679813, 626679846, 4_0, 2, 10
626691268, 626691268, 2_3, 3, 1
626691318, 626691318, 2_3, 3, 1
626691384, 626691384, 2_3, 3, 1
626691434, 626691434, 2_3, 3, 1
626691451, 626691484, 1_3, 3, 1
626691601, 626691702, 1_4, 3, 1
626691818, 626691985, 4_0, 3, 1
626695780, 626695780, 1_3, 3, 2
626695797, 626695830, 2_3, 3, 2
626695864, 626695913, 2_3, 3, 2
626695947, 626695947, 2_3, 3, 2
626696080, 626696197, 1_3, 3, 2
626696313, 626696546, 4_0, 3, 2
626699959, 626700159, 1_3, 3, 3
626700375, 626700808, 4_0, 3, 3
626704205, 626704372, 2_3, 3, 4
626704588, 626704621, 4_0, 3, 4
626704638, 626704638, 1_4, 3, 4
626704655, 626704871, 4_0, 3, 4
626704988, 626705071, 1_3, 3, 4
626708500, 626708517, 1_3, 3, 5
626708567, 626708567, 1_3, 3, 5
626708617, 626708617, 1_3, 3, 5
626708633, 626708633, 2_3, 3, 5
626708667, 626708683, 1_3, 3, 5
626708800, 626708800, 1_4, 3, 5
626708817, 626708817, 1_3, 3, 5
626708833, 626708867, 1_4, 3, 5
626708900, 626708900, 1_4, 3, 5
626709016, 626709299, 4_0, 3, 5
626712846, 626713079, 1_3, 3, 6
626713196, 626713562, 4_0, 3, 6
626717774, 626718140, 1_3, 3, 7
626718257, 626718756, 4_0, 3, 7
626722370, 626722853, 1_3, 3, 8
626722986, 626723053, 1_4, 3, 8
626723169, 626723269, 4_0, 3, 8
626726965, 626727181, 2_3, 3, 9
626727314, 626727314, 1_4, 3, 9
626727348, 626727364, 1_4, 3, 9
626727381, 626727381, 1_3, 3, 9
626727497, 626727681, 4_0, 3, 9
626731493, 626731710, 1_3, 3, 10
626731827, 626731944, 1_4, 3, 10
626731977, 626732010, 4_0, 3, 10
