begin_AOI_fix, final_AOI_fix, AOI, game, round
252944093, 252944476, 2_3, 1, 1
252944592, 252944609, 2_2, 1, 1
252944742, 252945108, 3_1, 1, 1
252945225, 252945291, 3_2, 1, 1
252945308, 252945508, 3_1, 1, 1
252945724, 252945791, 1_1, 1, 1
252946007, 252946240, 4_0, 1, 1
252946457, 252946623, 2_4, 1, 1
252946740, 252946840, 2_3, 1, 1
252946873, 252947272, 2_2, 1, 1
252947489, 252947555, 1_2, 1, 1
252947689, 252947838, 1_1, 1, 1
252947988, 252947988, 2_2, 1, 1
252948038, 252948321, 2_3, 1, 1
252948454, 252948604, 1_3, 1, 1
252948737, 252948971, 1_4, 1, 1
252949087, 252949254, 2_4, 1, 1
252949470, 252949537, 1_5, 1, 1
252949653, 252949886, 2_5, 1, 1
252950103, 252950119, 3_2, 1, 1
252950153, 252950352, 3_1, 1, 1
252950369, 252951185, 3_2, 1, 1
252951418, 252951951, 3_1, 1, 1
252951967, 252952117, 3_2, 1, 1
252952134, 252952134, 3_1, 1, 1
252952150, 252952683, 3_2, 1, 1
252952799, 252953532, 3_1, 1, 1
252953565, 252953715, 3_2, 1, 1
252953748, 252953865, 3_2, 1, 1
252953982, 252954464, 3_3, 1, 1
252954481, 252955313, 3_4, 1, 1
252955430, 252955696, 2_4, 1, 1
252955813, 252955863, 3_4, 1, 1
252955979, 252956079, 3_5, 1, 1
252956196, 252956762, 2_5, 1, 1
252956878, 252958144, 1_5, 1, 1
252958260, 252959176, 2_5, 1, 1
252959292, 252960224, 1_5, 1, 1
252960241, 252960441, 1_4, 1, 1
252960557, 252960807, 1_3, 1, 1
252960924, 252961257, 2_3, 1, 1
252961373, 252961523, 1_3, 1, 1
252961640, 252961723, 2_3, 1, 1
252961756, 252962306, 2_3, 1, 1
252962322, 252962472, 2_4, 1, 1
252962489, 252962688, 2_3, 1, 1
252962805, 252963071, 1_1, 1, 1
252963288, 252963304, 3_1, 1, 1
252963521, 252963970, 2_2, 1, 1
252964087, 252964253, 3_1, 1, 1
252964420, 252964420, 3_2, 1, 1
252964470, 252964986, 3_3, 1, 1
252965102, 252965152, 2_3, 1, 1
252965369, 252965469, 4_0, 1, 1
252965685, 252965768, 2_5, 1, 1
252975058, 252975274, 1_3, 1, 2
252975407, 252975491, 2_3, 1, 2
252975607, 252975923, 3_2, 1, 2
252976040, 252976756, 3_1, 1, 2
252976772, 252977455, 3_2, 1, 2
252977472, 252977472, 3_3, 1, 2
252977605, 252977805, 3_3, 1, 2
252977921, 252978953, 2_2, 1, 2
252978970, 252979469, 3_1, 1, 2
252979586, 252981550, 2_3, 1, 2
252981667, 252982167, 1_3, 1, 2
252982283, 252982566, 1_2, 1, 2
252982583, 252982766, 1_1, 1, 2
252982782, 252982782, 1_2, 1, 2
252982899, 252984064, 1_3, 1, 2
252984181, 252984497, 1_4, 1, 2
252984530, 252984797, 1_5, 1, 2
252984913, 252985563, 2_5, 1, 2
252985679, 252986428, 3_5, 1, 2
252986445, 252986611, 3_4, 1, 2
252986728, 252986861, 2_3, 1, 2
252986878, 252987094, 2_2, 1, 2
252987211, 252987394, 2_3, 1, 2
252987510, 252987710, 3_3, 1, 2
252987843, 252987860, 3_3, 1, 2
252987893, 252987976, 3_3, 1, 2
252988010, 252988026, 3_3, 1, 2
252988143, 252988226, 3_2, 1, 2
252988243, 252988493, 3_1, 1, 2
252988509, 252988692, 3_2, 1, 2
252988709, 252988726, 3_1, 1, 2
252988759, 252988875, 3_1, 1, 2
252988992, 252989042, 2_2, 1, 2
252989159, 252989225, 2_3, 1, 2
252989441, 252989641, 3_3, 1, 2
252989658, 252989874, 3_2, 1, 2
252990091, 252990141, 1_2, 1, 2
252990157, 252990424, 1_3, 1, 2
252990440, 252990657, 1_2, 1, 2
252991173, 252991822, 4_0, 1, 2
252991955, 252991989, 1_2, 1, 2
252999580, 252999797, 1_3, 1, 3
252999913, 252999980, 2_3, 1, 3
253000096, 253000329, 3_2, 1, 3
