begin_AOI_fix, final_AOI_fix, AOI, game, round
891981950, 891982183, 4_0, 1, 1
891982399, 891982516, 2_3, 1, 1
891982732, 891982815, 3_1, 1, 1
891982949, 891983015, 2_2, 1, 1
891983132, 891983332, 1_2, 1, 1
891983348, 891983598, 1_1, 1, 1
891983714, 891983848, 1_3, 1, 1
891983881, 891984147, 1_4, 1, 1
891984264, 891984264, 2_4, 1, 1
891984297, 891984364, 2_4, 1, 1
891984380, 891984397, 2_5, 1, 1
891984514, 891984514, 1_5, 1, 1
891984564, 891984630, 1_5, 1, 1
891984747, 891984980, 4_0, 1, 1
891985296, 891985313, 3_1, 1, 1
891985429, 891985496, 3_2, 1, 1
891985712, 891985729, 3_4, 1, 1
891985746, 891985945, 3_5, 1, 1
891986062, 891986362, 2_5, 1, 1
891986478, 891986511, 1_5, 1, 1
891986928, 891987227, 4_0, 1, 1
892002160, 892002160, 1_5, 1, 2
892002177, 892002177, 1_4, 1, 2
892002194, 892002194, 4_0, 1, 2
892002227, 892002227, 1_5, 1, 2
892002543, 892002543, 2_3, 1, 2
892002577, 892002810, 2_3, 1, 2
892002926, 892002959, 1_2, 1, 2
892003093, 892003143, 1_2, 1, 2
892003159, 892003426, 1_3, 1, 2
892003559, 892003559, 2_3, 1, 2
892003592, 892003592, 2_4, 1, 2
892003625, 892003742, 2_3, 1, 2
892003858, 892004075, 3_3, 1, 2
892004191, 892004241, 3_2, 1, 2
892004258, 892004258, 3_3, 1, 2
892004275, 892004275, 3_2, 1, 2
892004308, 892004308, 3_2, 1, 2
892004341, 892004424, 3_2, 1, 2
892004674, 892004707, 3_5, 1, 2
892004824, 892004907, 2_5, 1, 2
892005124, 892005357, 1_5, 1, 2
892005390, 892005390, 1_5, 1, 2
892005407, 892005407, 1_4, 1, 2
892005457, 892005706, 1_4, 1, 2
892005923, 892006006, 2_4, 1, 2
892006123, 892006189, 2_3, 1, 2
892006306, 892006522, 2_2, 1, 2
892006639, 892006705, 1_2, 1, 2
892006739, 892006789, 1_2, 1, 2
892006905, 892006938, 1_3, 1, 2
892007055, 892007221, 2_3, 1, 2
892007255, 892007321, 2_3, 1, 2
892007354, 892007454, 2_3, 1, 2
892007671, 892007771, 4_0, 1, 2
892007787, 892007787, 1_5, 1, 2
892007804, 892008070, 4_0, 1, 2
892008187, 892008303, 1_3, 1, 2
892008420, 892008736, 2_3, 1, 2
892008853, 892008853, 2_2, 1, 2
892008986, 892009152, 3_1, 1, 2
892009369, 892009485, 1_1, 1, 2
892009702, 892009985, 4_0, 1, 2
892010101, 892010168, 1_4, 1, 2
892010185, 892010185, 1_3, 1, 2
892026549, 892026566, 1_5, 1, 3
892026600, 892026633, 1_5, 1, 3
892026649, 892026649, 4_0, 1, 3
892026666, 892026733, 1_5, 1, 3
892026749, 892026749, 1_4, 1, 3
892026966, 892027166, 2_3, 1, 3
892027282, 892027332, 1_3, 1, 3
892027365, 892027399, 1_3, 1, 3
892027415, 892027415, 1_2, 1, 3
892027432, 892027432, 1_3, 1, 3
892027449, 892027449, 1_2, 1, 3
892027482, 892027482, 1_3, 1, 3
892027499, 892027515, 1_2, 1, 3
892027532, 892027548, 1_3, 1, 3
892027582, 892027615, 1_2, 1, 3
892027648, 892027748, 1_2, 1, 3
892027765, 892028048, 1_3, 1, 3
892028164, 892028264, 2_3, 1, 3
892028298, 892028298, 2_3, 1, 3
892028331, 892028464, 2_3, 1, 3
892028597, 892028914, 1_2, 1, 3
892029047, 892029113, 1_4, 1, 3
892029163, 892029197, 1_5, 1, 3
892029230, 892029280, 1_5, 1, 3
892029296, 892029313, 1_4, 1, 3
892029430, 892029496, 1_5, 1, 3
892029613, 892029713, 4_0, 1, 3
892029746, 892029763, 4_0, 1, 3
892029796, 892029896, 4_0, 1, 3
892029929, 892030079, 4_0, 1, 3
892030196, 892030196, 1_4, 1, 3
892030212, 892030212, 1_5, 1, 3
892030245, 892030245, 1_4, 1, 3
892030262, 892030262, 1_5, 1, 3
892030329, 892030329, 1_5, 1, 3
892030362, 892030429, 1_4, 1, 3
892030462, 892030462, 1_4, 1, 3
892030478, 892030478, 1_3, 1, 3
892030528, 892030545, 1_4, 1, 3
892030612, 892030612, 1_4, 1, 3
892030628, 892030628, 1_3, 1, 3
892030645, 892030845, 1_4, 1, 3
892030978, 892031111, 1_5, 1, 3
892031477, 892031527, 3_5, 1, 3
892031561, 892031694, 3_5, 1, 3
892031727, 892031827, 3_5, 1, 3
892031960, 892032010, 2_5, 1, 3
892032060, 892032276, 2_5, 1, 3
892032410, 892032643, 1_5, 1, 3
892032659, 892032659, 1_4, 1, 3
892032776, 892032793, 2_4, 1, 3
892032826, 892032826, 2_4, 1, 3
892032942, 892033059, 3_4, 1, 3
892033076, 892033109, 3_3, 1, 3
892033142, 892033259, 3_3, 1, 3
892033375, 892033775, 3_2, 1, 3
892033791, 892033791, 3_1, 1, 3
892033808, 892033808, 3_2, 1, 3
892033825, 892033958, 3_1, 1, 3
892033991, 892034058, 3_1, 1, 3
892034174, 892034241, 3_3, 1, 3
892034274, 892034324, 3_3, 1, 3
892034457, 892034474, 3_2, 1, 3
892034491, 892034491, 3_3, 1, 3
892034507, 892034657, 3_2, 1, 3
892034790, 892034907, 3_3, 1, 3
892034940, 892034940, 3_3, 1, 3
892035057, 892035290, 2_3, 1, 3
892035406, 892035473, 1_3, 1, 3
892035589, 892035689, 4_0, 1, 3
892046877, 892047043, 4_0, 1, 4
892047060, 892047060, 1_4, 1, 4
892047193, 892047193, 2_4, 1, 4
892047210, 892047443, 2_3, 1, 4
892047559, 892047742, 1_3, 1, 4
892047859, 892048009, 1_2, 1, 4
892048125, 892048208, 1_3, 1, 4
892048425, 892048508, 4_0, 1, 4
892048541, 892048924, 4_0, 1, 4
892048958, 892050023, 4_0, 1, 4
892050056, 892050256, 4_0, 1, 4
892050289, 892050789, 4_0, 1, 4
892050905, 892050972, 1_5, 1, 4
892050989, 892050989, 1_4, 1, 4
892051005, 892051005, 1_5, 1, 4
892051039, 892051039, 1_5, 1, 4
892051455, 892051521, 3_4, 1, 4
892051538, 892051538, 3_5, 1, 4
892051555, 892051555, 3_4, 1, 4
892051771, 892051804, 3_3, 1, 4
892051838, 892051988, 3_3, 1, 4
892052021, 892052087, 3_3, 1, 4
892052104, 892052104, 3_2, 1, 4
892052121, 892052137, 3_3, 1, 4
892052171, 892052171, 3_2, 1, 4
892052187, 892052187, 3_3, 1, 4
892052221, 892052221, 3_3, 1, 4
892052237, 892052404, 3_2, 1, 4
892052537, 892052653, 3_3, 1, 4
892052670, 892052804, 3_4, 1, 4
892052837, 892052837, 3_4, 1, 4
892052870, 892052870, 3_4, 1, 4
892052903, 892052903, 3_4, 1, 4
892052920, 892052920, 3_5, 1, 4
892052953, 892052953, 3_4, 1, 4
892052970, 892052970, 3_5, 1, 4
892053003, 892053269, 3_5, 1, 4
892053303, 892053319, 3_5, 1, 4
892053436, 892053503, 2_5, 1, 4
892053552, 892053552, 2_5, 1, 4
892053702, 892053702, 1_5, 1, 4
892054068, 892054068, 3_4, 1, 4
892054085, 892054168, 3_3, 1, 4
892054385, 892054418, 4_0, 1, 4
892054451, 892055167, 4_0, 1, 4
892069052, 892069401, 2_3, 1, 5
892069618, 892069767, 1_3, 1, 5
892069784, 892069784, 1_2, 1, 5
892069801, 892069801, 1_3, 1, 5
892069834, 892069851, 1_3, 1, 5
892069884, 892069901, 1_2, 1, 5
892069917, 892069917, 1_3, 1, 5
892069951, 892069951, 1_2, 1, 5
892069967, 892069967, 1_3, 1, 5
892069984, 892070001, 1_2, 1, 5
892070017, 892070134, 1_3, 1, 5
892070250, 892070567, 2_3, 1, 5
892070683, 892070733, 1_3, 1, 5
892070850, 892070866, 4_0, 1, 5
892070899, 892071166, 4_0, 1, 5
892071282, 892071299, 1_3, 1, 5
892071316, 892071316, 1_2, 1, 5
892071332, 892071349, 1_3, 1, 5
892071382, 892071465, 1_3, 1, 5
892071499, 892071549, 1_3, 1, 5
892071582, 892071615, 1_3, 1, 5
892090844, 892090994, 4_0, 1, 6
892091426, 892091559, 1_3, 1, 6
892091676, 892091826, 1_2, 1, 6
892091843, 892091843, 1_3, 1, 6
892091959, 892092159, 2_3, 1, 6
892092275, 892092325, 1_3, 1, 6
892092542, 892092642, 4_0, 1, 6
892092675, 892092941, 4_0, 1, 6
892093058, 892093208, 1_4, 1, 6
892093324, 892093341, 2_4, 1, 6
892093374, 892093374, 2_5, 1, 6
892093391, 892093391, 2_4, 1, 6
892093424, 892093424, 2_4, 1, 6
892093491, 892093491, 2_4, 1, 6
892093707, 892093790, 4_0, 1, 6
892093807, 892093807, 1_5, 1, 6
892093824, 892093924, 4_0, 1, 6
892106393, 892106609, 4_0, 1, 7
892106826, 892107042, 2_3, 1, 7
892107059, 892107059, 2_4, 1, 7
892107275, 892107292, 1_3, 1, 7
892107408, 892107408, 1_2, 1, 7
892107442, 892107475, 1_3, 1, 7
892107508, 892107508, 1_2, 1, 7
892107525, 892107525, 1_3, 1, 7
892107542, 892107542, 1_2, 1, 7
892107558, 892107575, 1_3, 1, 7
892107708, 892107891, 1_3, 1, 7
892108008, 892108091, 4_0, 1, 7
892108124, 892108141, 4_0, 1, 7
892108357, 892108441, 1_2, 1, 7
892108474, 892108490, 1_2, 1, 7
892108524, 892108524, 1_2, 1, 7
892108557, 892108557, 1_2, 1, 7
892108590, 892108640, 1_2, 1, 7
892108674, 892108690, 1_2, 1, 7
892108724, 892108740, 1_3, 1, 7
892108757, 892108757, 1_2, 1, 7
892108790, 892109040, 1_3, 1, 7
892109056, 892109056, 1_4, 1, 7
892109190, 892109356, 4_0, 1, 7
892109406, 892109406, 1_5, 1, 7
892109423, 892109573, 4_0, 1, 7
892109622, 892109639, 4_0, 1, 7
892134261, 892134261, 1_4, 1, 8
892134278, 892134428, 4_0, 1, 8
892134994, 892134994, 1_4, 1, 8
892135027, 892135027, 1_3, 1, 8
892135060, 892135077, 1_3, 1, 8
892135094, 892135094, 1_4, 1, 8
892135110, 892135110, 1_3, 1, 8
892135127, 892135127, 1_4, 1, 8
892135144, 892135260, 1_3, 1, 8
892135277, 892135294, 1_2, 1, 8
892135427, 892135460, 2_3, 1, 8
892135493, 892135577, 2_3, 1, 8
892135593, 892135593, 2_4, 1, 8
892135610, 892135726, 2_3, 1, 8
892135760, 892135776, 2_3, 1, 8
892135810, 892135810, 1_3, 1, 8
892135926, 892136043, 1_4, 1, 8
892136159, 892136342, 4_0, 1, 8
892136476, 892136492, 1_4, 1, 8
892136526, 892136609, 1_4, 1, 8
892136642, 892136659, 1_4, 1, 8
892136675, 892136925, 1_5, 1, 8
892137042, 892137291, 4_0, 1, 8
892137408, 892137558, 1_4, 1, 8
892137591, 892137591, 1_4, 1, 8
892137741, 892137791, 1_3, 1, 8
892137907, 892138057, 1_2, 1, 8
892155138, 892155271, 1_3, 1, 9
892155388, 892155521, 2_3, 1, 9
892155637, 892155721, 1_3, 1, 9
892155737, 892156087, 1_2, 1, 9
892156203, 892156520, 4_0, 1, 9
892156869, 892156886, 1_3, 1, 9
892156903, 892157052, 2_3, 1, 9
892157202, 892157219, 1_4, 1, 9
892157269, 892157285, 1_4, 1, 9
892157319, 892157402, 1_4, 1, 9
892157435, 892157469, 1_4, 1, 9
892157585, 892157702, 1_5, 1, 9
892157918, 892158035, 3_5, 1, 9
892158151, 892158401, 3_4, 1, 9
892158517, 892158667, 3_3, 1, 9
892158684, 892158867, 3_2, 1, 9
892158884, 892158884, 3_1, 1, 9
892158917, 892159067, 3_1, 1, 9
892159100, 892159267, 3_2, 1, 9
892159283, 892159283, 3_1, 1, 9
892159316, 892159400, 3_1, 1, 9
892159433, 892159433, 3_1, 1, 9
892159466, 892159466, 3_2, 1, 9
892159583, 892159633, 3_3, 1, 9
892159749, 892160016, 2_3, 1, 9
892160132, 892160282, 3_3, 1, 9
892160299, 892160681, 3_2, 1, 9
892160698, 892160698, 3_3, 1, 9
892161014, 892161064, 4_0, 1, 9
892161081, 892161081, 1_4, 1, 9
892161531, 892161547, 1_2, 1, 9
892161564, 892161564, 1_3, 1, 9
892161581, 892161597, 1_2, 1, 9
892176614, 892176630, 1_4, 1, 10
892176663, 892176797, 1_4, 1, 10
892176913, 892177046, 2_3, 1, 10
892177063, 892177463, 1_3, 1, 10
892177579, 892177596, 1_2, 1, 10
892177612, 892177612, 1_3, 1, 10
892177729, 892177812, 2_3, 1, 10
892177929, 892178145, 2_2, 1, 10
892178262, 892178345, 3_2, 1, 10
892178561, 892178628, 1_2, 1, 10
892178661, 892178661, 1_3, 1, 10
892178778, 892179344, 4_0, 1, 10
892223144, 892223361, 2_3, 2, 1
892223378, 892223378, 2_2, 2, 1
892223394, 892223544, 2_3, 2, 1
892223661, 892223777, 1_3, 2, 1
892223794, 892224110, 1_2, 2, 1
892224227, 892224227, 2_3, 2, 1
892224243, 892224243, 2_2, 2, 1
892224260, 892224510, 2_3, 2, 1
892224626, 892224626, 3_3, 2, 1
892224660, 892224776, 3_3, 2, 1
892224893, 892224926, 3_2, 2, 1
892225042, 892225425, 3_1, 2, 1
892225642, 892225841, 1_1, 2, 1
892225858, 892225858, 1_2, 2, 1
892225975, 892226241, 1_3, 2, 1
892226274, 892226324, 1_3, 2, 1
892226441, 892226624, 1_4, 2, 1
892226740, 892227040, 2_4, 2, 1
892227373, 892227639, 1_4, 2, 1
892227756, 892227806, 4_0, 2, 1
892228022, 892228156, 3_3, 2, 1
892228272, 892228722, 3_2, 2, 1
892228838, 892229138, 2_2, 2, 1
892229271, 892229487, 1_2, 2, 1
892229504, 892229504, 1_3, 2, 1
892229621, 892230087, 4_0, 2, 1
892230303, 892230303, 3_2, 2, 1
892230320, 892230353, 3_3, 2, 1
892230370, 892230386, 3_2, 2, 1
892230403, 892230403, 3_3, 2, 1
892230420, 892230603, 3_2, 2, 1
892230619, 892231069, 3_3, 2, 1
892231285, 892231885, 4_0, 2, 1
892232101, 892232218, 1_1, 2, 1
892232351, 892232417, 2_2, 2, 1
892232534, 892232650, 2_3, 2, 1
892232767, 892232784, 1_3, 2, 1
892232800, 892232800, 1_4, 2, 1
892232834, 892232850, 1_4, 2, 1
892247650, 892247650, 1_4, 2, 2
892247667, 892247700, 1_5, 2, 2
892247733, 892247733, 1_4, 2, 2
892247750, 892247750, 1_5, 2, 2
892247783, 892247783, 1_5, 2, 2
892247817, 892247833, 1_5, 2, 2
892248050, 892248100, 2_3, 2, 2
892248233, 892248366, 1_3, 2, 2
