begin_AOI_fix, final_AOI_fix, AOI, game, round
713042946, 713043296, 2_3, 1, 1
713043412, 713043446, 3_2, 1, 1
713043462, 713043945, 3_1, 1, 1
713044061, 713044111, 3_2, 1, 1
713044128, 713044128, 3_3, 1, 1
713044145, 713044294, 3_2, 1, 1
713044311, 713044494, 3_3, 1, 1
713044644, 713044644, 2_2, 1, 1
713044677, 713044827, 2_2, 1, 1
713044944, 713045127, 1_2, 1, 1
713045343, 713045343, 1_1, 1, 1
713045560, 713045710, 3_2, 1, 1
713045826, 713045993, 3_1, 1, 1
713046442, 713046442, 2_3, 1, 1
713046675, 713046875, 1_3, 1, 1
713046991, 713047458, 2_3, 1, 1
713047574, 713047674, 1_3, 1, 1
713047890, 713047924, 2_3, 1, 1
713048040, 713048190, 3_3, 1, 1
713048407, 713048540, 2_2, 1, 1
713048656, 713048773, 1_2, 1, 1
713048789, 713049056, 1_3, 1, 1
713049272, 713049289, 1_2, 1, 1
713049405, 713049405, 1_4, 1, 1
713049439, 713049589, 1_4, 1, 1
713049705, 713049805, 2_4, 1, 1
713049921, 713050138, 3_4, 1, 1
713050154, 713050154, 3_3, 1, 1
713050271, 713050604, 3_1, 1, 1
713050820, 713050820, 3_4, 1, 1
713050837, 713050837, 3_3, 1, 1
713050954, 713050987, 3_1, 1, 1
713051103, 713051237, 2_2, 1, 1
713051353, 713051436, 3_2, 1, 1
713051553, 713051703, 2_2, 1, 1
713051819, 713051969, 1_2, 1, 1
713052086, 713052152, 2_2, 1, 1
713052269, 713052768, 1_2, 1, 1
713052802, 713052835, 1_1, 1, 1
713052868, 713052968, 1_1, 1, 1
713053001, 713053035, 1_1, 1, 1
713053068, 713053085, 1_1, 1, 1
713053101, 713053101, 1_2, 1, 1
713053218, 713053218, 1_3, 1, 1
713053251, 713053384, 1_4, 1, 1
713053601, 713053701, 2_4, 1, 1
713053817, 713054500, 1_4, 1, 1
713054616, 713054816, 2_4, 1, 1
713054933, 713055249, 3_4, 1, 1
713055482, 713055548, 1_3, 1, 1
713055698, 713055698, 1_2, 1, 1
713055732, 713055881, 1_1, 1, 1
713056131, 713056248, 3_1, 1, 1
713056281, 713056348, 3_1, 1, 1
713056381, 713056414, 3_1, 1, 1
713056431, 713056431, 3_2, 1, 1
713056464, 713056581, 3_1, 1, 1
713056597, 713056847, 3_2, 1, 1
713056980, 713057097, 2_2, 1, 1
713057114, 713057114, 2_3, 1, 1
713057130, 713057180, 2_2, 1, 1
713057213, 713057230, 2_2, 1, 1
713057346, 713057463, 1_2, 1, 1
713057779, 713057896, 3_2, 1, 1
713058012, 713058012, 2_2, 1, 1
713058079, 713058229, 1_2, 1, 1
713058262, 713058795, 1_1, 1, 1
713059078, 713059261, 3_2, 1, 1
713059544, 713059594, 3_1, 1, 1
713059744, 713059744, 3_2, 1, 1
713059760, 713059760, 3_3, 1, 1
713059777, 713059894, 3_2, 1, 1
713060210, 713060376, 2_2, 1, 1
713060393, 713060709, 2_3, 1, 1
713060826, 713060976, 3_3, 1, 1
713061109, 713061309, 3_1, 1, 1
713061325, 713061808, 3_2, 1, 1
713061925, 713062324, 3_3, 1, 1
713062574, 713062607, 2_3, 1, 1
713062923, 713063007, 3_1, 1, 1
713063123, 713063290, 3_2, 1, 1
713063406, 713063523, 3_3, 1, 1
713063839, 713064072, 1_3, 1, 1
713064105, 713064105, 1_3, 1, 1
713064122, 713064422, 1_2, 1, 1
713064455, 713064622, 1_3, 1, 1
713064738, 713065421, 2_3, 1, 1
713065571, 713065870, 3_2, 1, 1
713065987, 713066236, 3_1, 1, 1
713066353, 713066503, 2_2, 1, 1
713066619, 713066752, 1_2, 1, 1
713066886, 713066919, 2_2, 1, 1
713067036, 713067102, 3_2, 1, 1
713067552, 713067868, 3_3, 1, 1
713068101, 713068101, 2_4, 1, 1
713068118, 713068450, 2_3, 1, 1
713068567, 713069316, 3_3, 1, 1
713069433, 713069516, 3_4, 1, 1
713069633, 713069899, 2_4, 1, 1
713069932, 713069932, 2_4, 1, 1
713070049, 713070049, 3_5, 1, 1
713071064, 713071081, 1_4, 1, 1
713071097, 713071097, 1_5, 1, 1
713071131, 713071164, 1_4, 1, 1
713071197, 713071197, 1_4, 1, 1
713073478, 713073578, 1_2, 1, 1
713084100, 713084200, 1_3, 1, 2
713084233, 713084233, 1_3, 1, 2
713084249, 713084249, 1_4, 1, 2
713084283, 713084283, 1_4, 1, 2
713084299, 713084299, 1_3, 1, 2
713084333, 713084333, 1_3, 1, 2
713084449, 713084482, 2_3, 1, 2
713084516, 713084516, 2_2, 1, 2
713084632, 713084632, 3_2, 1, 2
713084649, 713084749, 3_1, 1, 2
713084882, 713085098, 3_2, 1, 2
713085215, 713085431, 2_2, 1, 2
713085548, 713085914, 1_2, 1, 2
713085931, 713085931, 1_1, 1, 2
713085947, 713085947, 1_2, 1, 2
713085981, 713085981, 1_1, 1, 2
713086131, 713086131, 1_1, 1, 2
713086147, 713086330, 1_2, 1, 2
713086447, 713086680, 1_3, 1, 2
713086796, 713086946, 2_3, 1, 2
713087080, 713087279, 2_3, 1, 2
713087412, 713087446, 1_3, 1, 2
713087462, 713087462, 1_2, 1, 2
713087579, 713087762, 1_1, 1, 2
713087779, 713087779, 1_2, 1, 2
713087895, 713087929, 1_3, 1, 2
713088045, 713088212, 2_3, 1, 2
713088228, 713088811, 1_3, 1, 2
713088828, 713088994, 1_4, 1, 2
713089110, 713089377, 2_4, 1, 2
713089494, 713089710, 3_4, 1, 2
713090026, 713090026, 2_4, 1, 2
713090159, 713090259, 1_4, 1, 2
713090692, 713090709, 1_1, 1, 2
713090725, 713090725, 1_2, 1, 2
713090759, 713090759, 1_1, 1, 2
713090775, 713090909, 1_2, 1, 2
713091225, 713091425, 2_4, 1, 2
713091541, 713091608, 1_4, 1, 2
713091824, 713091891, 1_3, 1, 2
713091908, 713092074, 1_2, 1, 2
713092091, 713092107, 1_3, 1, 2
713092224, 713092357, 1_4, 1, 2
713092390, 713092773, 1_4, 1, 2
713092990, 713093223, 3_4, 1, 2
713093256, 713093256, 3_4, 1, 2
713093373, 713093373, 3_1, 1, 2
713093389, 713093389, 3_2, 1, 2
713093406, 713093589, 3_1, 1, 2
