game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 20, 10, 27.0, 2014-08-05 12:36:06.057000, 2014-08-05 12:36:11.985000, 2014-08-05 12:36:14.381000, 2014-08-05 12:36:24.110000
1, 2, 20, 15, 31.5, 2014-08-05 12:36:24.110000, 2014-08-05 12:36:28.235000, 2014-08-05 12:36:36.569000, 2014-08-05 12:36:41.227000
1, 3, 20, 20, 36.0, 2014-08-05 12:36:41.228000, 2014-08-05 12:36:44.086000, 2014-08-05 12:37:02.914000, 2014-08-05 12:37:07.611000
1, 4, 20, 17, 33.3, 2014-08-05 12:37:07.611000, 2014-08-05 12:37:09.504000, 2014-08-05 12:37:24.338000, 2014-08-05 12:37:33.612000
1, 5, 20, 20, 36.0, 2014-08-05 12:37:33.613000, 2014-08-05 12:37:35.404000, 2014-08-05 12:37:37.730000, 2014-08-05 12:37:44.463000
1, 6, 20, 20, 36.0, 2014-08-05 12:37:44.463000, 2014-08-05 12:37:46.454000, 2014-08-05 12:37:48.781000, 2014-08-05 12:37:54.846000
1, 7, 20, 20, 36.0, 2014-08-05 12:37:54.847000, 2014-08-05 12:37:56.605000, 2014-08-05 12:37:58.932000, 2014-08-05 12:38:06.563000
1, 8, 20, 20, 36.0, 2014-08-05 12:38:06.564000, 2014-08-05 12:38:08.455000, 2014-08-05 12:38:10.782000, 2014-08-05 12:38:15.480000
1, 9, 20, 20, 36.0, 2014-08-05 12:38:15.481000, 2014-08-05 12:38:17.138000, 2014-08-05 12:38:23.466000, 2014-08-05 12:38:27.197000
1, 10, 20, 20, 36.0, 2014-08-05 12:38:27.198000, 2014-08-05 12:38:30.173000, 2014-08-05 12:38:34.002000, 2014-08-05 12:38:36.997000
2, 1, 20, 10, 18.0, 2014-08-05 12:39:07.416000, 2014-08-05 12:39:09.607000, 2014-08-05 12:39:11.937000, 2014-08-05 12:39:20.433000
2, 2, 20, 20, 24.0, 2014-08-05 12:39:20.433000, 2014-08-05 12:39:22.307000, 2014-08-05 12:39:24.636000, 2014-08-05 12:39:30.500000
2, 3, 20, 20, 24.0, 2014-08-05 12:39:30.501000, 2014-08-05 12:39:32.259000, 2014-08-05 12:39:34.587000, 2014-08-05 12:39:39.383000
2, 4, 20, 20, 24.0, 2014-08-05 12:39:39.383000, 2014-08-05 12:39:41.343000, 2014-08-05 12:39:43.670000, 2014-08-05 12:39:45.633000
2, 5, 20, 20, 24.0, 2014-08-05 12:39:45.634000, 2014-08-05 12:39:46.993000, 2014-08-05 12:39:49.320000, 2014-08-05 12:39:53.217000
2, 6, 20, 20, 24.0, 2014-08-05 12:39:53.218000, 2014-08-05 12:39:54.743000, 2014-08-05 12:39:57.070000, 2014-08-05 12:40:00.434000
2, 7, 20, 20, 24.0, 2014-08-05 12:40:00.435000, 2014-08-05 12:40:01.644000, 2014-08-05 12:40:03.973000, 2014-08-05 12:40:08.334000
2, 8, 20, 20, 24.0, 2014-08-05 12:40:08.335000, 2014-08-05 12:40:09.691000, 2014-08-05 12:40:12.022000, 2014-08-05 12:40:16.551000
2, 9, 20, 20, 24.0, 2014-08-05 12:40:16.552000, 2014-08-05 12:40:17.777000, 2014-08-05 12:40:20.105000, 2014-08-05 12:40:22.502000
2, 10, 20, 20, 24.0, 2014-08-05 12:40:22.502000, 2014-08-05 12:40:23.693000, 2014-08-05 12:40:26.522000, 2014-08-05 12:40:28.685000
3, 1, 20, 20, 30.0, 2014-08-05 12:40:40.304000, 2014-08-05 12:40:41.545000, 2014-08-05 12:40:43.873000, 2014-08-05 12:40:46.002000
3, 2, 20, 20, 30.0, 2014-08-05 12:40:46.003000, 2014-08-05 12:40:47.278000, 2014-08-05 12:40:55.106000, 2014-08-05 12:40:56.702000
3, 3, 20, 20, 30.0, 2014-08-05 12:40:56.703000, 2014-08-05 12:40:57.928000, 2014-08-05 12:41:04.259000, 2014-08-05 12:41:05.853000
3, 4, 20, 20, 30.0, 2014-08-05 12:41:05.854000, 2014-08-05 12:41:06.947000, 2014-08-05 12:41:09.774000, 2014-08-05 12:41:11.637000
3, 5, 20, 20, 30.0, 2014-08-05 12:41:11.637000, 2014-08-05 12:41:12.896000, 2014-08-05 12:41:15.224000, 2014-08-05 12:41:19.953000
3, 6, 20, 20, 30.0, 2014-08-05 12:41:19.954000, 2014-08-05 12:41:21.164000, 2014-08-05 12:41:23.491000, 2014-08-05 12:41:28.020000
3, 7, 20, 20, 30.0, 2014-08-05 12:41:28.021000, 2014-08-05 12:41:29.163000, 2014-08-05 12:41:31.491000, 2014-08-05 12:41:35.087000
3, 8, 20, 20, 30.0, 2014-08-05 12:41:35.088000, 2014-08-05 12:41:36.413000, 2014-08-05 12:41:38.742000, 2014-08-05 12:41:40.738000
3, 9, 20, 20, 30.0, 2014-08-05 12:41:40.739000, 2014-08-05 12:41:42.096000, 2014-08-05 12:41:44.425000, 2014-08-05 12:41:46.221000
3, 10, 20, 20, 30.0, 2014-08-05 12:41:46.222000, 2014-08-05 12:41:47.381000, 2014-08-05 12:41:51.210000, 2014-08-05 12:41:52.972000
