game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 14, 20, 36.6, 2014-08-01 16:30:26.444000, 2014-08-01 16:30:39.030000, 2014-08-01 16:30:42.394000, 2014-08-01 16:30:53.222000
1, 2, 15, 20, 36.5, 2014-08-01 16:30:53.223000, 2014-08-01 16:31:00.267000, 2014-08-01 16:31:09.094000, 2014-08-01 16:31:21.157000
1, 3,  2 , 20, 37.8, 2014-08-01 16:31:21.158000, 2014-08-01 16:31:26.065000, 2014-08-01 16:31:28.395000, 2014-08-01 16:31:37.257000
1, 4, 10, 18, 35.2, 2014-08-01 16:31:37.258000, 2014-08-01 16:31:41.532000, 2014-08-01 16:32:06.631000, 2014-08-01 16:32:15.492000
1, 5, 14, 10, 27.6, 2014-08-01 16:32:15.493000, 2014-08-01 16:32:20.568000, 2014-08-01 16:34:04.401000, 2014-08-01 16:34:18.163000
1, 6, 20, 11, 27.9, 2014-08-01 16:34:18.163000, 2014-08-01 16:34:22.504000, 2014-08-01 16:34:24.837000, 2014-08-01 16:34:29.797000
1, 7,  8 , 15, 32.7, 2014-08-01 16:34:29.798000, 2014-08-01 16:34:33.871000, 2014-08-01 16:34:40.704000, 2014-08-01 16:34:51.564000
1, 8, 12, 13, 30.5, 2014-08-01 16:34:51.565000, 2014-08-01 16:34:55.806000, 2014-08-01 16:34:58.138000, 2014-08-01 16:35:05.198000
1, 9, 14, 14, 31.2, 2014-08-01 16:35:05.198000, 2014-08-01 16:35:10.657000, 2014-08-01 16:35:12.989000, 2014-08-01 16:35:20.349000
1, 10,  9 , 15, 32.6, 2014-08-01 16:35:20.349000, 2014-08-01 16:35:24.590000, 2014-08-01 16:35:26.921000, 2014-08-01 16:35:33.982000
2, 1, 10, 15, 25.0, 2014-08-01 16:35:54.868000, 2014-08-01 16:35:58.909000, 2014-08-01 16:36:15.738000, 2014-08-01 16:36:26.434000
2, 2,  8 , 10, 22.8, 2014-08-01 16:36:26.435000, 2014-08-01 16:36:31.943000, 2014-08-01 16:36:35.772000, 2014-08-01 16:36:38.635000
2, 3,  6 , 7, 21.8, 2014-08-01 16:36:38.636000, 2014-08-01 16:36:42.877000, 2014-08-01 16:36:45.207000, 2014-08-01 16:36:49.769000
2, 4,  7 , 0, 17.2, 2014-08-01 16:36:49.770000, 2014-08-01 16:36:53.926000, 2014-08-01 16:36:59.760000, 2014-08-01 16:37:08.753000
2, 5,  1 , 10, 25.6, 2014-08-01 16:37:08.753000, 2014-08-01 16:37:14.694000, 2014-08-01 16:37:17.024000, 2014-08-01 16:37:20.887000
2, 6,  0 , 10, 26.0, 2014-08-01 16:37:20.887000, 2014-08-01 16:37:24.927000, 2014-08-01 16:37:27.254000, 2014-08-01 16:37:31.687000
2, 7,  2 , 10, 25.2, 2014-08-01 16:37:31.687000, 2014-08-01 16:37:35.462000, 2014-08-01 16:37:37.791000, 2014-08-01 16:37:45.154000
2, 8,  5 , 0, 18.0, 2014-08-01 16:37:45.154000, 2014-08-01 16:37:48.796000, 2014-08-01 16:37:51.125000, 2014-08-01 16:37:56.954000
2, 9,  1 , 0, 19.6, 2014-08-01 16:37:56.954000, 2014-08-01 16:38:01.663000, 2014-08-01 16:38:03.990000, 2014-08-01 16:38:14.421000
2, 10,  1 , 1, 20.2, 2014-08-01 16:38:14.422000, 2014-08-01 16:38:19.964000, 2014-08-01 16:38:22.290000, 2014-08-01 16:38:28.556000
3, 1, 10, 15, 28.75, 2014-08-01 16:38:45.274000, 2014-08-01 16:38:50.148000, 2014-08-01 16:38:56.981000, 2014-08-01 16:39:03.307000
3, 2,  5 , 15, 30.0, 2014-08-01 16:39:03.307000, 2014-08-01 16:39:06.615000, 2014-08-01 16:39:08.943000, 2014-08-01 16:39:12.107000
3, 3,  7 , 10, 25.75, 2014-08-01 16:39:12.108000, 2014-08-01 16:39:16.281000, 2014-08-01 16:39:19.116000, 2014-08-01 16:39:24.041000
3, 4,  8 , 10, 25.5, 2014-08-01 16:39:24.042000, 2014-08-01 16:39:27.682000, 2014-08-01 16:39:30.013000, 2014-08-01 16:39:32.874000
3, 5, 10, 10, 25.0, 2014-08-01 16:39:32.875000, 2014-08-01 16:39:37.116000, 2014-08-01 16:39:39.444000, 2014-08-01 16:39:44.075000
3, 6,  5 , 11, 27.0, 2014-08-01 16:39:44.075000, 2014-08-01 16:39:47.316000, 2014-08-01 16:39:49.644000, 2014-08-01 16:39:52.242000
3, 7,  7 , 10, 25.75, 2014-08-01 16:39:52.242000, 2014-08-01 16:39:55.417000, 2014-08-01 16:40:05.781000, 2014-08-01 16:40:09.943000
3, 8,  0 , 10, 27.5, 2014-08-01 16:40:09.943000, 2014-08-01 16:40:14.784000, 2014-08-01 16:40:17.112000, 2014-08-01 16:40:20.576000
3, 9,  1 , 0, 19.75, 2014-08-01 16:40:20.577000, 2014-08-01 16:40:23.518000, 2014-08-01 16:40:41.349000, 2014-08-01 16:40:45.877000
3, 10,  8 , 1, 18.75, 2014-08-01 16:40:45.877000, 2014-08-01 16:40:50.252000, 2014-08-01 16:40:52.583000, 2014-08-01 16:40:56.877000
