game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1,  8 , 10, 28.2, 2014-08-01 11:27:45.705000, 2014-08-01 11:28:15.170000, 2014-08-01 11:28:18.403000, 2014-08-01 11:28:24.430000
1, 2,  9 , 10, 28.1, 2014-08-01 11:28:24.431000, 2014-08-01 11:28:34.623000, 2014-08-01 11:28:45.455000, 2014-08-01 11:28:51.018000
1, 3,  2 , 10, 28.8, 2014-08-01 11:28:51.018000, 2014-08-01 11:29:04.593000, 2014-08-01 11:29:06.925000, 2014-08-01 11:29:11.154000
1, 4, 10, 0, 19.0, 2014-08-01 11:29:11.154000, 2014-08-01 11:29:16.230000, 2014-08-01 11:29:18.554000, 2014-08-01 11:29:21.655000
1, 5,  1 , 1, 20.8, 2014-08-01 11:29:21.656000, 2014-08-01 11:29:33.964000, 2014-08-01 11:29:36.293000, 2014-08-01 11:29:39.590000
1, 6,  5 , 0, 19.5, 2014-08-01 11:29:39.591000, 2014-08-01 11:29:47.001000, 2014-08-01 11:29:50.327000, 2014-08-01 11:29:54.459000
1, 7,  0 , 3, 22.7, 2014-08-01 11:29:54.460000, 2014-08-01 11:29:59.235000, 2014-08-01 11:30:01.565000, 2014-08-01 11:30:04.660000
1, 8,  4 , 20, 37.6, 2014-08-01 11:30:04.661000, 2014-08-01 11:30:15.688000, 2014-08-01 11:30:25.517000, 2014-08-01 11:30:33.848000
1, 9, 15, 0, 18.5, 2014-08-01 11:30:33.849000, 2014-08-01 11:30:38.906000, 2014-08-01 11:30:52.240000, 2014-08-01 11:30:53.867000
1, 10, 10, 10, 28.0, 2014-08-01 11:30:53.868000, 2014-08-01 11:30:58.810000, 2014-08-01 11:31:01.137000, 2014-08-01 11:31:04.935000
2, 1,  0 , 10, 26.0, 2014-08-01 11:31:15.789000, 2014-08-01 11:31:22.646000, 2014-08-01 11:31:24.973000, 2014-08-01 11:31:26.739000
2, 2, 10, 0, 16.0, 2014-08-01 11:31:26.739000, 2014-08-01 11:31:34.182000, 2014-08-01 11:31:37.008000, 2014-08-01 11:31:39.540000
2, 3, 15, 2, 15.2, 2014-08-01 11:31:39.541000, 2014-08-01 11:31:44.882000, 2014-08-01 11:31:49.716000, 2014-08-01 11:31:50.940000
2, 4,  1 , 5, 22.6, 2014-08-01 11:31:50.941000, 2014-08-01 11:31:54.782000, 2014-08-01 11:32:00.612000, 2014-08-01 11:32:02.375000
2, 5,  3 , 2, 20.0, 2014-08-01 11:32:02.376000, 2014-08-01 11:32:06.917000, 2014-08-01 11:32:10.243000, 2014-08-01 11:32:11.841000
2, 6,  0 , 2, 21.2, 2014-08-01 11:32:11.842000, 2014-08-01 11:32:16.716000, 2014-08-01 11:32:21.543000, 2014-08-01 11:32:23.576000
2, 7, 20, 0, 12.0, 2014-08-01 11:32:23.576000, 2014-08-01 11:32:27.550000, 2014-08-01 11:32:29.876000, 2014-08-01 11:32:35.542000
2, 8, 13, 0, 14.8, 2014-08-01 11:32:35.543000, 2014-08-01 11:32:39.517000, 2014-08-01 11:32:45.349000, 2014-08-01 11:32:47.943000
2, 9,  0 , 0, 20.0, 2014-08-01 11:32:47.943000, 2014-08-01 11:32:53.452000, 2014-08-01 11:32:55.776000, 2014-08-01 11:33:03.277000
2, 10,  0 , 0, 20.0, 2014-08-01 11:33:03.278000, 2014-08-01 11:33:13.252000, 2014-08-01 11:33:15.577000, 2014-08-01 11:33:16.877000
3, 1, 15, 10, 23.75, 2014-08-01 11:33:24.796000, 2014-08-01 11:33:35.253000, 2014-08-01 11:33:38.587000, 2014-08-01 11:33:42.012000
3, 2, 10, 20, 32.5, 2014-08-01 11:33:42.013000, 2014-08-01 11:33:45.453000, 2014-08-01 11:33:50.282000, 2014-08-01 11:33:52.712000
3, 3, 20, 20, 30.0, 2014-08-01 11:33:52.713000, 2014-08-01 11:33:54.421000, 2014-08-01 11:33:57.249000, 2014-08-01 11:34:04.112000
3, 4, 20, 20, 30.0, 2014-08-01 11:34:04.113000, 2014-08-01 11:34:05.887000, 2014-08-01 11:34:08.215000, 2014-08-01 11:34:10.212000
3, 5, 20, 20, 30.0, 2014-08-01 11:34:10.213000, 2014-08-01 11:34:11.955000, 2014-08-01 11:34:14.283000, 2014-08-01 11:34:17.079000
3, 6, 20, 20, 30.0, 2014-08-01 11:34:17.080000, 2014-08-01 11:34:19.221000, 2014-08-01 11:34:21.548000, 2014-08-01 11:34:23.947000
3, 7, 20, 20, 30.0, 2014-08-01 11:34:23.947000, 2014-08-01 11:34:25.555000, 2014-08-01 11:34:27.912000, 2014-08-01 11:34:29.846000
3, 8, 20, 20, 30.0, 2014-08-01 11:34:29.847000, 2014-08-01 11:34:31.454000, 2014-08-01 11:34:33.782000, 2014-08-01 11:34:35.813000
3, 9, 20, 20, 30.0, 2014-08-01 11:34:35.814000, 2014-08-01 11:34:37.255000, 2014-08-01 11:34:39.582000, 2014-08-01 11:34:40.646000
3, 10, 20, 20, 30.0, 2014-08-01 11:34:40.647000, 2014-08-01 11:34:42.589000, 2014-08-01 11:34:44.917000, 2014-08-01 11:34:46.347000
