game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 10, 28.0, 2014-08-07 12:54:30.248000, 2014-08-07 12:54:40.657000, 2014-08-07 12:54:43.387000, 2014-08-07 12:54:53.319000
1, 2, 10, 11, 28.9, 2014-08-07 12:54:53.319000, 2014-08-07 12:55:04.045000, 2014-08-07 12:55:06.379000, 2014-08-07 12:55:14.671000
1, 3, 12, 10, 27.8, 2014-08-07 12:55:14.671000, 2014-08-07 12:55:18.046000, 2014-08-07 12:55:20.376000, 2014-08-07 12:55:26.106000
1, 4, 12, 15, 32.3, 2014-08-07 12:55:26.106000, 2014-08-07 12:55:31.381000, 2014-08-07 12:55:33.714000, 2014-08-07 12:55:37.173000
1, 5, 16, 8, 25.6, 2014-08-07 12:55:37.174000, 2014-08-07 12:55:46.534000, 2014-08-07 12:55:48.865000, 2014-08-07 12:55:57.226000
1, 6, 10, 16, 33.4, 2014-08-07 12:55:57.227000, 2014-08-07 12:56:09.037000, 2014-08-07 12:56:11.370000, 2014-08-07 12:56:16.162000
1, 7, 10, 10, 28.0, 2014-08-07 12:56:16.163000, 2014-08-07 12:56:22.238000, 2014-08-07 12:56:24.569000, 2014-08-07 12:56:28.598000
1, 8, 12, 12, 29.6, 2014-08-07 12:56:28.599000, 2014-08-07 12:56:32.705000, 2014-08-07 12:56:35.035000, 2014-08-07 12:56:39.766000
1, 9, 10, 14, 31.6, 2014-08-07 12:56:39.766000, 2014-08-07 12:56:49.108000, 2014-08-07 12:56:51.439000, 2014-08-07 12:56:56.234000
1, 10, 10, 9, 27.1, 2014-08-07 12:56:56.235000, 2014-08-07 12:57:05.110000, 2014-08-07 12:57:07.441000, 2014-08-07 12:57:13.204000
2, 1, 10, 10, 22.0, 2014-08-07 12:57:44.060000, 2014-08-07 12:57:47.599000, 2014-08-07 12:57:49.925000, 2014-08-07 12:57:53.659000
2, 2, 12, 12, 22.4, 2014-08-07 12:57:53.660000, 2014-08-07 12:57:58.519000, 2014-08-07 12:58:00.849000, 2014-08-07 12:58:03.411000
2, 3, 14, 8, 19.2, 2014-08-07 12:58:03.411000, 2014-08-07 12:58:07.018000, 2014-08-07 12:58:09.350000, 2014-08-07 12:58:12.078000
2, 4,  2 , 10, 25.2, 2014-08-07 12:58:12.078000, 2014-08-07 12:58:22.703000, 2014-08-07 12:58:25.034000, 2014-08-07 12:58:28.097000
2, 5, 10, 0, 16.0, 2014-08-07 12:58:28.097000, 2014-08-07 12:58:32.206000, 2014-08-07 12:58:34.533000, 2014-08-07 12:58:37.031000
2, 6,  0 , 0, 20.0, 2014-08-07 12:58:37.032000, 2014-08-07 12:58:46.241000, 2014-08-07 12:58:48.567000, 2014-08-07 12:58:51.700000
2, 7,  1 , 10, 25.6, 2014-08-07 12:58:51.700000, 2014-08-07 12:59:00.710000, 2014-08-07 12:59:03.041000, 2014-08-07 12:59:06.735000
2, 8,  5 , 1, 18.6, 2014-08-07 12:59:06.736000, 2014-08-07 12:59:09.927000, 2014-08-07 12:59:12.256000, 2014-08-07 12:59:14.620000
2, 9,  5 , 0, 18.0, 2014-08-07 12:59:14.621000, 2014-08-07 12:59:20.462000, 2014-08-07 12:59:22.790000, 2014-08-07 12:59:25.288000
2, 10,  0 , 7, 24.2, 2014-08-07 12:59:25.289000, 2014-08-07 12:59:28.847000, 2014-08-07 12:59:31.177000, 2014-08-07 12:59:33.673000
3, 1, 10, 10, 25.0, 2014-08-07 12:59:44.358000, 2014-08-07 12:59:48.366000, 2014-08-07 12:59:50.694000, 2014-08-07 12:59:52.757000
3, 2, 10, 12, 26.5, 2014-08-07 12:59:52.758000, 2014-08-07 12:59:55.431000, 2014-08-07 12:59:57.761000, 2014-08-07 12:59:59.891000
3, 3, 10, 0, 17.5, 2014-08-07 12:59:59.891000, 2014-08-07 13:00:02.032000, 2014-08-07 13:00:04.361000, 2014-08-07 13:00:07.824000
3, 4,  5 , 1, 19.5, 2014-08-07 13:00:07.825000, 2014-08-07 13:00:10.849000, 2014-08-07 13:00:13.177000, 2014-08-07 13:00:15.074000
3, 5,  0 , 10, 27.5, 2014-08-07 13:00:15.075000, 2014-08-07 13:00:19.250000, 2014-08-07 13:00:21.579000, 2014-08-07 13:00:23.908000
3, 6,  0 , 10, 27.5, 2014-08-07 13:00:23.909000, 2014-08-07 13:00:26.733000, 2014-08-07 13:00:29.064000, 2014-08-07 13:00:31.725000
3, 7,  5 , 0, 18.75, 2014-08-07 13:00:31.726000, 2014-08-07 13:00:36, 2014-08-07 13:00:38.333000, 2014-08-07 13:00:40.992000
3, 8,  5 , 2, 20.25, 2014-08-07 13:00:40.993000, 2014-08-07 13:00:45.517000, 2014-08-07 13:00:47.849000, 2014-08-07 13:00:51.076000
3, 9,  2 , 5, 23.25, 2014-08-07 13:00:51.077000, 2014-08-07 13:00:57.550000, 2014-08-07 13:00:59.882000, 2014-08-07 13:01:02.243000
3, 10,  0 , 0, 20.0, 2014-08-07 13:01:02.243000, 2014-08-07 13:01:04.685000, 2014-08-07 13:01:07.009000, 2014-08-07 13:01:09.144000
