game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 13, 10, 27.7, 2014-08-14 12:24:17.603000, 2014-08-14 12:24:31.885000, 2014-08-14 12:24:34.387000, 2014-08-14 12:24:50.692000
1, 2, 11, 15, 32.4, 2014-08-14 12:24:50.693000, 2014-08-14 12:24:58.484000, 2014-08-14 12:25:00.818000, 2014-08-14 12:25:17.976000
1, 3, 15, 15, 32.0, 2014-08-14 12:25:17.977000, 2014-08-14 12:25:21.502000, 2014-08-14 12:25:23.833000, 2014-08-14 12:25:35.461000
1, 4, 18, 10, 27.2, 2014-08-14 12:25:35.462000, 2014-08-14 12:25:38.652000, 2014-08-14 12:25:57.485000, 2014-08-14 12:26:09.278000
1, 5, 18, 10, 27.2, 2014-08-14 12:26:09.279000, 2014-08-14 12:26:11.904000, 2014-08-14 12:26:16.238000, 2014-08-14 12:26:23.596000
1, 6, 17, 15, 31.8, 2014-08-14 12:26:23.597000, 2014-08-14 12:26:27.037000, 2014-08-14 12:26:35.874000, 2014-08-14 12:26:44.713000
1, 7, 20, 20, 36.0, 2014-08-14 12:26:44.714000, 2014-08-14 12:26:50.589000, 2014-08-14 12:26:52.917000, 2014-08-14 12:27:00.513000
1, 8, 20, 20, 36.0, 2014-08-14 12:27:00.514000, 2014-08-14 12:27:03.490000, 2014-08-14 12:27:18.085000, 2014-08-14 12:27:23.215000
1, 9, 20, 15, 31.5, 2014-08-14 12:27:23.216000, 2014-08-14 12:27:25.956000, 2014-08-14 12:27:44.788000, 2014-08-14 12:27:53.083000
1, 10, 20, 20, 36.0, 2014-08-14 12:27:53.083000, 2014-08-14 12:27:57.374000, 2014-08-14 12:28:07.703000, 2014-08-14 12:28:12.367000
2, 1, 20, 10, 22.5, 2014-08-14 12:28:27.984000, 2014-08-14 12:28:32.743000, 2014-08-14 12:28:39.574000, 2014-08-14 12:28:48.101000
2, 2, 20, 15, 26.25, 2014-08-14 12:28:48.101000, 2014-08-14 12:28:50.727000, 2014-08-14 12:28:55.562000, 2014-08-14 12:28:59.668000
2, 3, 20, 10, 22.5, 2014-08-14 12:28:59.668000, 2014-08-14 12:29:01.476000, 2014-08-14 12:29:12.808000, 2014-08-14 12:29:15.369000
2, 4,  1 , 20, 34.75, 2014-08-14 12:29:15.369000, 2014-08-14 12:29:18.844000, 2014-08-14 12:29:24.679000, 2014-08-14 12:29:31.885000
2, 5, 10, 10, 25.0, 2014-08-14 12:29:31.886000, 2014-08-14 12:29:36.562000, 2014-08-14 12:29:41.889000, 2014-08-14 12:29:46.220000
2, 6, 10, 5, 21.25, 2014-08-14 12:29:46.220000, 2014-08-14 12:29:50.528000, 2014-08-14 12:29:56.129000, 2014-08-14 12:29:59.720000
2, 7,  0 , 15, 31.25, 2014-08-14 12:29:59.720000, 2014-08-14 12:30:06.496000, 2014-08-14 12:30:08.831000, 2014-08-14 12:30:13.737000
2, 8,  5 , 5, 22.5, 2014-08-14 12:30:13.738000, 2014-08-14 12:30:18.412000, 2014-08-14 12:30:22.742000, 2014-08-14 12:30:25.871000
2, 9, 10, 5, 21.25, 2014-08-14 12:30:25.872000, 2014-08-14 12:30:31.879000, 2014-08-14 12:30:34.215000, 2014-08-14 12:30:40.722000
2, 10, 20, 0, 15.0, 2014-08-14 12:30:40.722000, 2014-08-14 12:30:42.481000, 2014-08-14 12:30:45.308000, 2014-08-14 12:30:48.538000
3, 1, 10, 10, 22.0, 2014-08-14 12:30:55.957000, 2014-08-14 12:31:00.147000, 2014-08-14 12:31:12.244000, 2014-08-14 12:31:15.640000
3, 2, 15, 15, 23.0, 2014-08-14 12:31:15.640000, 2014-08-14 12:31:18.848000, 2014-08-14 12:31:29.679000, 2014-08-14 12:31:32.974000
3, 3, 20, 15, 21.0, 2014-08-14 12:31:32.974000, 2014-08-14 12:31:34.733000, 2014-08-14 12:31:42.564000, 2014-08-14 12:31:46.324000
3, 4, 20, 0, 12.0, 2014-08-14 12:31:46.324000, 2014-08-14 12:31:49.300000, 2014-08-14 12:31:56.126000, 2014-08-14 12:31:58.691000
3, 5, 20, 10, 18.0, 2014-08-14 12:31:58.691000, 2014-08-14 12:32:01.732000, 2014-08-14 12:32:06.062000, 2014-08-14 12:32:08.624000
3, 6, 20, 10, 18.0, 2014-08-14 12:32:08.625000, 2014-08-14 12:32:11.850000, 2014-08-14 12:32:16.180000, 2014-08-14 12:32:18.375000
3, 7,  0 , 15, 29.0, 2014-08-14 12:32:18.375000, 2014-08-14 12:32:21.718000, 2014-08-14 12:32:31.046000, 2014-08-14 12:32:34.676000
3, 8, 10, 5, 19.0, 2014-08-14 12:32:34.676000, 2014-08-14 12:32:37.302000, 2014-08-14 12:32:45.633000, 2014-08-14 12:32:48.559000
3, 9, 15, 5, 17.0, 2014-08-14 12:32:48.560000, 2014-08-14 12:32:51.135000, 2014-08-14 12:32:53.493000, 2014-08-14 12:32:58.327000
3, 10,  5 , 20, 30.0, 2014-08-14 12:32:58.327000, 2014-08-14 12:33:00.635000, 2014-08-14 12:33:03.464000, 2014-08-14 12:33:08.193000
