game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 12, 12, 29.6, 2014-08-07 11:23:43.070000, 2014-08-07 11:23:48.573000, 2014-08-07 11:23:51.403000, 2014-08-07 11:24:01.799000
1, 2, 15, 14, 31.1, 2014-08-07 11:24:01.800000, 2014-08-07 11:24:06.674000, 2014-08-07 11:24:09.007000, 2014-08-07 11:24:15.100000
1, 3, 15, 16, 32.9, 2014-08-07 11:24:15.101000, 2014-08-07 11:24:18.758000, 2014-08-07 11:24:25.591000, 2014-08-07 11:24:34.050000
1, 4, 15, 18, 34.7, 2014-08-07 11:24:34.051000, 2014-08-07 11:24:37.158000, 2014-08-07 11:24:39.491000, 2014-08-07 11:24:41.517000
1, 5, 18, 16, 32.6, 2014-08-07 11:24:41.517000, 2014-08-07 11:24:43.859000, 2014-08-07 11:24:50.691000, 2014-08-07 11:24:57.118000
1, 6, 18, 20, 36.2, 2014-08-07 11:24:57.119000, 2014-08-07 11:25:00.810000, 2014-08-07 11:25:03.140000, 2014-08-07 11:25:07.002000
1, 7, 20, 20, 36.0, 2014-08-07 11:25:07.002000, 2014-08-07 11:25:09.343000, 2014-08-07 11:25:13.669000, 2014-08-07 11:25:23.968000
1, 8, 20, 20, 36.0, 2014-08-07 11:25:23.969000, 2014-08-07 11:25:25.977000, 2014-08-07 11:25:28.305000, 2014-08-07 11:25:31.602000
1, 9, 20, 20, 36.0, 2014-08-07 11:25:31.603000, 2014-08-07 11:25:33.911000, 2014-08-07 11:25:36.238000, 2014-08-07 11:25:39.069000
1, 10, 20, 20, 36.0, 2014-08-07 11:25:39.070000, 2014-08-07 11:25:41.277000, 2014-08-07 11:25:43.604000, 2014-08-07 11:25:50.536000
2, 1, 10, 20, 28.0, 2014-08-07 11:26:04.854000, 2014-08-07 11:26:10.545000, 2014-08-07 11:26:12.873000, 2014-08-07 11:26:14.437000
2, 2, 20, 17, 22.2, 2014-08-07 11:26:14.437000, 2014-08-07 11:26:21.879000, 2014-08-07 11:26:25.212000, 2014-08-07 11:26:31.004000
2, 3, 20, 20, 24.0, 2014-08-07 11:26:31.005000, 2014-08-07 11:26:32.445000, 2014-08-07 11:26:34.773000, 2014-08-07 11:26:37.505000
2, 4, 20, 20, 24.0, 2014-08-07 11:26:37.506000, 2014-08-07 11:26:39.047000, 2014-08-07 11:26:41.376000, 2014-08-07 11:26:44.804000
2, 5, 20, 20, 24.0, 2014-08-07 11:26:44.805000, 2014-08-07 11:26:47.413000, 2014-08-07 11:26:49.741000, 2014-08-07 11:26:52.572000
2, 6, 20, 20, 24.0, 2014-08-07 11:26:52.572000, 2014-08-07 11:26:53.997000, 2014-08-07 11:26:56.325000, 2014-08-07 11:26:59.122000
2, 7, 20, 20, 24.0, 2014-08-07 11:26:59.123000, 2014-08-07 11:27:00.629000, 2014-08-07 11:27:02.957000, 2014-08-07 11:27:06.489000
2, 8, 20, 20, 24.0, 2014-08-07 11:27:06.490000, 2014-08-07 11:27:08.298000, 2014-08-07 11:27:10.626000, 2014-08-07 11:27:12.223000
2, 9, 20, 20, 24.0, 2014-08-07 11:27:12.223000, 2014-08-07 11:27:13.363000, 2014-08-07 11:27:15.692000, 2014-08-07 11:27:20.423000
2, 10, 20, 20, 24.0, 2014-08-07 11:27:20.423000, 2014-08-07 11:27:23.132000, 2014-08-07 11:27:25.460000, 2014-08-07 11:27:26.790000
3, 1, 20, 20, 30.0, 2014-08-07 11:27:34.174000, 2014-08-07 11:27:37.932000, 2014-08-07 11:27:40.260000, 2014-08-07 11:27:41.791000
3, 2, 20, 20, 30.0, 2014-08-07 11:27:41.791000, 2014-08-07 11:27:43.432000, 2014-08-07 11:27:45.760000, 2014-08-07 11:27:50.057000
3, 3, 20, 20, 30.0, 2014-08-07 11:27:50.058000, 2014-08-07 11:27:51.766000, 2014-08-07 11:27:54.095000, 2014-08-07 11:27:55.858000
3, 4, 20, 20, 30.0, 2014-08-07 11:27:55.859000, 2014-08-07 11:27:57.284000, 2014-08-07 11:27:59.611000, 2014-08-07 11:28:01.941000
3, 5, 20, 20, 30.0, 2014-08-07 11:28:01.941000, 2014-08-07 11:28:03.349000, 2014-08-07 11:28:05.678000, 2014-08-07 11:28:08.908000
3, 6, 20, 20, 30.0, 2014-08-07 11:28:08.909000, 2014-08-07 11:28:10.050000, 2014-08-07 11:28:12.378000, 2014-08-07 11:28:13.475000
3, 7, 20, 20, 30.0, 2014-08-07 11:28:13.475000, 2014-08-07 11:28:15.417000, 2014-08-07 11:28:17.747000, 2014-08-07 11:28:19.008000
3, 8, 20, 20, 30.0, 2014-08-07 11:28:19.009000, 2014-08-07 11:28:21.383000, 2014-08-07 11:28:23.742000, 2014-08-07 11:28:25.276000
3, 9, 20, 20, 30.0, 2014-08-07 11:28:25.276000, 2014-08-07 11:28:27.601000, 2014-08-07 11:28:29.929000, 2014-08-07 11:28:32.225000
3, 10, 20, 20, 30.0, 2014-08-07 11:28:32.226000, 2014-08-07 11:28:33.800000, 2014-08-07 11:28:36.128000, 2014-08-07 11:28:38.159000
