game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 13, 30.7, 2014-08-14 12:24:21.712000, 2014-08-14 12:24:32.056000, 2014-08-14 12:24:35.390000, 2014-08-14 12:24:51.382000
1, 2, 15, 11, 28.4, 2014-08-14 12:24:51.382000, 2014-08-14 12:24:59.391000, 2014-08-14 12:25:01.724000, 2014-08-14 12:25:14.550000
1, 3, 15, 15, 32.0, 2014-08-14 12:25:14.550000, 2014-08-14 12:25:21.840000, 2014-08-14 12:25:24.171000, 2014-08-14 12:25:39.098000
1, 4, 10, 18, 35.2, 2014-08-14 12:25:39.099000, 2014-08-14 12:25:56.838000, 2014-08-14 12:25:59.170000, 2014-08-14 12:26:06.496000
1, 5, 10, 18, 35.2, 2014-08-14 12:26:06.497000, 2014-08-14 12:26:15.855000, 2014-08-14 12:26:18.186000, 2014-08-14 12:26:27.678000
1, 6, 15, 17, 33.8, 2014-08-14 12:26:27.679000, 2014-08-14 12:26:35.287000, 2014-08-14 12:26:37.618000, 2014-08-14 12:26:45.844000
1, 7, 20, 20, 36.0, 2014-08-14 12:26:45.845000, 2014-08-14 12:26:52.154000, 2014-08-14 12:26:54.480000, 2014-08-14 12:27:03.176000
1, 8, 20, 20, 36.0, 2014-08-14 12:27:03.177000, 2014-08-14 12:27:17.417000, 2014-08-14 12:27:19.743000, 2014-08-14 12:27:29.008000
1, 9, 15, 20, 36.5, 2014-08-14 12:27:29.009000, 2014-08-14 12:27:44.398000, 2014-08-14 12:27:46.728000, 2014-08-14 12:27:56.056000
1, 10, 20, 20, 36.0, 2014-08-14 12:27:56.057000, 2014-08-14 12:28:07.264000, 2014-08-14 12:28:09.590000, 2014-08-14 12:28:12.655000
2, 1, 10, 20, 32.5, 2014-08-14 12:28:31.972000, 2014-08-14 12:28:39.046000, 2014-08-14 12:28:41.376000, 2014-08-14 12:28:50.803000
2, 2, 15, 20, 31.25, 2014-08-14 12:28:50.803000, 2014-08-14 12:28:55.011000, 2014-08-14 12:28:57.345000, 2014-08-14 12:29:08.935000
2, 3, 10, 20, 32.5, 2014-08-14 12:29:08.935000, 2014-08-14 12:29:12.343000, 2014-08-14 12:29:14.675000, 2014-08-14 12:29:20.367000
2, 4, 20, 1, 15.75, 2014-08-14 12:29:20.368000, 2014-08-14 12:29:24.308000, 2014-08-14 12:29:26.642000, 2014-08-14 12:29:39.200000
2, 5, 10, 10, 25.0, 2014-08-14 12:29:39.200000, 2014-08-14 12:29:41.577000, 2014-08-14 12:29:43.902000, 2014-08-14 12:29:47.632000
2, 6,  5 , 10, 26.25, 2014-08-14 12:29:47.633000, 2014-08-14 12:29:55.407000, 2014-08-14 12:29:57.740000, 2014-08-14 12:30:02.331000
2, 7, 15, 0, 16.25, 2014-08-14 12:30:02.332000, 2014-08-14 12:30:05.256000, 2014-08-14 12:30:07.590000, 2014-08-14 12:30:15.348000
2, 8,  5 , 5, 22.5, 2014-08-14 12:30:15.348000, 2014-08-14 12:30:22.005000, 2014-08-14 12:30:24.332000, 2014-08-14 12:30:27.463000
2, 9,  5 , 10, 26.25, 2014-08-14 12:30:27.464000, 2014-08-14 12:30:32.904000, 2014-08-14 12:30:35.239000, 2014-08-14 12:30:39.546000
2, 10,  0 , 20, 35.0, 2014-08-14 12:30:39.546000, 2014-08-14 12:30:44.454000, 2014-08-14 12:30:46.781000, 2014-08-14 12:30:52.978000
3, 1, 10, 10, 22.0, 2014-08-14 12:31:06.895000, 2014-08-14 12:31:11.602000, 2014-08-14 12:31:13.927000, 2014-08-14 12:31:19.760000
3, 2, 15, 15, 23.0, 2014-08-14 12:31:19.761000, 2014-08-14 12:31:29.101000, 2014-08-14 12:31:31.429000, 2014-08-14 12:31:36.425000
3, 3, 15, 20, 26.0, 2014-08-14 12:31:36.426000, 2014-08-14 12:31:41.983000, 2014-08-14 12:31:44.312000, 2014-08-14 12:31:51.575000
3, 4,  0 , 20, 32.0, 2014-08-14 12:31:51.575000, 2014-08-14 12:31:55.582000, 2014-08-14 12:31:57.908000, 2014-08-14 12:32:01.974000
3, 5, 10, 20, 28.0, 2014-08-14 12:32:01.974000, 2014-08-14 12:32:05.482000, 2014-08-14 12:32:07.809000, 2014-08-14 12:32:11.706000
3, 6, 10, 20, 28.0, 2014-08-14 12:32:11.707000, 2014-08-14 12:32:15.383000, 2014-08-14 12:32:17.738000, 2014-08-14 12:32:23.239000
3, 7, 15, 0, 14.0, 2014-08-14 12:32:23.239000, 2014-08-14 12:32:30.297000, 2014-08-14 12:32:32.625000, 2014-08-14 12:32:41.121000
3, 8,  5 , 10, 24.0, 2014-08-14 12:32:41.122000, 2014-08-14 12:32:45.012000, 2014-08-14 12:32:47.341000, 2014-08-14 12:32:50.137000
3, 9,  5 , 15, 27.0, 2014-08-14 12:32:50.138000, 2014-08-14 12:32:53.062000, 2014-08-14 12:32:55.388000, 2014-08-14 12:32:59.620000
3, 10, 20, 5, 15.0, 2014-08-14 12:32:59.621000, 2014-08-14 12:33:02.695000, 2014-08-14 12:33:05.023000, 2014-08-14 12:33:10.120000
