game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 20, 37.0, 2014-08-13 16:37:49.921000, 2014-08-13 16:37:54.883000, 2014-08-13 16:37:57.380000, 2014-08-13 16:38:28.043000
1, 2, 10, 20, 37.0, 2014-08-13 16:38:28.043000, 2014-08-13 16:38:37.553000, 2014-08-13 16:38:39.882000, 2014-08-13 16:38:49.910000
1, 3, 10, 20, 37.0, 2014-08-13 16:38:49.911000, 2014-08-13 16:38:57.136000, 2014-08-13 16:38:59.463000, 2014-08-13 16:39:19.994000
1, 4,  5 , 20, 37.5, 2014-08-13 16:39:19.995000, 2014-08-13 16:39:25.337000, 2014-08-13 16:39:27.668000, 2014-08-13 16:39:38.229000
1, 5,  5 , 0, 19.5, 2014-08-13 16:39:38.229000, 2014-08-13 16:39:47.038000, 2014-08-13 16:39:49.366000, 2014-08-13 16:39:59.396000
1, 6, 10, 20, 37.0, 2014-08-13 16:39:59.397000, 2014-08-13 16:40:04.122000, 2014-08-13 16:40:06.450000, 2014-08-13 16:40:17.780000
1, 7,  0 , 20, 38.0, 2014-08-13 16:40:17.781000, 2014-08-13 16:40:22.289000, 2014-08-13 16:40:24.616000, 2014-08-13 16:40:33.480000
1, 8,  0 , 20, 38.0, 2014-08-13 16:40:33.481000, 2014-08-13 16:40:38.257000, 2014-08-13 16:40:40.583000, 2014-08-13 16:40:54.248000
1, 9,  0 , 0, 20.0, 2014-08-13 16:40:54.249000, 2014-08-13 16:41:16.925000, 2014-08-13 16:41:19.252000, 2014-08-13 16:41:35.250000
1, 10,  0 , 0, 20.0, 2014-08-13 16:41:35.250000, 2014-08-13 16:41:39.408000, 2014-08-13 16:41:41.734000, 2014-08-13 16:41:48
2, 1, 10, 0, 16.0, 2014-08-13 16:42:15.886000, 2014-08-13 16:42:23.142000, 2014-08-13 16:42:25.471000, 2014-08-13 16:42:36.302000
2, 2,  0 , 0, 20.0, 2014-08-13 16:42:36.303000, 2014-08-13 16:42:40.993000, 2014-08-13 16:42:43.318000, 2014-08-13 16:42:48.385000
2, 3,  0 , 0, 20.0, 2014-08-13 16:42:48.386000, 2014-08-13 16:42:52.177000, 2014-08-13 16:42:54.504000, 2014-08-13 16:43:01.302000
2, 4, 10, 0, 16.0, 2014-08-13 16:43:01.303000, 2014-08-13 16:43:10.411000, 2014-08-13 16:43:12.737000, 2014-08-13 16:43:25.670000
2, 5, 10, 10, 22.0, 2014-08-13 16:43:25.671000, 2014-08-13 16:43:28.528000, 2014-08-13 16:43:30.854000, 2014-08-13 16:43:42.954000
2, 6,  4 , 10, 24.4, 2014-08-13 16:43:42.954000, 2014-08-13 16:43:49.230000, 2014-08-13 16:43:51.562000, 2014-08-13 16:43:55.688000
2, 7,  4 , 4, 20.8, 2014-08-13 16:43:55.689000, 2014-08-13 16:43:59.180000, 2014-08-13 16:44:01.509000, 2014-08-13 16:44:12.071000
2, 8,  1 , 4, 22.0, 2014-08-13 16:44:12.072000, 2014-08-13 16:44:18.547000, 2014-08-13 16:44:20.875000, 2014-08-13 16:44:26.706000
2, 9,  1 , 1, 20.2, 2014-08-13 16:44:26.706000, 2014-08-13 16:44:30.664000, 2014-08-13 16:44:32.991000, 2014-08-13 16:44:42.989000
2, 10,  0 , 1, 20.6, 2014-08-13 16:44:42.990000, 2014-08-13 16:44:50.849000, 2014-08-13 16:44:53.179000, 2014-08-13 16:44:58.873000
3, 1,  0 , 10, 27.5, 2014-08-13 16:45:10.059000, 2014-08-13 16:45:17.233000, 2014-08-13 16:45:19.562000, 2014-08-13 16:45:27.825000
3, 2, 10, 0, 17.5, 2014-08-13 16:45:27.825000, 2014-08-13 16:45:33.668000, 2014-08-13 16:45:35.996000, 2014-08-13 16:45:39.225000
3, 3, 10, 10, 25.0, 2014-08-13 16:45:39.225000, 2014-08-13 16:45:46.800000, 2014-08-13 16:45:49.130000, 2014-08-13 16:45:53.358000
3, 4, 10, 10, 25.0, 2014-08-13 16:45:53.359000, 2014-08-13 16:45:57.152000, 2014-08-13 16:45:59.479000, 2014-08-13 16:46:02.509000
3, 5, 10, 10, 25.0, 2014-08-13 16:46:02.509000, 2014-08-13 16:46:05.152000, 2014-08-13 16:46:07.480000, 2014-08-13 16:46:14.310000
3, 6, 10, 10, 25.0, 2014-08-13 16:46:14.311000, 2014-08-13 16:46:17.452000, 2014-08-13 16:46:19.780000, 2014-08-13 16:46:23.944000
3, 7,  0 , 10, 27.5, 2014-08-13 16:46:23.944000, 2014-08-13 16:46:27.736000, 2014-08-13 16:46:30.066000, 2014-08-13 16:46:34.061000
3, 8,  0 , 0, 20.0, 2014-08-13 16:46:34.061000, 2014-08-13 16:46:37.236000, 2014-08-13 16:46:39.561000, 2014-08-13 16:46:49.427000
3, 9, 20, 0, 15.0, 2014-08-13 16:46:49.428000, 2014-08-13 16:46:53.353000, 2014-08-13 16:46:55.681000, 2014-08-13 16:47:01.044000
3, 10,  0 , 20, 35.0, 2014-08-13 16:47:01.045000, 2014-08-13 16:47:06.420000, 2014-08-13 16:47:08.748000, 2014-08-13 16:47:13.344000
