game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 15, 32.5, 2014-08-06 10:47:04.656000, 2014-08-06 10:47:11.939000, 2014-08-06 10:47:14.406000, 2014-08-06 10:47:23.065000
1, 2, 19, 13, 29.8, 2014-08-06 10:47:23.066000, 2014-08-06 10:47:27.076000, 2014-08-06 10:47:51.906000, 2014-08-06 10:48:03.833000
1, 3, 12, 15, 32.3, 2014-08-06 10:48:03.834000, 2014-08-06 10:48:08.809000, 2014-08-06 10:48:22.641000, 2014-08-06 10:48:30.668000
1, 4, 16, 15, 31.9, 2014-08-06 10:48:30.668000, 2014-08-06 10:48:34.826000, 2014-08-06 10:48:59.662000, 2014-08-06 10:49:06.169000
1, 5,  8 , 19, 36.3, 2014-08-06 10:49:06.170000, 2014-08-06 10:49:10.977000, 2014-08-06 10:49:13.809000, 2014-08-06 10:49:17.469000
1, 6, 14, 15, 32.1, 2014-08-06 10:49:17.469000, 2014-08-06 10:49:23.094000, 2014-08-06 10:49:46.928000, 2014-08-06 10:49:51.821000
1, 7, 20, 15, 31.5, 2014-08-06 10:49:51.822000, 2014-08-06 10:49:57.611000, 2014-08-06 10:50:15.444000, 2014-08-06 10:50:20.038000
1, 8,  3 , 15, 33.2, 2014-08-06 10:50:20.039000, 2014-08-06 10:50:25.429000, 2014-08-06 10:50:39.262000, 2014-08-06 10:50:44.189000
1, 9, 10, 13, 30.7, 2014-08-06 10:50:44.189000, 2014-08-06 10:50:47.930000, 2014-08-06 10:51:13.763000, 2014-08-06 10:51:19.091000
1, 10,  8 , 15, 32.7, 2014-08-06 10:51:19.091000, 2014-08-06 10:51:28.299000, 2014-08-06 10:51:37.631000, 2014-08-06 10:51:40.691000
2, 1, 15, 15, 27.5, 2014-08-06 10:51:58.243000, 2014-08-06 10:52:01.334000, 2014-08-06 10:52:35.667000, 2014-08-06 10:52:38.594000
2, 2, 10, 18, 31.0, 2014-08-06 10:52:38.595000, 2014-08-06 10:52:45.700000, 2014-08-06 10:52:50.033000, 2014-08-06 10:52:53.660000
2, 3, 14, 8, 22.5, 2014-08-06 10:52:53.661000, 2014-08-06 10:52:59.218000, 2014-08-06 10:53:19.050000, 2014-08-06 10:53:22.511000
2, 4,  1 , 15, 31.0, 2014-08-06 10:53:22.512000, 2014-08-06 10:53:28.953000, 2014-08-06 10:53:31.781000, 2014-08-06 10:53:35.945000
2, 5,  8 , 15, 29.25, 2014-08-06 10:53:35.945000, 2014-08-06 10:53:48.804000, 2014-08-06 10:53:52.637000, 2014-08-06 10:53:56.029000
2, 6, 12, 10, 24.5, 2014-08-06 10:53:56.030000, 2014-08-06 10:54:03.638000, 2014-08-06 10:54:19.468000, 2014-08-06 10:54:22.763000
2, 7, 16, 13, 25.75, 2014-08-06 10:54:22.764000, 2014-08-06 10:54:28.589000, 2014-08-06 10:54:31.423000, 2014-08-06 10:54:35.464000
2, 8,  0 , 16, 32.0, 2014-08-06 10:54:35.464000, 2014-08-06 10:54:40.407000, 2014-08-06 10:54:42.735000, 2014-08-06 10:54:51.398000
2, 9, 10, 16, 29.5, 2014-08-06 10:54:51.399000, 2014-08-06 10:55:04.373000, 2014-08-06 10:55:06.704000, 2014-08-06 10:55:10.999000
2, 10,  9 , 10, 25.25, 2014-08-06 10:55:10.999000, 2014-08-06 10:55:19.707000, 2014-08-06 10:55:22.042000, 2014-08-06 10:55:27.399000
3, 1, 16, 10, 19.6, 2014-08-06 10:55:37.017000, 2014-08-06 10:55:43.525000, 2014-08-06 10:56:04.856000, 2014-08-06 10:56:11.117000
3, 2,  3 , 10, 24.8, 2014-08-06 10:56:11.118000, 2014-08-06 10:56:15.609000, 2014-08-06 10:56:21.441000, 2014-08-06 10:56:24.934000
3, 3, 10, 15, 25.0, 2014-08-06 10:56:24.935000, 2014-08-06 10:56:30.977000, 2014-08-06 10:56:54.575000, 2014-08-06 10:57:00.836000
3, 4, 13, 5, 17.8, 2014-08-06 10:57:00.837000, 2014-08-06 10:57:12.295000, 2014-08-06 10:57:17.141000, 2014-08-06 10:57:20.203000
3, 5,  7 , 8, 22.0, 2014-08-06 10:57:20.204000, 2014-08-06 10:57:30.346000, 2014-08-06 10:57:32.672000, 2014-08-06 10:57:35.637000
3, 6, 10, 9, 21.4, 2014-08-06 10:57:35.637000, 2014-08-06 10:57:45.246000, 2014-08-06 10:57:47.574000, 2014-08-06 10:57:50.204000
3, 7,  1 , 10, 25.6, 2014-08-06 10:57:50.205000, 2014-08-06 10:57:55.163000, 2014-08-06 10:57:57.494000, 2014-08-06 10:58:04.155000
3, 8,  5 , 6, 21.6, 2014-08-06 10:58:04.155000, 2014-08-06 10:58:14.681000, 2014-08-06 10:58:17.009000, 2014-08-06 10:58:20.972000
3, 9, 10, 5, 19.0, 2014-08-06 10:58:20.973000, 2014-08-06 10:58:30.232000, 2014-08-06 10:58:46.563000, 2014-08-06 10:58:50.157000
3, 10, 14, 15, 23.4, 2014-08-06 10:58:50.157000, 2014-08-06 10:59:03.582000, 2014-08-06 10:59:05.913000, 2014-08-06 10:59:09.641000
