game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 20, 14, 30.6, 2014-08-01 16:30:28.733000, 2014-08-01 16:30:32.486000, 2014-08-01 16:30:40.386000, 2014-08-01 16:31:03.762000
1, 2, 20, 15, 31.5, 2014-08-01 16:31:03.762000, 2014-08-01 16:31:08.703000, 2014-08-01 16:31:11.033000, 2014-08-01 16:31:16.195000
1, 3, 20, 2, 19.8, 2014-08-01 16:31:16.196000, 2014-08-01 16:31:19.305000, 2014-08-01 16:31:26.633000, 2014-08-01 16:31:41.063000
1, 4, 18, 10, 27.2, 2014-08-01 16:31:41.064000, 2014-08-01 16:32:06.139000, 2014-08-01 16:32:08.470000, 2014-08-01 16:32:12.898000
1, 5, 10, 14, 31.6, 2014-08-01 16:32:12.898000, 2014-08-01 16:34:03.876000, 2014-08-01 16:34:06.208000, 2014-08-01 16:34:11.802000
1, 6, 11, 20, 36.9, 2014-08-01 16:34:11.803000, 2014-08-01 16:34:15.476000, 2014-08-01 16:34:23.310000, 2014-08-01 16:34:30.236000
1, 7, 15, 8, 25.7, 2014-08-01 16:34:30.237000, 2014-08-01 16:34:40.528000, 2014-08-01 16:34:42.860000, 2014-08-01 16:34:48.419000
1, 8, 13, 12, 29.5, 2014-08-01 16:34:48.420000, 2014-08-01 16:34:55.378000, 2014-08-01 16:34:57.709000, 2014-08-01 16:34:59.537000
1, 9, 14, 14, 31.2, 2014-08-01 16:34:59.538000, 2014-08-01 16:35:01.844000, 2014-08-01 16:35:11.444000, 2014-08-01 16:35:17.070000
1, 10, 15, 9, 26.6, 2014-08-01 16:35:17.071000, 2014-08-01 16:35:20.896000, 2014-08-01 16:35:25.227000, 2014-08-01 16:35:29.022000
2, 1, 15, 10, 20.0, 2014-08-01 16:36:10.442000, 2014-08-01 16:36:15.263000, 2014-08-01 16:36:17.592000, 2014-08-01 16:36:33.424000
2, 2, 10, 8, 20.8, 2014-08-01 16:36:33.424000, 2014-08-01 16:36:35.431000, 2014-08-01 16:36:37.760000, 2014-08-01 16:36:39.457000
2, 3,  7 , 6, 20.8, 2014-08-01 16:36:39.458000, 2014-08-01 16:36:41.968000, 2014-08-01 16:36:44.296000, 2014-08-01 16:36:50.824000
2, 4,  0 , 7, 24.2, 2014-08-01 16:36:50.825000, 2014-08-01 16:36:58.866000, 2014-08-01 16:37:01.196000, 2014-08-01 16:37:10.592000
2, 5, 10, 1, 16.6, 2014-08-01 16:37:10.592000, 2014-08-01 16:37:13.783000, 2014-08-01 16:37:16.113000, 2014-08-01 16:37:17.342000
2, 6, 10, 0, 16.0, 2014-08-01 16:37:17.342000, 2014-08-01 16:37:19.049000, 2014-08-01 16:37:25.376000, 2014-08-01 16:37:26.842000
2, 7, 10, 2, 17.2, 2014-08-01 16:37:26.842000, 2014-08-01 16:37:29.085000, 2014-08-01 16:37:35.912000, 2014-08-01 16:37:36.775000
2, 8,  0 , 5, 23.0, 2014-08-01 16:37:36.776000, 2014-08-01 16:37:38.952000, 2014-08-01 16:37:49.279000, 2014-08-01 16:37:50.810000
2, 9,  0 , 1, 20.6, 2014-08-01 16:37:50.810000, 2014-08-01 16:37:52.852000, 2014-08-01 16:38:02.182000, 2014-08-01 16:38:03.343000
2, 10,  1 , 1, 20.2, 2014-08-01 16:38:03.344000, 2014-08-01 16:38:05.384000, 2014-08-01 16:38:20.212000, 2014-08-01 16:38:25.444000
3, 1, 15, 10, 23.75, 2014-08-01 16:38:49.863000, 2014-08-01 16:38:56.653000, 2014-08-01 16:38:58.990000, 2014-08-01 16:39:00.629000
3, 2, 15, 5, 20.0, 2014-08-01 16:39:00.630000, 2014-08-01 16:39:03.171000, 2014-08-01 16:39:06.997000, 2014-08-01 16:39:14.196000
3, 3, 10, 7, 22.75, 2014-08-01 16:39:14.197000, 2014-08-01 16:39:18.971000, 2014-08-01 16:39:21.304000, 2014-08-01 16:39:22.830000
3, 4, 10, 8, 23.5, 2014-08-01 16:39:22.830000, 2014-08-01 16:39:24.538000, 2014-08-01 16:39:27.869000, 2014-08-01 16:39:28.797000
3, 5, 10, 10, 25.0, 2014-08-01 16:39:28.797000, 2014-08-01 16:39:32.504000, 2014-08-01 16:39:37.833000, 2014-08-01 16:39:42.730000
3, 6, 11, 5, 21.0, 2014-08-01 16:39:42.731000, 2014-08-01 16:39:45.106000, 2014-08-01 16:39:47.962000, 2014-08-01 16:39:59.198000
3, 7, 10, 7, 22.75, 2014-08-01 16:39:59.199000, 2014-08-01 16:40:05.372000, 2014-08-01 16:40:07.704000, 2014-08-01 16:40:10.665000
3, 8, 10, 0, 17.5, 2014-08-01 16:40:10.665000, 2014-08-01 16:40:12.607000, 2014-08-01 16:40:15.436000, 2014-08-01 16:40:32.399000
3, 9,  0 , 1, 20.75, 2014-08-01 16:40:32.399000, 2014-08-01 16:40:40.641000, 2014-08-01 16:40:42.971000, 2014-08-01 16:40:47.966000
3, 10,  1 , 8, 25.75, 2014-08-01 16:40:47.966000, 2014-08-01 16:40:50.508000, 2014-08-01 16:40:52.839000, 2014-08-01 16:41:12.400000
