game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 20, 10, 27.0, 2014-08-08 14:43:27.699000, 2014-08-08 14:43:36.920000, 2014-08-08 14:43:39.385000, 2014-08-08 14:43:58.543000
1, 2, 18, 20, 36.2, 2014-08-08 14:43:58.544000, 2014-08-08 14:44:05.451000, 2014-08-08 14:44:07.780000, 2014-08-08 14:44:18.575000
1, 3, 20, 20, 36.0, 2014-08-08 14:44:18.576000, 2014-08-08 14:44:27.783000, 2014-08-08 14:44:30.110000, 2014-08-08 14:44:39.674000
1, 4, 19, 20, 36.1, 2014-08-08 14:44:39.674000, 2014-08-08 14:44:46.698000, 2014-08-08 14:44:49.028000, 2014-08-08 14:44:56.590000
1, 5, 20, 19, 35.1, 2014-08-08 14:44:56.590000, 2014-08-08 14:45:01.464000, 2014-08-08 14:45:03.795000, 2014-08-08 14:45:11.889000
1, 6, 20, 18, 34.2, 2014-08-08 14:45:11.889000, 2014-08-08 14:45:16.530000, 2014-08-08 14:45:18.859000, 2014-08-08 14:45:29.787000
1, 7, 18, 20, 36.2, 2014-08-08 14:45:29.788000, 2014-08-08 14:45:33.079000, 2014-08-08 14:45:35.408000, 2014-08-08 14:45:40.770000
1, 8, 19, 20, 36.1, 2014-08-08 14:45:40.771000, 2014-08-08 14:45:46.314000, 2014-08-08 14:45:48.641000, 2014-08-08 14:45:56.336000
1, 9, 18, 20, 36.2, 2014-08-08 14:45:56.336000, 2014-08-08 14:46:00.544000, 2014-08-08 14:46:02.874000, 2014-08-08 14:46:11.968000
1, 10, 20, 17, 33.3, 2014-08-08 14:46:11.969000, 2014-08-08 14:46:24.441000, 2014-08-08 14:46:26.774000, 2014-08-08 14:46:33.367000
2, 1, 20, 20, 30.0, 2014-08-08 14:46:51.383000, 2014-08-08 14:46:59.256000, 2014-08-08 14:47:01.584000, 2014-08-08 14:47:05.248000
2, 2, 20, 20, 30.0, 2014-08-08 14:47:05.249000, 2014-08-08 14:47:08.423000, 2014-08-08 14:47:11.750000, 2014-08-08 14:47:14.981000
2, 3, 20, 20, 30.0, 2014-08-08 14:47:14.981000, 2014-08-08 14:47:19.656000, 2014-08-08 14:47:21.983000, 2014-08-08 14:47:24.180000
2, 4, 20, 20, 30.0, 2014-08-08 14:47:24.181000, 2014-08-08 14:47:27.121000, 2014-08-08 14:47:29.449000, 2014-08-08 14:47:31.380000
2, 5, 20, 20, 30.0, 2014-08-08 14:47:31.380000, 2014-08-08 14:47:35.255000, 2014-08-08 14:47:37.583000, 2014-08-08 14:47:39.246000
2, 6, 20, 20, 30.0, 2014-08-08 14:47:39.246000, 2014-08-08 14:47:42.586000, 2014-08-08 14:47:44.915000, 2014-08-08 14:47:48.845000
2, 7, 20, 20, 30.0, 2014-08-08 14:47:48.846000, 2014-08-08 14:47:51.520000, 2014-08-08 14:47:53.848000, 2014-08-08 14:47:55.478000
2, 8, 20, 20, 30.0, 2014-08-08 14:47:55.479000, 2014-08-08 14:47:59.436000, 2014-08-08 14:48:01.763000, 2014-08-08 14:48:04.427000
2, 9, 20, 20, 30.0, 2014-08-08 14:48:04.428000, 2014-08-08 14:48:06.703000, 2014-08-08 14:48:09.031000, 2014-08-08 14:48:11.660000
2, 10, 20, 20, 30.0, 2014-08-08 14:48:11.661000, 2014-08-08 14:48:14.869000, 2014-08-08 14:48:17.199000, 2014-08-08 14:48:21.793000
3, 1, 20, 20, 24.0, 2014-08-08 14:48:44.476000, 2014-08-08 14:48:47.783000, 2014-08-08 14:48:50.110000, 2014-08-08 14:48:53.341000
3, 2, 20, 20, 24.0, 2014-08-08 14:48:53.342000, 2014-08-08 14:48:55.133000, 2014-08-08 14:48:57.459000, 2014-08-08 14:49:03.124000
3, 3, 20, 20, 24.0, 2014-08-08 14:49:03.124000, 2014-08-08 14:49:04.965000, 2014-08-08 14:49:07.292000, 2014-08-08 14:49:08.257000
3, 4, 20, 20, 24.0, 2014-08-08 14:49:08.257000, 2014-08-08 14:49:12.264000, 2014-08-08 14:49:14.592000, 2014-08-08 14:49:16.589000
3, 5, 20, 20, 24.0, 2014-08-08 14:49:16.590000, 2014-08-08 14:49:18.531000, 2014-08-08 14:49:20.858000, 2014-08-08 14:49:23.456000
3, 6, 20, 20, 24.0, 2014-08-08 14:49:23.456000, 2014-08-08 14:49:25.347000, 2014-08-08 14:49:27.677000, 2014-08-08 14:49:31.472000
3, 7, 20, 20, 24.0, 2014-08-08 14:49:31.472000, 2014-08-08 14:49:33.780000, 2014-08-08 14:49:36.138000, 2014-08-08 14:49:41.238000
3, 8, 20, 20, 24.0, 2014-08-08 14:49:41.239000, 2014-08-08 14:49:44.129000, 2014-08-08 14:49:46.456000, 2014-08-08 14:49:49.387000
3, 9, 20, 20, 24.0, 2014-08-08 14:49:49.388000, 2014-08-08 14:49:52.446000, 2014-08-08 14:49:54.773000, 2014-08-08 14:49:59.803000
3, 10, 20, 20, 24.0, 2014-08-08 14:49:59.804000, 2014-08-08 14:50:03.944000, 2014-08-08 14:50:06.272000, 2014-08-08 14:50:10.303000
