game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 15, 32.5, 2014-08-14 14:18:35.569000, 2014-08-14 14:18:49.916000, 2014-08-14 14:18:52.382000, 2014-08-14 14:19:01.643000
1, 2, 18, 18, 34.4, 2014-08-14 14:19:01.643000, 2014-08-14 14:19:07.484000, 2014-08-14 14:19:21.319000, 2014-08-14 14:19:26.093000
1, 3, 18, 20, 36.2, 2014-08-14 14:19:26.094000, 2014-08-14 14:19:32.085000, 2014-08-14 14:19:34.414000, 2014-08-14 14:19:41.844000
1, 4, 20, 20, 36.0, 2014-08-14 14:19:41.845000, 2014-08-14 14:19:45.253000, 2014-08-14 14:19:47.578000, 2014-08-14 14:19:50.410000
1, 5, 20, 20, 36.0, 2014-08-14 14:19:50.411000, 2014-08-14 14:19:54.852000, 2014-08-14 14:19:57.178000, 2014-08-14 14:20:03.445000
1, 6, 20, 20, 36.0, 2014-08-14 14:20:03.445000, 2014-08-14 14:20:07.585000, 2014-08-14 14:20:09.911000, 2014-08-14 14:20:12.845000
1, 7, 20, 17, 33.3, 2014-08-14 14:20:12.846000, 2014-08-14 14:20:17.086000, 2014-08-14 14:20:26.419000, 2014-08-14 14:20:31.145000
1, 8, 19, 10, 27.1, 2014-08-14 14:20:31.146000, 2014-08-14 14:20:34.287000, 2014-08-14 14:20:40.617000, 2014-08-14 14:20:45.979000
1, 9, 11, 18, 35.1, 2014-08-14 14:20:45.980000, 2014-08-14 14:20:54.037000, 2014-08-14 14:20:56.369000, 2014-08-14 14:20:58.863000
1, 10, 19, 20, 36.1, 2014-08-14 14:20:58.863000, 2014-08-14 14:21:03.006000, 2014-08-14 14:21:05.335000, 2014-08-14 14:21:08.430000
2, 1, 15, 20, 31.25, 2014-08-14 14:21:20.514000, 2014-08-14 14:21:26.588000, 2014-08-14 14:21:28.923000, 2014-08-14 14:21:31.380000
2, 2, 20, 17, 27.75, 2014-08-14 14:21:31.381000, 2014-08-14 14:21:34.006000, 2014-08-14 14:21:36.338000, 2014-08-14 14:21:38.764000
2, 3, 18, 19, 29.75, 2014-08-14 14:21:38.765000, 2014-08-14 14:21:41.238000, 2014-08-14 14:21:43.573000, 2014-08-14 14:21:47.231000
2, 4, 19, 16, 27.25, 2014-08-14 14:21:47.232000, 2014-08-14 14:21:50.638000, 2014-08-14 14:21:52.975000, 2014-08-14 14:21:55.048000
2, 5, 18, 20, 30.5, 2014-08-14 14:21:55.049000, 2014-08-14 14:21:58.723000, 2014-08-14 14:22:01.054000, 2014-08-14 14:22:03.483000
2, 6, 19, 17, 28.0, 2014-08-14 14:22:03.483000, 2014-08-14 14:22:06.823000, 2014-08-14 14:22:09.151000, 2014-08-14 14:22:12.149000
2, 7, 16, 18, 29.5, 2014-08-14 14:22:12.150000, 2014-08-14 14:22:15.874000, 2014-08-14 14:22:18.206000, 2014-08-14 14:22:21.900000
2, 8, 19, 19, 29.5, 2014-08-14 14:22:21.900000, 2014-08-14 14:22:25.141000, 2014-08-14 14:22:27.469000, 2014-08-14 14:22:30.299000
2, 9, 20, 19, 29.25, 2014-08-14 14:22:30.300000, 2014-08-14 14:22:33.943000, 2014-08-14 14:22:36.274000, 2014-08-14 14:22:38.533000
2, 10, 19, 20, 30.25, 2014-08-14 14:22:38.533000, 2014-08-14 14:22:42.109000, 2014-08-14 14:22:44.440000, 2014-08-14 14:22:47.367000
3, 1, 16, 20, 25.6, 2014-08-14 14:22:57.318000, 2014-08-14 14:23:01.059000, 2014-08-14 14:23:10.390000, 2014-08-14 14:23:17.218000
3, 2, 20, 16, 21.6, 2014-08-14 14:23:17.218000, 2014-08-14 14:23:19.227000, 2014-08-14 14:23:23.058000, 2014-08-14 14:23:29.351000
3, 3, 19, 15, 21.4, 2014-08-14 14:23:29.352000, 2014-08-14 14:23:31.393000, 2014-08-14 14:23:33.726000, 2014-08-14 14:23:38.752000
3, 4, 13, 10, 20.8, 2014-08-14 14:23:38.752000, 2014-08-14 14:23:41.326000, 2014-08-14 14:23:43.925000, 2014-08-14 14:23:46.986000
3, 5,  4 , 19, 29.8, 2014-08-14 14:23:46.986000, 2014-08-14 14:23:49.928000, 2014-08-14 14:23:53.258000, 2014-08-14 14:23:56.119000
3, 6, 10, 11, 22.6, 2014-08-14 14:23:56.120000, 2014-08-14 14:23:58.027000, 2014-08-14 14:24:02.357000, 2014-08-14 14:24:05.020000
3, 7, 11, 20, 27.6, 2014-08-14 14:24:05.021000, 2014-08-14 14:24:11.327000, 2014-08-14 14:24:13.692000, 2014-08-14 14:24:18.087000
3, 8, 12, 9, 20.6, 2014-08-14 14:24:18.087000, 2014-08-14 14:24:21.796000, 2014-08-14 14:24:24.124000, 2014-08-14 14:24:26.920000
3, 9, 10, 20, 28.0, 2014-08-14 14:24:26.921000, 2014-08-14 14:24:28.895000, 2014-08-14 14:24:31.223000, 2014-08-14 14:24:34.621000
3, 10, 16, 12, 20.8, 2014-08-14 14:24:34.621000, 2014-08-14 14:24:37.046000, 2014-08-14 14:24:39.376000, 2014-08-14 14:24:42.171000
