game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 10, 28.0, 2014-08-08 12:29:20.974000, 2014-08-08 12:29:28.807000, 2014-08-08 12:29:31.402000, 2014-08-08 12:29:36.731000
1, 2, 15, 10, 27.5, 2014-08-08 12:29:36.732000, 2014-08-08 12:29:49.275000, 2014-08-08 12:29:51.607000, 2014-08-08 12:29:59.647000
1, 3, 15, 4, 22.1, 2014-08-08 12:29:59.647000, 2014-08-08 12:30:13.671000, 2014-08-08 12:30:16.002000, 2014-08-08 12:30:25.162000
1, 4, 10, 10, 28.0, 2014-08-08 12:30:25.162000, 2014-08-08 12:30:33.503000, 2014-08-08 12:30:36.330000, 2014-08-08 12:30:44.628000
1, 5, 11, 15, 32.4, 2014-08-08 12:30:44.628000, 2014-08-08 12:30:56.069000, 2014-08-08 12:30:58.403000, 2014-08-08 12:31:01.076000
1, 6, 13, 10, 27.7, 2014-08-08 12:31:01.077000, 2014-08-08 12:31:06.968000, 2014-08-08 12:31:20.298000, 2014-08-08 12:31:23.525000
1, 7, 13, 20, 36.7, 2014-08-08 12:31:23.525000, 2014-08-08 12:31:33.516000, 2014-08-08 12:31:35.848000, 2014-08-08 12:31:39.107000
1, 8, 15, 10, 27.5, 2014-08-08 12:31:39.107000, 2014-08-08 12:32:01.381000, 2014-08-08 12:32:03.714000, 2014-08-08 12:32:07.555000
1, 9, 15, 8, 25.7, 2014-08-08 12:32:07.556000, 2014-08-08 12:32:14.181000, 2014-08-08 12:32:24.512000, 2014-08-08 12:32:31.071000
1, 10, 12, 10, 27.8, 2014-08-08 12:32:31.071000, 2014-08-08 12:32:43.729000, 2014-08-08 12:32:46.060000, 2014-08-08 12:32:48.819000
2, 1, 10, 20, 32.5, 2014-08-08 12:33:04.404000, 2014-08-08 12:33:08.759000, 2014-08-08 12:33:32.591000, 2014-08-08 12:33:42.316000
2, 2, 15, 15, 27.5, 2014-08-08 12:33:42.316000, 2014-08-08 12:33:46.274000, 2014-08-08 12:33:57.107000, 2014-08-08 12:33:59.965000
2, 3, 16, 18, 29.5, 2014-08-08 12:33:59.965000, 2014-08-08 12:34:06.373000, 2014-08-08 12:34:19.707000, 2014-08-08 12:34:22.047000
2, 4, 18, 8, 21.5, 2014-08-08 12:34:22.047000, 2014-08-08 12:34:27.105000, 2014-08-08 12:34:38.436000, 2014-08-08 12:34:41.362000
2, 5,  2 , 15, 30.75, 2014-08-08 12:34:41.362000, 2014-08-08 12:34:48.088000, 2014-08-08 12:34:55.919000, 2014-08-08 12:34:59.444000
2, 6, 14, 1, 17.25, 2014-08-08 12:34:59.445000, 2014-08-08 12:35:06.553000, 2014-08-08 12:35:14.886000, 2014-08-08 12:35:17.526000
2, 7, 10, 2, 19.0, 2014-08-08 12:35:17.527000, 2014-08-08 12:35:22.802000, 2014-08-08 12:35:34.127000, 2014-08-08 12:35:36.225000
2, 8,  3 , 9, 26.0, 2014-08-08 12:35:36.226000, 2014-08-08 12:35:39.551000, 2014-08-08 12:35:59.875000, 2014-08-08 12:36:02.140000
2, 9,  6 , 12, 27.5, 2014-08-08 12:36:02.141000, 2014-08-08 12:36:10.233000, 2014-08-08 12:36:12.564000, 2014-08-08 12:36:15.490000
2, 10, 10, 10, 25.0, 2014-08-08 12:36:15.491000, 2014-08-08 12:36:20.550000, 2014-08-08 12:36:22.878000, 2014-08-08 12:36:26.574000
3, 1, 10, 15, 25.0, 2014-08-08 12:36:38.892000, 2014-08-08 12:36:41.635000, 2014-08-08 12:36:49.962000, 2014-08-08 12:36:55.825000
3, 2, 13, 10, 20.8, 2014-08-08 12:36:55.825000, 2014-08-08 12:37:01.134000, 2014-08-08 12:37:10.468000, 2014-08-08 12:37:13.126000
3, 3, 13, 10, 20.8, 2014-08-08 12:37:13.127000, 2014-08-08 12:37:18.434000, 2014-08-08 12:37:25.769000, 2014-08-08 12:37:28.809000
3, 4, 12, 12, 22.4, 2014-08-08 12:37:28.810000, 2014-08-08 12:37:35.818000, 2014-08-08 12:37:39.649000, 2014-08-08 12:37:41.377000
3, 5, 14, 15, 23.4, 2014-08-08 12:37:41.378000, 2014-08-08 12:37:46.235000, 2014-08-08 12:37:53.073000, 2014-08-08 12:37:54.510000
3, 6, 16, 15, 22.6, 2014-08-08 12:37:54.511000, 2014-08-08 12:37:57.303000, 2014-08-08 12:38:02.436000, 2014-08-08 12:38:05.294000
3, 7, 17, 16, 22.8, 2014-08-08 12:38:05.295000, 2014-08-08 12:38:09.320000, 2014-08-08 12:38:15.155000, 2014-08-08 12:38:17.595000
3, 8, 18, 17, 23.0, 2014-08-08 12:38:17.595000, 2014-08-08 12:38:20.520000, 2014-08-08 12:38:27.353000, 2014-08-08 12:38:29.478000
3, 9, 19, 18, 23.2, 2014-08-08 12:38:29.478000, 2014-08-08 12:38:33.288000, 2014-08-08 12:38:36.622000, 2014-08-08 12:38:38.495000
3, 10, 20, 19, 23.4, 2014-08-08 12:38:38.496000, 2014-08-08 12:38:41.755000, 2014-08-08 12:38:44.089000, 2014-08-08 12:38:45.712000
