game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 12, 20, 36.8, 2014-08-15 11:27:35.817000, 2014-08-15 11:27:41.398000, 2014-08-15 11:27:44.395000, 2014-08-15 11:27:52.522000
1, 2, 20, 18, 34.2, 2014-08-15 11:27:52.523000, 2014-08-15 11:27:56.230000, 2014-08-15 11:27:58.560000, 2014-08-15 11:28:06.121000
1, 3, 20, 20, 36.0, 2014-08-15 11:28:06.122000, 2014-08-15 11:28:09.863000, 2014-08-15 11:28:12.189000, 2014-08-15 11:28:16.587000
1, 4, 20, 20, 36.0, 2014-08-15 11:28:16.588000, 2014-08-15 11:28:19.329000, 2014-08-15 11:28:21.654000, 2014-08-15 11:28:25.287000
1, 5, 20, 20, 36.0, 2014-08-15 11:28:25.287000, 2014-08-15 11:28:27.428000, 2014-08-15 11:28:29.754000, 2014-08-15 11:28:32.986000
1, 6, 20, 20, 36.0, 2014-08-15 11:28:32.987000, 2014-08-15 11:28:35.627000, 2014-08-15 11:28:37.953000, 2014-08-15 11:28:42.653000
1, 7, 20, 20, 36.0, 2014-08-15 11:28:42.653000, 2014-08-15 11:28:45.826000, 2014-08-15 11:28:48.153000, 2014-08-15 11:28:51.085000
1, 8, 20, 20, 36.0, 2014-08-15 11:28:51.086000, 2014-08-15 11:28:54.193000, 2014-08-15 11:28:56.519000, 2014-08-15 11:29:01.384000
1, 9, 20, 20, 36.0, 2014-08-15 11:29:01.385000, 2014-08-15 11:29:03.626000, 2014-08-15 11:29:05.952000, 2014-08-15 11:29:18.517000
1, 10, 20, 20, 36.0, 2014-08-15 11:29:18.517000, 2014-08-15 11:29:21.458000, 2014-08-15 11:29:23.784000, 2014-08-15 11:29:26.749000
2, 1, 20, 18, 22.8, 2014-08-15 11:29:39.567000, 2014-08-15 11:29:42.158000, 2014-08-15 11:29:45.991000, 2014-08-15 11:30:04.851000
2, 2, 19, 20, 24.4, 2014-08-15 11:30:04.852000, 2014-08-15 11:30:07.959000, 2014-08-15 11:30:10.294000, 2014-08-15 11:30:16.368000
2, 3, 20, 20, 24.0, 2014-08-15 11:30:16.369000, 2014-08-15 11:30:19.943000, 2014-08-15 11:30:22.270000, 2014-08-15 11:30:34.469000
2, 4, 20, 20, 24.0, 2014-08-15 11:30:34.469000, 2014-08-15 11:30:37.393000, 2014-08-15 11:30:39.720000, 2014-08-15 11:30:42.985000
2, 5, 20, 20, 24.0, 2014-08-15 11:30:42.986000, 2014-08-15 11:30:45.694000, 2014-08-15 11:30:48.023000, 2014-08-15 11:30:57.153000
2, 6, 20, 20, 24.0, 2014-08-15 11:30:57.153000, 2014-08-15 11:30:59.927000, 2014-08-15 11:31:02.255000, 2014-08-15 11:31:05.253000
2, 7, 20, 20, 24.0, 2014-08-15 11:31:05.254000, 2014-08-15 11:31:07.812000, 2014-08-15 11:31:10.138000, 2014-08-15 11:31:12.569000
2, 8, 20, 20, 24.0, 2014-08-15 11:31:12.570000, 2014-08-15 11:31:15.212000, 2014-08-15 11:31:17.539000, 2014-08-15 11:31:32.003000
2, 9, 20, 20, 24.0, 2014-08-15 11:31:32.004000, 2014-08-15 11:31:34.129000, 2014-08-15 11:31:36.457000, 2014-08-15 11:31:39.254000
2, 10, 20, 20, 24.0, 2014-08-15 11:31:39.255000, 2014-08-15 11:31:42.512000, 2014-08-15 11:31:44.840000, 2014-08-15 11:31:47.971000
3, 1, 20, 20, 30.0, 2014-08-15 11:31:56.390000, 2014-08-15 11:32:00.329000, 2014-08-15 11:32:02.657000, 2014-08-15 11:32:05.322000
3, 2, 20, 20, 30.0, 2014-08-15 11:32:05.323000, 2014-08-15 11:32:07.263000, 2014-08-15 11:32:09.591000, 2014-08-15 11:32:11.855000
3, 3, 20, 20, 30.0, 2014-08-15 11:32:11.855000, 2014-08-15 11:32:13.862000, 2014-08-15 11:32:16.192000, 2014-08-15 11:32:19.189000
3, 4, 20, 20, 30.0, 2014-08-15 11:32:19.189000, 2014-08-15 11:32:21.831000, 2014-08-15 11:32:24.159000, 2014-08-15 11:32:27.423000
3, 5, 20, 20, 30.0, 2014-08-15 11:32:27.423000, 2014-08-15 11:32:29.447000, 2014-08-15 11:32:31.803000, 2014-08-15 11:32:36.640000
3, 6, 20, 20, 30.0, 2014-08-15 11:32:36.640000, 2014-08-15 11:32:38.715000, 2014-08-15 11:32:41.042000, 2014-08-15 11:32:44.340000
3, 7, 20, 20, 30.0, 2014-08-15 11:32:44.341000, 2014-08-15 11:32:47.948000, 2014-08-15 11:32:50.276000, 2014-08-15 11:32:52.773000
3, 8, 20, 20, 30.0, 2014-08-15 11:32:52.774000, 2014-08-15 11:32:55.115000, 2014-08-15 11:32:57.442000, 2014-08-15 11:33:07.007000
3, 9, 20, 20, 30.0, 2014-08-15 11:33:07.008000, 2014-08-15 11:33:11.016000, 2014-08-15 11:33:13.343000, 2014-08-15 11:33:17.708000
3, 10, 20, 20, 30.0, 2014-08-15 11:33:17.708000, 2014-08-15 11:33:19.649000, 2014-08-15 11:33:21.977000, 2014-08-15 11:33:23.407000
