game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 10, 28.0, 2014-08-13 13:14:26.726000, 2014-08-13 13:14:32.474000, 2014-08-13 13:14:35.370000, 2014-08-13 13:14:57.132000
1, 2, 16, 15, 31.9, 2014-08-13 13:14:57.133000, 2014-08-13 13:15:03.989000, 2014-08-13 13:15:06.322000, 2014-08-13 13:15:23.280000
1, 3, 19, 18, 34.3, 2014-08-13 13:15:23.281000, 2014-08-13 13:15:28.521000, 2014-08-13 13:15:30.856000, 2014-08-13 13:15:38.913000
1, 4, 15, 18, 34.7, 2014-08-13 13:15:38.913000, 2014-08-13 13:15:52.753000, 2014-08-13 13:15:56.353000, 2014-08-13 13:16:03.578000
1, 5, 12, 15, 32.3, 2014-08-13 13:16:03.579000, 2014-08-13 13:16:12.852000, 2014-08-13 13:16:16.185000, 2014-08-13 13:16:21.210000
1, 6, 15, 10, 27.5, 2014-08-13 13:16:21.210000, 2014-08-13 13:16:24.800000, 2014-08-13 13:16:35.631000, 2014-08-13 13:16:47.659000
1, 7, 16, 12, 29.2, 2014-08-13 13:16:47.659000, 2014-08-13 13:16:56.565000, 2014-08-13 13:17:00.898000, 2014-08-13 13:17:05.224000
1, 8, 14, 17, 33.9, 2014-08-13 13:17:05.224000, 2014-08-13 13:17:12.064000, 2014-08-13 13:17:22.396000, 2014-08-13 13:17:44.521000
1, 9, 15, 17, 33.8, 2014-08-13 13:17:44.522000, 2014-08-13 13:17:48.663000, 2014-08-13 13:17:50.996000, 2014-08-13 13:17:56.387000
1, 10, 17, 14, 30.9, 2014-08-13 13:17:56.388000, 2014-08-13 13:17:59.361000, 2014-08-13 13:18:05.196000, 2014-08-13 13:18:14.219000
2, 1, 10, 10, 25.0, 2014-08-13 13:18:29.369000, 2014-08-13 13:18:41.041000, 2014-08-13 13:18:43.369000, 2014-08-13 13:18:48.500000
2, 2, 15, 12, 25.25, 2014-08-13 13:18:48.501000, 2014-08-13 13:18:54.075000, 2014-08-13 13:19:03.412000, 2014-08-13 13:19:08.916000
2, 3, 15, 16, 28.25, 2014-08-13 13:19:08.917000, 2014-08-13 13:19:12.291000, 2014-08-13 13:19:23.626000, 2014-08-13 13:19:29.798000
2, 4, 16, 11, 24.25, 2014-08-13 13:19:29.798000, 2014-08-13 13:19:33.755000, 2014-08-13 13:19:39.091000, 2014-08-13 13:19:47.213000
2, 5, 15, 15, 27.5, 2014-08-13 13:19:47.214000, 2014-08-13 13:19:52.288000, 2014-08-13 13:20:01.118000, 2014-08-13 13:20:05.645000
2, 6, 16, 17, 28.75, 2014-08-13 13:20:05.646000, 2014-08-13 13:20:09.054000, 2014-08-13 13:20:18.887000, 2014-08-13 13:20:22.028000
2, 7, 17, 14, 26.25, 2014-08-13 13:20:22.028000, 2014-08-13 13:20:24.436000, 2014-08-13 13:20:36.770000, 2014-08-13 13:20:41.576000
2, 8,  2 , 16, 31.5, 2014-08-13 13:20:41.577000, 2014-08-13 13:20:48.917000, 2014-08-13 13:20:57.251000, 2014-08-13 13:21:00.742000
2, 9, 17, 10, 23.25, 2014-08-13 13:21:00.743000, 2014-08-13 13:21:07.916000, 2014-08-13 13:21:17.749000, 2014-08-13 13:21:21.441000
2, 10, 12, 12, 26.0, 2014-08-13 13:21:21.441000, 2014-08-13 13:21:29.115000, 2014-08-13 13:21:34.442000, 2014-08-13 13:21:38.406000
3, 1, 10, 10, 22.0, 2014-08-13 13:21:48.257000, 2014-08-13 13:22:05.962000, 2014-08-13 13:22:08.288000, 2014-08-13 13:22:11.821000
3, 2, 12, 5, 18.2, 2014-08-13 13:22:11.821000, 2014-08-13 13:22:14.362000, 2014-08-13 13:22:20.692000, 2014-08-13 13:22:26.220000
3, 3, 10, 14, 24.4, 2014-08-13 13:22:26.220000, 2014-08-13 13:22:31.261000, 2014-08-13 13:22:33.593000, 2014-08-13 13:22:55.285000
3, 4, 12, 15, 24.2, 2014-08-13 13:22:55.285000, 2014-08-13 13:22:58.262000, 2014-08-13 13:23:00.619000, 2014-08-13 13:23:03.284000
3, 5, 15, 8, 18.8, 2014-08-13 13:23:03.285000, 2014-08-13 13:23:07.275000, 2014-08-13 13:23:12.107000, 2014-08-13 13:23:15.200000
3, 6, 14, 10, 20.4, 2014-08-13 13:23:15.200000, 2014-08-13 13:23:18.859000, 2014-08-13 13:23:30.187000, 2014-08-13 13:23:33.882000
3, 7,  0 , 13, 27.8, 2014-08-13 13:23:33.883000, 2014-08-13 13:23:38.123000, 2014-08-13 13:23:46.955000, 2014-08-13 13:23:52.848000
3, 8, 13, 10, 20.8, 2014-08-13 13:23:52.848000, 2014-08-13 13:24:02.622000, 2014-08-13 13:24:04.954000, 2014-08-13 13:24:09.213000
3, 9, 13, 5, 17.8, 2014-08-13 13:24:09.214000, 2014-08-13 13:24:13.921000, 2014-08-13 13:24:29.517000, 2014-08-13 13:24:32.745000
3, 10, 13, 10, 20.8, 2014-08-13 13:24:32.745000, 2014-08-13 13:24:35.155000, 2014-08-13 13:24:45.483000, 2014-08-13 13:24:48.244000
