game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 12, 10, 27.8, 2014-08-08 10:33:14.855000, 2014-08-08 10:33:20.607000, 2014-08-08 10:33:25.905000, 2014-08-08 10:33:33.667000
1, 2, 12, 12, 29.6, 2014-08-08 10:33:33.668000, 2014-08-08 10:33:37.141000, 2014-08-08 10:33:47.973000, 2014-08-08 10:33:50.134000
1, 3, 14, 13, 30.3, 2014-08-08 10:33:50.135000, 2014-08-08 10:33:53.341000, 2014-08-08 10:34:03.677000, 2014-08-08 10:34:08.001000
1, 4, 14, 13, 30.3, 2014-08-08 10:34:08.002000, 2014-08-08 10:34:11.558000, 2014-08-08 10:34:14.893000, 2014-08-08 10:34:18.285000
1, 5, 12, 14, 31.4, 2014-08-08 10:34:18.285000, 2014-08-08 10:34:20.926000, 2014-08-08 10:34:24.757000, 2014-08-08 10:34:28.485000
1, 6, 13, 10, 27.7, 2014-08-08 10:34:28.486000, 2014-08-08 10:34:31.260000, 2014-08-08 10:34:33.592000, 2014-08-08 10:34:36.153000
1, 7, 11, 11, 28.8, 2014-08-08 10:34:36.153000, 2014-08-08 10:34:39.993000, 2014-08-08 10:34:50.826000, 2014-08-08 10:34:52.152000
1, 8,  5 , 12, 30.3, 2014-08-08 10:34:52.153000, 2014-08-08 10:34:57.943000, 2014-08-08 10:35:00.276000, 2014-08-08 10:35:04.470000
1, 9, 10, 8, 26.2, 2014-08-08 10:35:04.471000, 2014-08-08 10:35:07.112000, 2014-08-08 10:35:11.442000, 2014-08-08 10:35:13.837000
1, 10, 12, 10, 27.8, 2014-08-08 10:35:13.838000, 2014-08-08 10:35:16.179000, 2014-08-08 10:35:19.010000, 2014-08-08 10:35:21.004000
2, 1, 16, 12, 25.0, 2014-08-08 10:35:33.422000, 2014-08-08 10:35:36.830000, 2014-08-08 10:35:44.158000, 2014-08-08 10:35:46.055000
2, 2, 15, 16, 28.25, 2014-08-08 10:35:46.055000, 2014-08-08 10:35:48.730000, 2014-08-08 10:35:51.565000, 2014-08-08 10:35:53.538000
2, 3, 15, 16, 28.25, 2014-08-08 10:35:53.539000, 2014-08-08 10:35:56.279000, 2014-08-08 10:36:01.615000, 2014-08-08 10:36:03.388000
2, 4, 17, 15, 27.0, 2014-08-08 10:36:03.389000, 2014-08-08 10:36:07.214000, 2014-08-08 10:36:11.542000, 2014-08-08 10:36:13.372000
2, 5, 18, 18, 29.0, 2014-08-08 10:36:13.372000, 2014-08-08 10:36:16.031000, 2014-08-08 10:36:20.357000, 2014-08-08 10:36:23.957000
2, 6, 18, 19, 29.75, 2014-08-08 10:36:23.957000, 2014-08-08 10:36:28.064000, 2014-08-08 10:36:30.398000, 2014-08-08 10:36:32.556000
2, 7, 20, 18, 28.5, 2014-08-08 10:36:32.556000, 2014-08-08 10:36:35.199000, 2014-08-08 10:36:37.529000, 2014-08-08 10:36:39.490000
2, 8, 20, 20, 30.0, 2014-08-08 10:36:39.491000, 2014-08-08 10:36:41.798000, 2014-08-08 10:36:44.126000, 2014-08-08 10:36:45.490000
2, 9, 19, 20, 30.25, 2014-08-08 10:36:45.491000, 2014-08-08 10:36:48.099000, 2014-08-08 10:36:50.431000, 2014-08-08 10:36:51.990000
2, 10, 12, 20, 32.0, 2014-08-08 10:36:51.991000, 2014-08-08 10:36:54.799000, 2014-08-08 10:36:57.126000, 2014-08-08 10:36:58.491000
3, 1, 20, 12, 19.2, 2014-08-08 10:37:05.275000, 2014-08-08 10:37:07.350000, 2014-08-08 10:37:12.679000, 2014-08-08 10:37:13.875000
3, 2, 20, 20, 24.0, 2014-08-08 10:37:13.876000, 2014-08-08 10:37:15.383000, 2014-08-08 10:37:17.710000, 2014-08-08 10:37:19.175000
3, 3, 20, 20, 24.0, 2014-08-08 10:37:19.175000, 2014-08-08 10:37:21.519000, 2014-08-08 10:37:23.877000, 2014-08-08 10:37:24.809000
3, 4, 20, 20, 24.0, 2014-08-08 10:37:24.809000, 2014-08-08 10:37:26.183000, 2014-08-08 10:37:28.510000, 2014-08-08 10:37:29.575000
3, 5, 18, 20, 24.8, 2014-08-08 10:37:29.575000, 2014-08-08 10:37:32.966000, 2014-08-08 10:37:35.299000, 2014-08-08 10:37:36.126000
3, 6, 19, 20, 24.4, 2014-08-08 10:37:36.126000, 2014-08-08 10:37:37.901000, 2014-08-08 10:37:40.233000, 2014-08-08 10:37:41.192000
3, 7, 20, 20, 24.0, 2014-08-08 10:37:41.193000, 2014-08-08 10:37:42.800000, 2014-08-08 10:37:45.128000, 2014-08-08 10:37:46.059000
3, 8, 20, 20, 24.0, 2014-08-08 10:37:46.060000, 2014-08-08 10:37:47.701000, 2014-08-08 10:37:50.027000, 2014-08-08 10:37:51.725000
3, 9, 20, 20, 24.0, 2014-08-08 10:37:51.726000, 2014-08-08 10:37:54.735000, 2014-08-08 10:37:57.065000, 2014-08-08 10:37:58.093000
3, 10, 20, 20, 24.0, 2014-08-08 10:37:58.093000, 2014-08-08 10:38:00.167000, 2014-08-08 10:38:02.495000, 2014-08-08 10:38:03.827000
