game, round, contribution, opponent_1_contrib, payoff, choice_screen_onset, choice_screen_ended, summary_screen_onset, summary_screen_ended
1, 1, 10, 10, 28.0, 2014-08-07 12:54:27.728000, 2014-08-07 12:54:32.008000, 2014-08-07 12:54:41.402000, 2014-08-07 12:54:46.066000
1, 2, 11, 10, 27.9, 2014-08-07 12:54:46.067000, 2014-08-07 12:54:54.041000, 2014-08-07 12:55:04.375000, 2014-08-07 12:55:11.033000
1, 3, 10, 12, 29.8, 2014-08-07 12:55:11.034000, 2014-08-07 12:55:16.876000, 2014-08-07 12:55:19.205000, 2014-08-07 12:55:25.468000
1, 4, 15, 12, 29.3, 2014-08-07 12:55:25.468000, 2014-08-07 12:55:29.309000, 2014-08-07 12:55:32.142000, 2014-08-07 12:55:38.001000
1, 5,  8 , 16, 33.6, 2014-08-07 12:55:38.002000, 2014-08-07 12:55:43.644000, 2014-08-07 12:55:47.474000, 2014-08-07 12:55:52.669000
1, 6, 16, 10, 27.4, 2014-08-07 12:55:52.669000, 2014-08-07 12:55:56.243000, 2014-08-07 12:56:09.577000, 2014-08-07 12:56:16.803000
1, 7, 10, 10, 28.0, 2014-08-07 12:56:16.804000, 2014-08-07 12:56:19.877000, 2014-08-07 12:56:22.704000, 2014-08-07 12:56:26.303000
1, 8, 12, 12, 29.6, 2014-08-07 12:56:26.304000, 2014-08-07 12:56:28.945000, 2014-08-07 12:56:33.275000, 2014-08-07 12:56:37.003000
1, 9, 14, 10, 27.6, 2014-08-07 12:56:37.004000, 2014-08-07 12:56:40.544000, 2014-08-07 12:56:49.876000, 2014-08-07 12:56:56.037000
1, 10,  9 , 10, 28.1, 2014-08-07 12:56:56.038000, 2014-08-07 12:56:59.146000, 2014-08-07 12:57:05.476000, 2014-08-07 12:57:08.938000
2, 1, 10, 10, 22.0, 2014-08-07 12:57:20.956000, 2014-08-07 12:57:23.163000, 2014-08-07 12:57:47.989000, 2014-08-07 12:57:51.690000
2, 2, 12, 12, 22.4, 2014-08-07 12:57:51.691000, 2014-08-07 12:57:54.564000, 2014-08-07 12:57:58.893000, 2014-08-07 12:58:02.857000
2, 3,  8 , 14, 25.2, 2014-08-07 12:58:02.857000, 2014-08-07 12:58:05.267000, 2014-08-07 12:58:07.593000, 2014-08-07 12:58:13.091000
2, 4, 10, 2, 17.2, 2014-08-07 12:58:13.091000, 2014-08-07 12:58:16.632000, 2014-08-07 12:58:22.961000, 2014-08-07 12:58:30.324000
2, 5,  0 , 10, 26.0, 2014-08-07 12:58:30.324000, 2014-08-07 12:58:32.382000, 2014-08-07 12:58:34.710000, 2014-08-07 12:58:40.407000
2, 6,  0 , 0, 20.0, 2014-08-07 12:58:40.408000, 2014-08-07 12:58:43.182000, 2014-08-07 12:58:46.508000, 2014-08-07 12:58:50.842000
2, 7, 10, 1, 16.6, 2014-08-07 12:58:50.842000, 2014-08-07 12:58:53.417000, 2014-08-07 12:59:01.247000, 2014-08-07 12:59:03.809000
2, 8,  1 , 5, 22.6, 2014-08-07 12:59:03.809000, 2014-08-07 12:59:06.984000, 2014-08-07 12:59:10.312000, 2014-08-07 12:59:13.909000
2, 9,  0 , 5, 23.0, 2014-08-07 12:59:13.910000, 2014-08-07 12:59:16.551000, 2014-08-07 12:59:20.879000, 2014-08-07 12:59:23.576000
2, 10,  7 , 0, 17.2, 2014-08-07 12:59:23.577000, 2014-08-07 12:59:28.153000, 2014-08-07 12:59:30.481000, 2014-08-07 12:59:33.477000
3, 1, 10, 10, 25.0, 2014-08-07 12:59:39.894000, 2014-08-07 12:59:41.368000, 2014-08-07 12:59:48.695000, 2014-08-07 12:59:50.993000
3, 2, 12, 10, 24.5, 2014-08-07 12:59:50.994000, 2014-08-07 12:59:53.403000, 2014-08-07 12:59:55.733000, 2014-08-07 12:59:58.560000
3, 3,  0 , 10, 27.5, 2014-08-07 12:59:58.561000, 2014-08-07 13:00:00.868000, 2014-08-07 13:00:03.198000, 2014-08-07 13:00:06.294000
3, 4,  1 , 5, 23.5, 2014-08-07 13:00:06.295000, 2014-08-07 13:00:09.169000, 2014-08-07 13:00:11.498000, 2014-08-07 13:00:14.195000
3, 5, 10, 0, 17.5, 2014-08-07 13:00:14.195000, 2014-08-07 13:00:17.103000, 2014-08-07 13:00:19.931000, 2014-08-07 13:00:22.762000
3, 6, 10, 0, 17.5, 2014-08-07 13:00:22.763000, 2014-08-07 13:00:24.603000, 2014-08-07 13:00:27.433000, 2014-08-07 13:00:30.128000
3, 7,  0 , 5, 23.75, 2014-08-07 13:00:30.129000, 2014-08-07 13:00:31.938000, 2014-08-07 13:00:36.799000, 2014-08-07 13:00:39.795000
3, 8,  2 , 5, 23.25, 2014-08-07 13:00:39.796000, 2014-08-07 13:00:42.304000, 2014-08-07 13:00:46.134000, 2014-08-07 13:00:48.729000
3, 9,  5 , 2, 20.25, 2014-08-07 13:00:48.729000, 2014-08-07 13:00:52.638000, 2014-08-07 13:00:57.968000, 2014-08-07 13:01:00.696000
3, 10,  0 , 0, 20.0, 2014-08-07 13:01:00.696000, 2014-08-07 13:01:02.471000, 2014-08-07 13:01:05.297000, 2014-08-07 13:01:07.596000
